ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BTC,2026050610,0.3448275862,10,-5789138.277162576,0.724137931,21,7514406.28052976,100,29,0.1147973598,0.8852026402,2026-05-06 10:00:00+00:00,,,,,short,False,False,False,False,82240.1,0.0030374476684729146,-0.007396634974908833,-0.008099455131985511,-0.01150290430094325,-0.01729569881359594
BTC,2026050611,0.3214285714,9,-5786972.023156858,0.75,21,7516572.534535479,100,28,0.1150524726,0.8849475274,2026-05-06 11:00:00+00:00,-1.0,2166.2540057189763,2166.254005718045,0.0002551127999999986,short,False,False,True,True,82489.9,-0.003645294757297579,-0.012251196813185539,-0.013111908245736603,-0.013264654218273941,-0.02004245368220825
BTC,2026050612,0.3214285714,9,-7056980.5433350755,0.75,21,8425273.836979903,100,28,0.0812017104,0.9187982896,2026-05-06 12:00:00+00:00,0.0,908701.3024444245,-1270008.5201782174,-0.033850762199999995,short,False,False,True,False,82189.2,-0.006781912952066649,-0.006459486161198735,-0.010755671061404626,-0.014758630087651436,-0.013030909170547944
BTC,2026050613,0.28125,9,-17505260.537523754,0.78125,25,18883801.833268583,100,32,0.0365006291,0.9634993709,2026-05-06 13:00:00+00:00,4.0,10458527.99628868,-10448279.994188678,-0.0447010813,short,False,False,True,False,81631.8,-0.00186814452211026,-0.0007080573991998795,-0.0025676268317004203,-0.006122613981316194,-0.014224848649668331
BTC,2026050614,0.3125,10,-17297092.841103274,0.75,24,18682128.925515104,100,32,0.0370684757,0.9629315243,2026-05-06 14:00:00+00:00,0.0,-201672.90775347874,208167.69642047957,0.0005678465999999979,short,False,False,False,True,81479.3,0.0021968769982068093,-0.0008713869657692719,-0.001172076834238922,-0.004845402451911118,-0.016394348012317317
BTC,2026050615,0.2903225806,9,-17435034.230469774,0.7741935484,24,18808487.4656486,100,31,0.036511528,0.963488472,2026-05-06 15:00:00+00:00,-1.0,126358.54013349488,-137941.38936650008,-0.0005569476999999975,short,False,False,True,True,81658.3,-0.001032350661231085,-0.0043241164707078505,-0.0019397905662988935,-0.010412903526034745,-0.02199531462202875
BTC,2026050616,0.2727272727,9,-17912621.129666276,0.7878787879,26,19159850.8356121,100,33,0.0325480014,0.9674519986,2026-05-06 16:00:00+00:00,2.0,351363.36996350065,-477586.8991965018,-0.003963526600000003,short,False,False,True,False,81574.0,-0.002031284477897355,-0.0018608870473435513,-0.003431240346188691,-0.0076507220437885826,-0.022194571799838192
BTC,2026050617,0.2285714285,8,-18365364.44385668,0.8285714286,29,19578203.6959017,100,35,0.0309742219,0.9690257781,2026-05-06 17:00:00+00:00,2.0,418352.86028959975,-452743.3141904026,-0.0015737794999999971,short,False,False,True,False,81408.3,-0.001266455631674046,-0.00030095211421932166,-0.0001547753730271051,-0.00440249949943694,-0.01660764320100039
BTC,2026050618,0.2352941176,8,-18411683.67927641,0.8235294118,28,19624707.117781967,100,34,0.0309055169,0.9690944831,2026-05-06 18:00:00+00:00,-1.0,46503.42188026756,-46319.23541973159,-6.870500000000224e-05,short,False,False,True,True,81305.2,0.00143902235035398,0.0023946807830248495,-0.004046481651850065,0.0012360833009450456,-0.0140839700289771
BTC,2026050619,0.2,7,-18918415.59195869,0.8571428571,30,19965914.090759687,100,35,0.0262321698,0.9737678302,2026-05-06 19:00:00+00:00,1.0,341206.9729777202,-506731.91268227994,-0.004673347099999999,short,False,False,True,False,81422.2,-0.00047161584924004796,-0.0015732809970744333,-0.003564138527330396,0.0007356715981636786,-0.01611722601452681
