ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ETH,2026050610,0.6222222222,28,19059403.328609124,0.4666666667,21,48799092.42613279,100,45,0.6952844036,0.3047155964,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,2409.03,0.00031132862604454914,-0.01719779330269866,-0.021572998260710796,-0.026006317895584607,-0.03446615442730072
ETH,2026050611,0.625,30,19746872.778945114,0.4583333333,22,50611271.190915786,100,48,0.6950837463,0.3049162537,2026-05-06 11:00:00+00:00,3.0,1812178.764782995,687469.4503359906,-0.0002006572999999623,long,True,False,False,False,2409.78,-0.0024442065250771527,-0.021238453302791283,-0.025143374083941294,-0.024744997468648666,-0.03336404153076222
ETH,2026050612,0.5581395348,24,17082151.63057911,0.511627907,22,48006803.682549775,100,43,0.6779138613,0.3220861387,2026-05-06 12:00:00+00:00,-5.0,-2604467.508366011,-2664721.148366004,-0.01716988500000005,long,False,True,False,False,2403.89,-0.015096364642308902,-0.01912733111748044,-0.024868026407198207,-0.03149478553511187,-0.0299680933819767
ETH,2026050613,0.5434782608,25,16901980.238915008,0.5217391304,24,48462879.60412567,100,46,0.6743806845,0.3256193155,2026-05-06 13:00:00+00:00,3.0,456075.92157589644,-180171.39166410267,-0.003533176799999982,long,True,False,False,False,2367.6,-0.0038013177901672357,-0.0044517655009291834,-0.00825730697752991,-0.017481838148335815,-0.022833248859604693
ETH,2026050614,0.6170212765,29,20596223.46364555,0.4680851064,22,49199460.80357655,100,47,0.7093135079,0.2906864921,2026-05-06 14:00:00+00:00,1.0,736581.1994508803,3694243.224730544,0.034932823400000035,long,True,False,False,False,2358.6,-0.0002925464258458632,-0.00398965488001346,-0.003569914355973869,-0.01586958365131852,-0.025587212753328203
ETH,2026050615,0.62,31,21430062.814949717,0.46,23,50068538.63672071,100,50,0.7140072728,0.2859927272,2026-05-06 15:00:00+00:00,3.0,869077.8331441581,833839.351304166,0.004693764899999953,long,True,False,False,False,2357.91,-0.00036048873790772706,-0.005852640686031196,-0.0018194078654401036,-0.01553070303785975,-0.02716812770631616
ETH,2026050616,0.5531914893,26,21052698.20913275,0.4893617021,23,49838326.21090374,100,47,0.7112099242,0.2887900758,2026-05-06 16:00:00+00:00,-3.0,-230212.42581696808,-377364.6058169678,-0.002797348600000027,long,False,True,False,False,2357.06,-0.003338905246366153,-0.0038225586111511056,-0.0045310683648273065,-0.012965304234936692,-0.028064622877652656
ETH,2026050617,0.4893617021,23,17446789.811068635,0.5744680851,27,50232892.580659635,100,47,0.6736590201,0.3263409799,2026-05-06 17:00:00+00:00,0.0,394566.36975589395,-3605908.398064114,-0.03755090409999995,long,True,False,False,False,2349.19,-0.0021624474818979778,0.0004214218517870627,0.00040865149264224243,-0.008083637338827554,-0.0213350133450253
ETH,2026050618,0.409090909,18,1502550.427273304,0.6363636364,28,42964356.34306891,100,44,0.5174860111,0.4825139889,2026-05-06 18:00:00+00:00,-3.0,-7268536.237590723,-15944239.383795332,-0.15617300899999997,long,False,False,False,False,2344.11,0.0016808084944819335,0.004056976848356042,-0.00679575617185213,-0.003357350977556628,-0.020732815439548413
ETH,2026050619,0.3555555555,16,-4422909.754071872,0.6888888889,31,37922428.90457924,100,45,0.4416847775,0.5583152225,2026-05-06 19:00:00+00:00,1.0,-5041927.4384896755,-5925460.181345176,-0.07580123360000002,short,False,False,False,False,2348.05,0.0009071357083536569,-0.0007112284661741075,-0.009301335150444068,-0.0019931432465238874,-0.02238027299248324
ETH,2026050620,0.3333333333,14,-7597709.673037486,0.7142857143,30,40684695.26551362,100,42,0.4066269315,0.5933730685,2026-05-06 20:00:00+00:00,-3.0,2762266.360934384,-3174799.9189656144,-0.035057846000000004,short,False,False,False,False,2350.18,0.0014637176726888246,-1.276497970359447e-05,-0.012343735373460674,-0.00740368822813553,-0.026185228365486868
ETH,2026050621,0.3636363636,16,-5927095.988167741,0.6818181818,30,38981817.61450866,100,44,0.4239761464,0.5760238536,2026-05-06 21:00:00+00:00,2.0,-1702877.6510049626,1670613.6848697448,0.017349214899999965,short,False,False,False,False,2353.62,-0.003076112541531728,-0.010808881637647594,-0.013736287081177023,-0.010927847316049233,-0.028207612103907986
ETH,2026050622,0.5365853658,22,3136204.2507846486,0.5609756098,23,37333401.34013785,100,41,0.5420026589,0.4579973411,2026-05-06 22:00:00+00:00,-3.0,-1648416.2743708119,9063300.23895239,0.11802651250000001,long,False,False,False,False,2346.38,0.0016067303676301492,-0.008596220561034484,-0.008472625917370635,-0.008685720130584218,-0.025520162974454363
ETH,2026050623,0.5853658536,24,12490304.047448143,0.487804878,20,36870039.914709866,100,41,0.6693828386,0.3306171614,2026-05-06 23:00:00+00:00,0.0,-463361.4254279807,9354099.796663495,0.12738017970000004,long,False,True,False,False,2350.15,-0.009348339467693645,-0.01233112780035317,-0.008488819862562114,-0.008837733761674738,-0.025334553113630975
ETH,2026050701,0.6486486486,24,11654070.694593964,0.4594594595,17,29289799.471284974,100,37,0.6989441871,0.3010558129,2026-05-07 01:00:00+00:00,-4.0,-7580240.443424892,-836233.3528541792,0.029561348499999918,long,False,True,False,False,2326.21,-0.0021666143641373425,0.00012466630269836187,0.007376806049324891,-0.0054466277765120585,-0.01783158012389252
ETH,2026050702,0.6666666666,26,14108709.951015856,0.4615384615,18,31762200.07778687,100,39,0.7220990661,0.2779009339,2026-05-07 02:00:00+00:00,2.0,2472400.606501896,2454639.256421892,0.023154879000000017,long,True,False,False,False,2321.17,5.169806606142302e-05,0.0038902794711286326,0.005001787891451448,-0.009874330617748783,-0.01858545474911355
