ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
JUP,2026050610,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,0.1994,0.011033099297893756,0.0030090270812437314,-0.0005015045135405849,-0.006519558676028048,0.015045135406218657
JUP,2026050611,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2016,-0.0024801587301587213,0.012400793650793718,-0.02678571428571419,-0.015376984126984072,0.01984126984126977
JUP,2026050612,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2011,-0.005469915464942798,0.00348085529587272,-0.01939333664843368,-0.018398806563898584,0.035305818000994416
JUP,2026050613,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2,0.020499999999999963,-0.0035000000000000586,-0.01200000000000001,-0.02200000000000002,0.023499999999999854
JUP,2026050614,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2041,-0.011268985791278774,-0.03870651641352274,-0.03135717785399317,-0.046055854973052424,-0.008819206271435509
JUP,2026050615,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2018,-0.012388503468780954,-0.022794846382557132,-0.012388503468780954,-0.03914767096134797,-0.008919722497522264
JUP,2026050616,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1993,-0.015554440541896586,-0.008529854490717526,-0.006021073758153528,-0.013045659809332588,0.014550928248870942
JUP,2026050617,1.0,2,15529.265,0.0,0,15529.265,100,2,1.0,0.0,2026-05-06 17:00:00+00:00,1.0,14648.684,14648.684,0.0,long,True,False,False,False,0.1962,0.005096839959225052,0.00764525993883769,0.011722731906218087,0.013761467889908063,0.04536187563710503
JUP,2026050618,1.0,2,15529.265,0.0,0,15529.265,100,2,1.0,0.0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1972,0.0020283975659229903,0.010649087221095366,0.0010141987829614951,0.01774847870182561,0.03701825557809335
JUP,2026050619,1.0,2,15529.265,0.0,0,15529.265,100,2,1.0,0.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1976,0.0005060728744938903,0.0025303643724696734,-0.010121457489878583,0.0247975708502024,0.03795546558704466
JUP,2026050620,1.0,2,15529.265,0.0,0,15529.265,100,2,1.0,0.0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1977,0.008093070308548445,0.004046535154274222,-0.015174506828527945,0.036418816388467334,0.033383915022761945
JUP,2026050621,1.0,2,15529.265,0.0,0,15529.265,100,2,1.0,0.0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1993,-0.006021073758153528,-0.009533366783743169,-0.027094831911691042,0.022579026593075868,0.02107375815353718
JUP,2026050622,1.0,2,15529.265,0.0,0,15529.265,100,2,1.0,0.0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1981,0.002019182231196348,-0.012619888944977342,-0.007067137809187218,0.02170620898536102,0.025239777889954684
JUP,2026050623,1.0,1,880.5810000000004,0.0,0,880.5810000000004,100,1,1.0,0.0,2026-05-06 23:00:00+00:00,-1.0,-14648.684,-14648.684,0.0,long,False,True,False,False,0.1985,-0.005541561712846477,-0.019143576826196496,0.00201511335012583,0.03576826196473548,0.03627204030226694
JUP,2026050722,1.0,1,880.4850000000005,0.0,0,880.4850000000005,100,1,1.0,0.0,2026-05-07 22:00:00+00:00,0.0,-0.09599999999988995,-0.09599999999988995,0.0,long,False,True,False,False,0.2031,0.012801575578532676,0.02461841457410152,0.003938946331856208,0.03446578040374204,0.20482520925652392
JUP,2026050723,1.0,1,880.4850000000005,0.0,0,880.4850000000005,100,1,1.0,0.0,2026-05-07 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2057,0.012153621779290136,-0.011667476908118535,-0.008264462809917439,0.0272241127856101,0.1866796305298981
JUP,2026050901,1.0,1,880.9680000000003,0.0,0,880.9680000000003,100,1,1.0,0.0,2026-05-09 01:00:00+00:00,0.0,0.48299999999983356,0.48299999999983356,0.0,long,True,False,False,False,0.2443,0.026197298403602076,0.04297994269340988,-0.004502660663119107,,
JUP,2026050902,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 02:00:00+00:00,1.0,232.60000000000014,-232.5999999999999,-0.2088781287,long,True,False,False,False,0.2507,0.00797766254487442,-0.0035899481451934223,-0.03669724770642202,,
JUP,2026050903,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2527,0.008310249307479367,-0.024535021764938603,-0.05263157894736836,,
JUP,2026050904,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2548,-0.019623233908948268,-0.04552590266875989,-0.049058084772370614,,
JUP,2026050905,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2498,-0.01321056845476376,-0.03322658126501199,,,
JUP,2026050906,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2465,-0.013387423935091292,-0.028803245436105462,,,
JUP,2026050907,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2432,-0.006990131578947345,-0.0037006578947368363,,,
JUP,2026050908,0.5,1,648.3680000000004,0.5,1,1113.5680000000004,100,2,0.7911218713,0.2088781287,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2415,-0.008695652173912993,,,,
JUP,2026050909,0.5,1,764.6680000000003,0.5,1,997.2680000000004,100,2,0.8833813979,0.1166186021,2026-05-09 09:00:00+00:00,0.0,-116.30000000000007,116.29999999999995,0.09225952660000003,long,False,True,False,False,0.2394,0.012113617376775299,,,,
JUP,2026050910,0.5,1,764.6680000000003,0.5,1,997.2680000000004,100,2,0.8833813979,0.1166186021,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2423,,,,,
