ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
MU,2026050610,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 10:00:00+00:00,,,,,short,False,False,False,False,678.72,-0.0001178689297501867,-0.04275695426685522,-0.03653936822253667,-0.028273809523809645,-0.0356700848656295
MU,2026050611,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,678.64,-0.00841388659672293,-0.032299893905457955,-0.03595426146410463,-0.028129788989744275,-0.034819639278557135
MU,2026050612,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,672.93,-0.034520678228047386,-0.019095596867430342,-0.020715379014161872,-0.023256505134263583,-0.027878085387781804
MU,2026050613,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,649.7,0.010804986917038573,0.00649530552562716,0.028166846236724608,0.01622287209481299,0.01720794212713561
MU,2026050614,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,656.72,0.00511633572907777,-0.0037763430381289043,0.00825313680107187,0.004629065659641718,0.01929284931173103
MU,2026050615,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,660.08,-0.00933220215731434,-0.0016513149921222325,-0.0065446612531815385,0.0004999394012845659,-0.015785965337534957
MU,2026050616,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,653.92,0.0004893564962076269,0.021531685833129588,0.0085790310741376,0.006973330070956685,-0.008640200636163442
MU,2026050617,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,654.24,0.007260332599657637,0.012075079481535855,0.008116287600880234,0.019778674492540782,-0.010271460014673606
MU,2026050618,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,658.99,0.013672438125009512,-0.004901440082550557,-0.0025948800437033404,0.015083688675093576,-0.028786476274298534
MU,2026050619,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,668.0,-0.008772455089820386,-0.012679640718562868,-0.011616766467065887,0.003113772455089814,-0.030643712574850324
MU,2026050620,0.0,0,-11042.8952,1.0,2,11042.8952,100,2,0.0,1.0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,662.14,-0.009635424532576153,-0.00391155948892985,-0.0035944060168544567,-0.0025070226840244736,
MU,2026050621,0.5,1,-9047.8952,1.0,2,13037.8952,100,2,0.1530154959,0.8469845041,2026-05-06 21:00:00+00:00,0.0,1995.0,1995.0,0.1530154959,short,False,False,True,True,655.76,0.005749054532145914,0.0023179211906794173,0.007091008905697249,-0.003903867268512773,
MU,2026050622,0.5,1,-9043.3952,1.0,2,13042.3952,100,2,0.1533077298,0.8466922702,2026-05-06 22:00:00+00:00,0.0,4.5,4.5,0.00029223389999999405,short,False,False,True,True,659.53,3.0324625111877168e-05,0.001076524191469641,-0.0015920428183705537,-0.007611480903067291,
MU,2026050623,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-06 23:00:00+00:00,-1.0,-12977.7392,8978.7392,-0.1533077298,short,False,False,False,True,659.55,-0.0034417405806989043,0.00031839890834661766,0.011568493669926516,-0.00688348116139792,
MU,2026050701,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,660.24,-0.0007270083605961375,-0.0026656973221859115,0.01490367139222104,0.000969344480794776,
MU,2026050702,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,659.76,0.0009852067418454347,0.011246513883836462,0.001091305929428854,0.01459621680611134,
MU,2026050703,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,660.41,-0.0029224269771808142,0.012901076603927919,-0.01091746036553043,-0.01627776684181037,
MU,2026050704,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,658.48,0.013212246385615245,0.017616328514153734,-0.006029036569068169,-0.01550540639047504,
MU,2026050705,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,667.18,0.002622980305164946,-0.010042267454060227,-0.0182409544650618,-0.029467310171168104,
MU,2026050706,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,668.93,0.0017191634401210187,-0.023515166011391142,-0.022065089022767714,-0.04321827395990607,
MU,2026050707,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,670.08,-0.014326647564469996,-0.023236031518624745,-0.013729703915950409,-0.033652698185291374,
MU,2026050708,0.0,0,-64.656,1.0,1,64.656,100,1,0.0,1.0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,660.48,-0.011022286821705363,-0.008281855620155043,0.013490188953488413,,
