ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
NOT,2026050610,0.5,1,16672.1948700312,0.5,1,18995.2187300352,100,2,0.9388524056,0.0611475944,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,0.0005569,-0.00951696893517695,-0.030885257676423028,-0.018854372418746657,-0.018136110612318346,0.154246722930508
NOT,2026050611,0.5,2,5396.814255119295,0.5,2,34959.799344948704,100,4,0.5771860015,0.4228139985,2026-05-06 11:00:00+00:00,2.0,15964.580614913502,-11275.380614911905,-0.36166640410000006,long,False,False,False,False,0.0005516,0.025018129079042772,-0.040971718636693244,-0.0054387237128352695,-0.008883248730964355,0.13415518491660627
NOT,2026050612,0.5,2,5949.17279710284,0.5,2,34407.44080296516,100,4,0.5864518351,0.4135481649,2026-05-06 12:00:00+00:00,0.0,-552.3585419835435,552.3585419835454,0.009265833599999995,long,False,False,False,False,0.0005654,-0.0454545454545453,-0.05199858507251498,-0.02511496285815351,-0.03873363990095502,0.09090909090909105
NOT,2026050613,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 13:00:00+00:00,-2.0,-14229.134002931161,14229.134002931158,0.4135481649,long,False,True,False,False,0.0005397,-0.019825829164350717,0.012414304243097973,0.00982027052065959,0.06596257179914766,0.15045395590142663
NOT,2026050614,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.000529,0.013232514177693888,0.03705103969754253,0.036483931947070225,0.17731568998109637,0.1510396975425332
NOT,2026050615,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.000536,0.0194029850746269,0.028358208955223674,0.03190298507462663,0.11847014925373123,0.1311567164179106
NOT,2026050616,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.0005464,0.004026354319180081,-0.0025622254758419505,0.0007320644216688432,0.2780014641288433,0.13744509516837478
NOT,2026050617,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.0005486,0.004739336492890933,-0.0005468465184104154,-0.0034633612832665195,0.2207437112650381,0.19066715275246082
NOT,2026050618,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.0005512,-0.011248185776487563,0.0034470246734397136,-0.013969521044992605,0.24437590711175639,0.2768505079825836
NOT,2026050619,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.000545,0.006055045871559583,0.003302752293577793,0.055596330275229366,0.21229357798165127,0.29357798165137616
NOT,2026050620,1.0,2,20178.306800034,0.0,0,20178.306800034,100,2,1.0,0.0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.0005483,0.008754331570308027,-0.002918110523436157,0.1358745212474921,0.20244391756337765,0.33211745394856806
NOT,2026050621,1.0,3,30410.312910065124,0.0,0,30410.312910065124,100,3,1.0,0.0,2026-05-06 21:00:00+00:00,1.0,10232.006110031125,10232.006110031125,0.0,long,True,False,False,False,0.0005531,-0.011390345326342421,-0.017356716687759732,0.08389079732417293,0.21352377508587983,0.25022599891520514
