ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ORCL,2026050610,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,187.77,0.007402673483517086,-0.01299462107897964,0.023539436544708803,0.021568940725355423,0.05016775842786392
ORCL,2026050611,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,189.16,-0.016123916261366,-0.0057623176147176824,0.013269190103615935,0.012529075914569754,0.05994924931275114
ORCL,2026050612,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,186.11,-0.004191069797431668,0.03283004674654766,0.03573155660630789,0.035785288270377746,0.07183923486110344
ORCL,2026050613,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,185.33,0.014784438569038993,0.03701505422759399,0.05152970377165045,0.04041439594237306,0.05606215939135595
ORCL,2026050614,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,188.07,0.022066251927473912,0.019141808900941193,0.027702451214973278,0.02573509863348744,0.05269314616897969
ORCL,2026050615,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,192.22,-0.00015607116845284263,0.0028092810321507233,-0.004786182499219582,0.0035896368744148255,0.01571116429091668
ORCL,2026050616,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,192.19,-0.0027056558613872683,0.013996565898329871,-0.0019251782090640157,0.003590197200686873,0.009886050262760904
ORCL,2026050617,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,191.67,0.005686857619867425,0.008399853915584066,-0.0007304220796159333,0.008869410966765967,0.013878019512704176
ORCL,2026050618,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,192.76,0.010998132392612492,-0.00757418551566702,5.18779829841165e-05,0.01732724631666316,0.00627723594106655
ORCL,2026050619,1,1,31825.563,0,0,31825.563,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,194.88,-0.008210180623973717,-0.015701970443349755,-0.01057060755336614,0.007850985221674822,-0.0008210180623973162
