ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
RAVE,2026050610,1.0,4,161139.1088400006,0.0,0,161139.1088400006,100,4,1.0,0.0,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,0.652,-0.004447852760736226,-0.010276073619632009,0.016717791411043015,-0.017791411042944905,0.015644171779141125
RAVE,2026050611,1.0,4,161139.1088400006,0.0,0,161139.1088400006,100,4,1.0,0.0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6491,0.004621784008627339,-0.01879525496841783,0.012786935757202134,-0.0044677245416731015,0.03450932059775069
RAVE,2026050612,0.8,4,147422.1878300006,0.2,1,174856.0298500006,100,5,0.9215530569,0.0784469431,2026-05-06 12:00:00+00:00,1.0,13716.921009999991,-13716.92101000002,-0.0784469431,long,True,False,False,False,0.6521,-0.010427848489495517,0.0015335071308082426,-0.0019935592700505156,-0.015488422021162407,0.02361600981444556
RAVE,2026050613,0.8,4,147685.57823000057,0.2,1,175119.4202500006,100,5,0.921671046,0.078328954,2026-05-06 13:00:00+00:00,0.0,263.39040000000386,263.39039999997476,0.00011798910000004881,long,True,False,False,False,0.6453,-0.013017201301720127,0.027274136060747134,-0.004649000464900022,-0.02200526886719356,0.04385557105222371
RAVE,2026050614,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 14:00:00+00:00,0.0,38352.00272000008,38352.00272000008,0.01407247959999991,long,True,False,False,False,0.6369,0.025435704192180886,0.032187156539488004,0.01648610456900612,-0.0007850525985242385,0.05212749254200033
RAVE,2026050615,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6531,0.015005359056806,-0.0035216659010870455,-0.017455213596692665,-0.018220793140407365,0.022508038585209
RAVE,2026050616,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6629,-0.008296877357067522,-0.031075577010107214,-0.033941771006185006,-0.031226429325690197,0.011615628299894265
RAVE,2026050617,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6574,-0.010039549741405418,-0.015211439002129623,-0.017036811682385133,-0.019014298752661918,0.037572254335260125
RAVE,2026050618,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6508,-0.013060848186847052,-0.013982790411800838,-0.013521819299323945,-0.0064535955746775064,0.0428703134603563
RAVE,2026050619,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6423,0.00794021485287244,-0.0029581192589133165,-0.01743733457885721,0.0017125953604235633,0.04203643157403092
RAVE,2026050620,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6474,-0.008804448563484613,-0.001853568118628357,-0.01699104108742666,-0.0012357120790855713,0.025023169601482875
RAVE,2026050621,0.8,4,186037.58095000064,0.2,1,213471.42297000068,100,5,0.9357435256,0.0642564744,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6417,-0.002025868786037166,0.0004675081813931836,-0.0007791803023220467,0.02228455664640805,0.029453015427769902
RAVE,2026050622,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-06 22:00:00+00:00,-1.0,-13716.921009999991,13716.92101000005,0.06425647440000004,long,False,True,False,False,0.6404,0.009056839475327871,-0.014522173641474012,0.0028107432854467262,0.03404122423485334,0.05465334166146163
RAVE,2026050623,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6462,-0.00649953574744655,-0.015165583410708838,-0.002011761064685813,0.039151965335809225,0.04766326214794181
RAVE,2026050701,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6311,0.0083980351766757,0.017588337822848965,0.019489779749643388,0.06734273490730458,0.08081128188876563
RAVE,2026050702,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6364,0.007542426147077341,0.013356379635449445,0.016027655562539156,0.05295411690760532,0.06348208673790068
RAVE,2026050703,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6412,0.001559575795383683,0.008421709295071578,0.02308172177167811,0.04148471615720517,0.07392389270118538
RAVE,2026050704,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6422,0.004204297726565054,0.0018685767673620735,0.031142946122703297,0.04422298349423848,0.09996885705387726
RAVE,2026050705,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6449,0.0026360676073808875,0.0026360676073808875,0.04124670491549076,0.05768336176151334,0.07629089781361453
RAVE,2026050706,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6466,-0.0049489638107020895,0.014537581193937665,0.03232291988864833,0.04964429322610586,0.11815651098051361
RAVE,2026050707,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6434,0.004973577867578349,0.02921976997202358,0.04693814112527206,0.0402548958657134,0.09263288778364931
RAVE,2026050708,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6466,0.014537581193937665,0.03850912465202594,0.03634395298484394,0.026291370244355017,0.0770182493040521
RAVE,2026050709,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.656,0.009451219512195186,0.01753048780487787,0.01798780487804863,0.007012195121951059,0.048170731707317005
RAVE,2026050710,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6622,0.014044095439444293,0.017215342796738087,0.012684989429175397,0.019933554817275656,0.0383569918453639
RAVE,2026050711,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6715,-0.005956813104988856,-0.0020848845867460497,0.015785554728220408,0.00819061801935983,0.022486969471332774
RAVE,2026050712,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6675,0.009138576779026186,0.00044943820224707665,0.016779026217228488,0.024269662921348356,0.013033707865168553
RAVE,2026050713,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6736,-0.005195961995249299,-0.004453681710213764,-0.006383610451306421,0.012618764845605757,0.04023159144893107
RAVE,2026050714,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6701,-0.003432323533801074,0.017907774958961342,-0.009700044769437532,0.009998507685419877,0.03909864199373225
RAVE,2026050715,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6678,0.004192872117400492,0.016322252171308893,-0.010781671159029615,0.031147050014974642,0.03504043126684642
RAVE,2026050716,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6706,0.017148821950492277,-0.001938562481359929,0.00715776916194466,0.053385028332836315,0.04533253802564863
RAVE,2026050717,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6821,-0.004984606362703481,-0.027122122855886333,-0.00747690954405511,0.0175927283389532,0.03196012314909824
RAVE,2026050718,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6787,-0.01385000736702513,-0.026668631206718696,0.007367025195226251,0.06527184322970392,0.03919257403860321
RAVE,2026050719,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6693,-0.008516360376512822,0.00911399970118043,0.019124458389362164,0.05035111310324214,0.06110862094725844
RAVE,2026050720,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6636,-0.004520795660036159,0.02019288728149493,0.019891500904159143,0.04942736588306218,0.08167570825798687
RAVE,2026050721,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6606,0.022403875264910722,0.034968210717529535,0.04238570996064195,0.04087193460490468,0.06630336058128994
RAVE,2026050722,1.0,4,199754.5019600007,0.0,0,199754.5019600007,100,4,1.0,0.0,2026-05-07 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6754,0.0023689665383477276,0.009920047379330832,0.04589872668048578,0.018063369854900868,0.04234527687296419
