ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
SNDK,2026050610,0.0,0,-68389.329,1.0,2,68389.329,100,2,0.0,1.0,2026-05-06 10:00:00+00:00,,,,,short,False,False,False,False,1478.9,-0.0055446615727906545,-0.05774562174589226,-0.06680641016972089,-0.0649807289201434,-0.07228345391845292
SNDK,2026050611,0.0,0,-68389.329,1.0,2,68389.329,100,2,0.0,1.0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1470.7,-0.005507581423811914,-0.04480859454681452,-0.062011287142177185,-0.05759162303664922,-0.0720745223363024
SNDK,2026050612,0.0,0,-68389.329,1.0,2,68389.329,100,2,0.0,1.0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1462.6,-0.04724463284561731,-0.04450977710925741,-0.04403117735539441,-0.054423629153562136,-0.06091891152741691
SNDK,2026050613,0.0,0,-82538.473,1.0,2,82538.473,100,2,0.0,1.0,2026-05-06 13:00:00+00:00,0.0,14149.144,-14149.144,0.0,short,False,False,True,False,1393.5,0.008109077861499836,-0.009616074632221139,0.014208826695371268,7.176175098666526e-05,-0.02669537136706135
SNDK,2026050614,0.0,0,-68491.38089473684,1.0,2,68491.38089473684,100,2,0.0,1.0,2026-05-06 14:00:00+00:00,0.0,-14047.09210526316,14047.09210526316,0.0,short,False,False,False,True,1404.8,-0.005196469248291535,-0.01800968109339407,-0.009681093394077411,-0.016372437357630942,-0.033100797266514825
SNDK,2026050615,0.0,0,-68491.38089473684,1.0,2,68491.38089473684,100,2,0.0,1.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1397.5,-0.012450805008944577,0.0005008944543829497,-0.013667262969588534,-0.010375670840787166,-0.042576028622540285
SNDK,2026050616,0.0,0,-68491.38089473684,1.0,2,68491.38089473684,100,2,0.0,1.0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1380.1,-0.00043475110499235914,0.024056227809579056,0.0019563799724657827,-0.0015940873849720205,-0.033548293601912915
SNDK,2026050617,0.0,0,-68491.38089473684,1.0,2,68491.38089473684,100,2,0.0,1.0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1379.5,0.013555636100036184,0.008481333816600323,0.004711852120333537,0.009061254077564307,-0.03907212758245748
SNDK,2026050618,0.0,0,-68491.38089473684,1.0,2,68491.38089473684,100,2,0.0,1.0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1398.2,0.010799599485052047,-0.014161064225432618,-0.010871120011443303,-0.006293806322414497,-0.06765841796595629
SNDK,2026050619,0.0,0,-68491.38089473684,1.0,2,68491.38089473684,100,2,0.0,1.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,1413.3,-0.0156371612538031,-0.021580697657963666,-0.013939007995471653,-0.007358664119436642,-0.06467133658812696
SNDK,2026050620,0.0,0,-78484.36189473685,1.0,2,78484.36189473685,100,2,0.0,1.0,2026-05-06 20:00:00+00:00,0.0,9992.981000000014,-9992.981000000014,0.0,short,False,False,True,False,1391.2,-0.009200690051753835,-0.0037377803335250093,-0.006756756756756799,-0.00891316848763668,
SNDK,2026050621,0.5,1,-63876.83074007415,1.0,2,73858.13074007415,100,2,0.0675707596,0.9324292404,2026-05-06 21:00:00+00:00,0.0,-4626.2311546627025,14607.531154662705,0.0675707596,short,False,False,False,True,1378.4,0.0031921067904816525,0.0033372025536853034,0.0033372025536853034,-0.0052234474753337645,
SNDK,2026050622,0.5,1,-50939.326740074146,1.0,2,86795.63474007415,100,2,0.2065559409,0.7934440591,2026-05-06 22:00:00+00:00,0.0,12937.504,12937.504,0.1389851813,short,False,False,True,True,1382.8,0.0023141452126120843,0.007810240092565701,-0.003543534856812136,-0.007810240092565812,
SNDK,2026050623,0.5,1,2613.26644200433,1.0,2,95099.16355799566,100,2,0.513739692,0.486260308,2026-05-06 23:00:00+00:00,0.0,8303.528817921513,53552.593182078475,0.3071837511,long,False,False,False,False,1386.0,-0.0021645021645021467,-0.00303030303030305,0.0043290043290042934,-0.015367965367965364,
SNDK,2026050701,0.5,1,11748.61944200433,1.0,2,104234.51655799567,100,2,0.5563566649,0.4436433351,2026-05-07 01:00:00+00:00,0.0,9135.353000000003,9135.353,0.042616972899999994,long,False,False,False,False,1393.6,-0.008467278989667038,-0.011265786452353432,0.006673363949483591,-0.026765212399540772,
SNDK,2026050702,0.5,1,1726.2736205098652,1.0,2,114256.86237949012,100,2,0.5075543542,0.4924456458,2026-05-07 02:00:00+00:00,0.0,10022.345821494455,-10022.345821494466,-0.04880231070000007,long,False,False,False,False,1381.8,0.0008684324793748477,0.007381676074685206,-0.002171081198436786,-0.017006802721088454,
SNDK,2026050703,0.5,1,1726.2736205098652,1.0,2,114256.86237949012,100,2,0.5075543542,0.4924456458,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1383.0,-0.0036876355748372003,0.004627621113521441,-0.008532176428054927,-0.03253796095444683,
SNDK,2026050704,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 04:00:00+00:00,-1.0,-20018.22182149446,20018.221821494462,0.10781496410000002,long,False,True,False,False,1377.9,0.010232963204876988,0.0181435517816968,-0.0042818782204805395,-0.03200522534291328,
SNDK,2026050705,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1392.0,-0.0018678160919539666,-0.009482758620689702,-0.01961206896551726,-0.04770114942528747,
SNDK,2026050706,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1389.4,0.009716424355836972,-0.013099179501943281,-0.011443788685763678,-0.06175327479487558,
SNDK,2026050707,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1402.9,-0.017178701261672313,-0.02202580369235163,-0.03321690783377296,-0.057737543659562296,
SNDK,2026050708,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1378.8,-0.0055120394545981055,-0.010226283724978136,-0.014868001160429412,,
SNDK,2026050709,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1371.2,0.0005834305717620225,0.0016773628938155927,-0.02421236872812138,,
SNDK,2026050710,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1372.0,-0.005320699708454724,-0.011443148688046634,-0.027842565597667623,,
SNDK,2026050711,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1364.7,0.006448303656481302,-0.004689675386531866,-0.028650985564593,,
SNDK,2026050712,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1373.5,-0.012522752093192646,-0.025846377866763692,-0.050891882053148985,,
SNDK,2026050713,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1356.3,0.0014746000147460858,-0.016589250165892522,-0.025363120253631077,,
SNDK,2026050714,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1358.3,-0.014945152028270625,-0.024074210410071406,,,
SNDK,2026050715,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1338.0,-0.003139013452914785,-0.025710014947683213,,,
SNDK,2026050716,1.0,1,21744.49544200433,1.0,1,94238.64055799566,100,1,0.6153693183,0.3846306817,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1333.8,-0.006147848253111432,-0.008921877342929818,,,
SNDK,2026050717,1.0,1,23229.49544200433,1.0,1,95723.64055799566,100,1,0.6213362514,0.3786637486,2026-05-07 17:00:00+00:00,0.0,1485.0,1485.0,0.005966933100000071,long,True,False,False,False,1325.6,-0.016596258298129163,,,,
SNDK,2026050718,1.0,1,23229.49544200433,1.0,1,95723.64055799566,100,1,0.6213362514,0.3786637486,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1303.6,0.014038048481129328,,,,
SNDK,2026050719,1.0,1,23229.49544200433,1.0,1,95723.64055799566,100,1,0.6213362514,0.3786637486,2026-05-07 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1321.9,,,,,
SNDK,2026050720,1.0,1,23229.49544200433,1.0,1,95723.64055799566,100,1,0.6213362514,0.3786637486,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050721,1.0,1,23229.49544200433,1.0,1,95723.64055799566,100,1,0.6213362514,0.3786637486,2026-05-07 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050722,1.0,1,23229.49544200433,1.0,1,95723.64055799566,100,1,0.6213362514,0.3786637486,2026-05-07 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050723,1.0,1,28221.53544200433,1.0,1,100715.68055799566,100,1,0.6401049731,0.3598950269,2026-05-07 23:00:00+00:00,0.0,4992.039999999994,4992.040000000001,0.01876872169999999,long,True,False,False,False,,,,,,
SNDK,2026050801,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 01:00:00+00:00,0.0,-26269.706557995654,46224.43855799567,0.35989502689999997,long,False,True,False,False,,,,,,
SNDK,2026050802,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050803,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050804,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050805,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050806,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050807,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050808,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050809,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050810,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050811,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050812,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050813,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050814,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050815,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050816,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050817,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050818,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050819,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050820,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050821,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050822,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050823,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-08 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050901,1.0,1,72450.974,1.0,1,76440.974,100,1,0.9739014314,0.0260985686,2026-05-09 01:00:00+00:00,0.0,1995.0,-1995.0,-0.02609856860000004,long,True,False,False,False,,,,,,
SNDK,2026050902,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-09 02:00:00+00:00,0.0,-1995.0,1995.0,0.02609856860000004,long,False,True,False,False,,,,,,
SNDK,2026050903,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050904,1.0,1,74445.974,0.0,0,74445.974,100,1,1.0,0.0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050905,0.5,1,58072.578,0.5,1,90819.37,100,2,0.819714715,0.180285285,2026-05-09 05:00:00+00:00,1.0,16373.395999999993,-16373.396,-0.18028528499999996,long,True,False,False,False,,,,,,
SNDK,2026050906,0.5,1,58072.578,0.5,1,90819.37,100,2,0.819714715,0.180285285,2026-05-09 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050907,0.5,1,55579.458,1.0,2,93312.49,100,2,0.7978136045,0.2021863955,2026-05-09 07:00:00+00:00,0.0,2493.12000000001,-2493.1200000000026,-0.021901110499999987,long,True,False,False,False,,,,,,
SNDK,2026050908,0.5,1,55579.458,1.0,2,93312.49,100,2,0.7978136045,0.2021863955,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050909,0.5,1,55579.458,1.0,2,93312.49,100,2,0.7978136045,0.2021863955,2026-05-09 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
SNDK,2026050910,0.5,1,55579.458,1.0,2,93312.49,100,2,0.7978136045,0.2021863955,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
