ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
TRUMP,2026050610,0.5,1,113553.55136271864,0.5,1,113696.46761967524,100,2,0.9993715008,0.0006284992,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,2.436,-0.009031198686371034,-0.0303776683087027,-0.0324302134646961,-0.031609195402298784,-0.030788177339901357
TRUMP,2026050611,0.5,1,113553.54393813603,0.5,1,113696.47504425784,100,2,0.9993714356,0.0006285644,2026-05-06 11:00:00+00:00,0.0,0.0074245825962862,-0.007424582610838115,-6.520000006560167e-08,long,True,False,False,False,2.414,-0.004971002485501197,-0.02236951118475572,-0.028169014084507116,-0.01905550952775492,-0.013256006628003303
TRUMP,2026050612,0.5,1,113553.49621994978,0.5,1,113696.52276244412,100,2,0.9993710161,0.0006289839,2026-05-06 12:00:00+00:00,0.0,0.047718186280690134,-0.0477181862515863,-4.1949999995960496e-07,long,True,False,False,False,2.402,-0.016652789342214813,-0.014571190674438017,-0.022897585345545424,-0.020399666944213135,-0.0033305578684429404
TRUMP,2026050613,0.5,1,113562.06160068348,0.5,1,113687.95738171044,100,2,0.9994463099,0.0005536901,2026-05-06 13:00:00+00:00,0.0,-8.565380733678467,8.565380733693019,7.529380000004249e-05,long,False,True,False,False,2.362,-0.0008467400508045397,-0.0021168501270110163,-0.002963590177815445,-0.008890770533446224,0.003386960203217715
TRUMP,2026050614,0.5,1,113556.34732945486,0.5,1,113693.67165293904,100,2,0.9993960775,0.0006039225,2026-05-06 14:00:00+00:00,0.0,5.71427122860041,-5.714271228614962,-5.02324000000165e-05,long,True,False,False,False,2.36,0.0029661016949154018,-0.0059322033898304705,-0.0012711864406778073,-0.011016949152542255,-0.0025423728813558366
TRUMP,2026050615,0.5,1,113553.45934189657,0.5,1,113696.55964049732,100,2,0.999370692,0.000629308,2026-05-06 15:00:00+00:00,0.0,2.8879875582788372,-2.887987558293389,-2.538550000008577e-05,long,True,False,False,False,2.367,-0.0042247570764679665,-0.008449514152936266,0.0012674271229404788,-0.017743979721165926,0.0
TRUMP,2026050616,0.5,1,113550.54655110496,0.5,1,113699.47243128894,100,2,0.9993450898,0.0006549102,2026-05-06 16:00:00+00:00,0.0,2.912790791626321,-2.9127907916117692,-2.5602199999918973e-05,long,True,False,False,False,2.357,-0.004666949512091678,-0.0008485362749258707,0.0008485362749257597,-0.008485362749257486,0.007636826474331615
TRUMP,2026050617,0.5,1,113464.75586981831,0.5,1,113642.90487724329,100,2,0.9992161894,0.0007838106,2026-05-06 17:00:00+00:00,0.0,-56.567554045657744,-85.79068128664221,-0.00012890040000002045,long,False,True,False,False,2.346,0.0004262574595055302,0.004688832054561054,0.009377664109121886,0.0,0.019607843137254832
TRUMP,2026050618,0.5,1,113455.81200526636,0.5,1,113651.84874179524,100,2,0.9991375558,0.0008624442,2026-05-06 18:00:00+00:00,0.0,8.943864551954903,-8.943864551954903,-7.863360000004427e-05,long,True,False,False,False,2.347,0.003408606731998276,0.009799744354495266,0.002556455048998929,0.0046868342564976295,0.017469109501491165
TRUMP,2026050619,0.5,1,19115.27807664517,0.5,1,19300.162670416103,100,2,0.995210284,0.004789716,2026-05-06 19:00:00+00:00,0.0,-94351.68607137914,-94340.53392862118,-0.003927271799999965,long,False,True,False,False,2.355,0.000849256900212314,0.001698513800424628,-0.005944798301486087,0.005095541401273884,0.009766454352441611
TRUMP,2026050620,0.5,1,19126.741633059883,0.5,1,19288.699114001392,100,2,0.9958017521,0.0041982479,2026-05-06 20:00:00+00:00,0.0,-11.463556414710183,11.463556414713821,0.0005914680999999922,long,False,True,False,False,2.357,0.005515485787017438,0.004666949512091456,-0.009758167161646236,0.0033941450997030387,0.005091217649554558
TRUMP,2026050621,0.5,1,19129.6414259808,0.5,1,19285.799321080474,100,2,0.9959514798,0.0040485202,2026-05-06 21:00:00+00:00,0.0,-2.8997929209181166,2.8997929209181166,0.0001497276999999908,long,False,True,False,False,2.37,-0.004641350210970563,-0.0071729957805907185,-0.01898734177215189,-0.005907172995780696,0.00042194092826997043
TRUMP,2026050622,0.5,1,19231.61701298428,0.5,1,19352.54193407699,100,2,0.9968757354,0.0031242646,2026-05-06 22:00:00+00:00,0.0,66.74261299651698,101.97558700347872,0.0009242555999999791,long,True,False,False,False,2.359,0.0038151759220008685,-0.007630351844001626,-0.009325985587113061,0.0008478168715557732,0.0025434506146673197
TRUMP,2026050623,0.5,1,19234.86079303711,0.5,1,19349.298154024164,100,2,0.9970428549,0.0029571451,2026-05-06 23:00:00+00:00,0.0,-3.2437800528277876,3.2437800528314256,0.00016711950000003473,long,False,True,False,False,2.368,-0.006334459459459318,-0.014358108108108003,-0.00929054054054046,0.005912162162162282,0.0033783783783782884
TRUMP,2026050701,0.5,1,19235.0199172052,0.5,1,19349.139029856073,100,2,0.9970510545,0.0029489455,2026-05-07 01:00:00+00:00,0.0,-0.15912416809078422,0.15912416809078422,8.199599999980656e-06,long,False,True,False,False,2.341,-0.0029901751388295983,-0.0017086715079026593,0.011106364801366952,0.01238786843229378,0.022639897479709514
TRUMP,2026050702,0.5,1,19240.752567611056,0.5,1,19343.40637945022,100,2,0.9973465425,0.0026534575,2026-05-07 02:00:00+00:00,0.0,-5.732650405851018,5.732650405854656,0.0002954880000000104,long,False,True,False,False,2.334,-0.003856041131105381,0.005141388174807249,0.013281919451585411,0.00856898029134534,0.018851756640959838
TRUMP,2026050703,0.5,1,19240.857285845064,0.5,1,19343.301661216214,100,2,0.9973519418,0.0026480582,2026-05-07 03:00:00+00:00,0.0,-0.1047182340080326,0.1047182340080326,5.39929999998634e-06,long,False,True,False,False,2.325,0.005161290322580614,0.014193548387096744,0.013333333333333197,0.01806451612903226,0.01634408602150539
TRUMP,2026050704,0.5,1,19238.079242443546,0.5,1,19346.079704617732,100,2,0.9972087248,0.0027912752,2026-05-07 04:00:00+00:00,0.0,2.7780434015185165,-2.7780434015185165,-0.00014321699999997328,long,True,False,False,False,2.337,0.0038510911424902705,0.01283697047496779,0.010269576379974277,0.016260162601625883,0.013264869490799969
TRUMP,2026050705,0.5,1,19238.0888539979,0.5,1,19346.070093063376,100,2,0.9972092203,0.0027907797,2026-05-07 05:00:00+00:00,0.0,-0.00961155435652472,0.009611554352886742,4.955000000306242e-07,long,False,True,False,False,2.346,0.005115089514066584,0.008098891730605295,0.01534526854219953,0.019607843137254832,0.011082693947144007
TRUMP,2026050706,0.5,1,19229.580384974535,0.5,1,19354.57856208674,100,2,0.996770837,0.003229163,2026-05-07 06:00:00+00:00,0.0,8.508469023363432,-8.508469023363432,-0.00043838330000001147,long,True,False,False,False,2.358,0.003816793893129722,-0.0008481764206955678,0.01526717557251911,0.012722646310432406,0.011026293469041493
TRUMP,2026050707,0.5,1,19235.27098795946,0.5,1,19348.887959101816,100,2,0.9970639922,0.0029360078,2026-05-07 07:00:00+00:00,0.0,-5.690602984923316,5.690602984923316,0.00029315519999995043,long,False,True,False,False,2.367,-0.0008449514152935045,-0.0025348542458807355,0.0012674271229404788,0.004647232784114941,0.010561892691170138
TRUMP,2026050708,0.5,1,278681.7233607964,0.5,1,278806.6177862674,100,2,0.9997760196,0.0002239804,2026-05-07 08:00:00+00:00,0.0,259457.7298271656,259446.45237283694,0.0027120273999999833,long,True,False,False,False,2.365,-0.0038054968287527524,0.007188160676532718,-0.0046511627906977715,0.0016913319238900382,0.015221987315010344
TRUMP,2026050709,0.5,1,278690.25758748094,0.5,1,278798.0835595829,100,2,0.9998066235,0.0001933765,2026-05-07 09:00:00+00:00,0.0,-8.534226684540045,8.534226684540045,3.060390000009239e-05,long,False,True,False,False,2.356,0.0021222410865875396,0.016129032258064724,0.004668930390492321,0.006366723259762397,0.021222410865874508
TRUMP,2026050710,0.5,1,278696.0235439084,0.5,1,278792.31760315545,100,2,0.9998273014,0.0001726986,2026-05-07 10:00:00+00:00,0.0,-5.765956427436322,5.765956427436322,2.0677899999932414e-05,long,False,True,False,False,2.361,0.008894536213468918,0.003811944091486552,0.005929690808979204,0.0016941973739941218,0.011859381617958409
TRUMP,2026050711,0.5,1,278699.0257842108,0.5,1,278789.31536285306,100,2,0.9998380684,0.0001619316,2026-05-07 11:00:00+00:00,0.0,-3.002240302390419,3.0022403024486266,1.076700000002262e-05,long,False,True,False,False,2.382,0.005037783375314797,-0.011754827875734675,0.004198152812762368,-0.0025188916876575096,0.006297229219143441
TRUMP,2026050712,0.5,1,278704.6927289197,0.5,1,278783.64841814415,100,2,0.9998583925,0.0001416075,2026-05-07 12:00:00+00:00,0.0,-5.666944708907977,5.666944708849769,2.032409999996876e-05,long,False,True,False,False,2.394,-0.010025062656641603,-0.011278195488721887,-0.0025062656641604564,-0.00417710944026739,-0.0012531328320802837
TRUMP,2026050713,0.5,1,278699.1076442079,0.5,1,278789.2335028559,100,2,0.999838362,0.000161638,2026-05-07 13:00:00+00:00,0.0,5.585084711725358,-5.585084711783566,-2.003049999999007e-05,long,True,False,False,False,2.37,-0.006751054852320637,0.002109704641350074,0.0033755274261604296,0.010126582278481067,0.0071729957805906075
TRUMP,2026050714,0.5,1,278696.29580694815,0.5,1,278792.04534011567,100,2,0.9998282778,0.0001717222,2026-05-07 14:00:00+00:00,0.0,2.811837259796448,-2.8118372597382404,-1.0084199999926824e-05,long,True,False,False,False,2.354,0.005522514868309125,0.016142735768903904,0.006372132540356956,0.010195412064570863,0.021240441801189336
TRUMP,2026050715,0.5,1,278690.63116360654,0.5,1,278797.7099834573,100,2,0.9998079632,0.0001920368,2026-05-07 15:00:00+00:00,0.0,5.664643341617193,-5.664643341617193,-2.0314600000070904e-05,long,True,False,False,False,2.367,0.003379805661174462,0.008871989860582907,0.001689902830587231,-0.001689902830587231,0.0139416983523446
TRUMP,2026050716,0.5,1,278684.9215177132,0.5,1,278803.4196293506,100,2,0.999787488,0.000212512,2026-05-07 16:00:00+00:00,0.0,5.709645893308334,-5.709645893308334,-2.047520000003633e-05,long,True,False,False,False,2.375,0.00715789473684203,0.001263157894736855,-0.004210526315789331,-0.0029473684210526985,0.015578947368420915
TRUMP,2026050717,0.5,1,278684.88095915125,0.5,1,278803.46018791257,100,2,0.9997873426,0.0002126574,2026-05-07 17:00:00+00:00,0.0,0.040558561973739415,-0.040558561973739415,-1.4539999992901897e-07,long,True,False,False,False,2.392,-0.0016722408026755842,-0.00961538461538447,-0.006688963210702337,-0.00836120401337792,0.023829431438127102
TRUMP,2026050718,0.5,1,278690.51933831425,0.5,1,278797.8218087496,100,2,0.9998075622,0.0001924378,2026-05-07 18:00:00+00:00,0.0,-5.638379162992351,5.638379162992351,2.021959999998213e-05,long,False,True,False,False,2.388,-0.0041876046901171415,-0.0071189279731992405,-0.0016750418760469454,-0.0016750418760469454,0.03266331658291466
TRUMP,2026050719,0.5,1,278687.67886183603,0.5,1,278800.66228522774,100,2,0.9997973759,0.0002026241,2026-05-07 19:00:00+00:00,0.0,2.840476478158962,-2.8404764782171696,-1.0186300000047943e-05,long,True,False,False,False,2.378,-0.003784693019343921,-0.005466778805718997,0.006728343145500526,0.005887300252312766,0.03532380151387726
