ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
XRP,2026050610,1.0,1,1792788.1972727473,0.0,0,1792788.1972727473,100,1,1.0,0.0,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,1.45,0.0,-0.0193103448275862,-0.015172413793103412,-0.020689655172413834,-0.028275862068965485
XRP,2026050611,1.0,1,1792788.1972727473,0.0,0,1792788.1972727473,100,1,1.0,0.0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.45,-0.0034482758620688614,-0.0193103448275862,-0.01793103448275868,-0.01793103448275868,-0.0289655172413793
XRP,2026050612,1.0,1,1792788.1972727473,0.0,0,1792788.1972727473,100,1,1.0,0.0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.445,-0.01591695501730117,-0.01176470588235301,-0.01660899653979242,-0.01937716262975775,-0.02214532871972319
XRP,2026050613,1.0,1,1792788.1972727473,0.0,0,1792788.1972727473,100,1,1.0,0.0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.422,0.0,0.00421940928270037,0.0035161744022504937,-0.004922644163150469,-0.015471167369901506
XRP,2026050614,1.0,1,1792788.1972727473,0.0,0,1792788.1972727473,100,1,1.0,0.0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.422,0.00421940928270037,0.0014064697609001975,0.0007032348804500987,-0.007735583684950753,-0.021800281293952173
XRP,2026050615,1.0,1,1792788.1972727473,0.0,0,1792788.1972727473,100,1,1.0,0.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.428,0.0,-0.004901960784313597,-0.0014005602240896309,-0.016106442577030755,-0.027310924369747802
XRP,2026050616,1.0,2,1793668.2622727472,0.0,0,1793668.2622727472,100,2,1.0,0.0,2026-05-06 16:00:00+00:00,1.0,880.0649999999441,880.0649999999441,0.0,long,True,False,False,False,1.428,-0.0028011204481792618,-0.0007002801120447044,-0.0056022408963585235,-0.01540616246498605,-0.028711484593837433
XRP,2026050617,1.0,2,1659522.95295192,0.0,0,1659522.95295192,100,2,1.0,0.0,2026-05-06 17:00:00+00:00,0.0,-134145.30932082725,-134145.30932082725,0.0,long,False,True,False,False,1.424,-0.002106741573033588,-0.000702247191011196,0.0,-0.0098314606741573,-0.023876404494381998
XRP,2026050618,1.0,2,1550607.4783944527,0.0,0,1550607.4783944527,100,2,1.0,0.0,2026-05-06 18:00:00+00:00,0.0,-108915.47455746727,-108915.47455746727,0.0,long,False,True,False,False,1.421,0.004222378606615118,0.0035186488388458947,-0.0028149190710766714,-0.004222378606615118,-0.02111189303307537
XRP,2026050619,1.0,2,1550607.4783944527,0.0,0,1550607.4783944527,100,2,1.0,0.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.427,-0.002803083391730854,-0.004905395935529189,-0.008409250175192673,-0.005606166783461819,-0.03013314646110732
XRP,2026050620,1.0,2,1550607.4783944527,0.0,0,1550607.4783944527,100,2,1.0,0.0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.423,0.0021082220660575413,0.0007027406886856991,-0.008432888264230498,-0.005621925509487036,-0.0295151089248068
XRP,2026050621,0.6666666666,2,1449367.4783944527,0.3333333333,1,1651847.4783944527,100,3,0.9387110484,0.0612889516,2026-05-06 21:00:00+00:00,1.0,101240.0,-101240.0,-0.06128895160000003,long,True,False,False,False,1.426,-0.0042075736325385416,-0.006311360448807757,-0.014726507713884951,-0.01051893408134641,-0.030855539971949564
XRP,2026050622,0.5,1,1565441.1293944535,0.5,1,1767921.1293944535,100,2,0.9427350019,0.0572649981,2026-05-06 22:00:00+00:00,-1.0,116073.65100000077,116073.65100000077,0.004023953500000066,long,True,True,False,False,1.42,0.0028169014084507005,-0.0035211267605632646,-0.009859154929577452,-0.007746478873239315,-0.025352112676056415
XRP,2026050623,0.5,1,1631888.3453944544,0.5,1,1834368.3453944544,100,2,0.9448093398,0.0551906602,2026-05-06 23:00:00+00:00,0.0,66447.21600000095,66447.21600000095,0.0020743379000000006,long,True,False,False,False,1.424,-0.004915730337078594,-0.009129213483145993,-0.0098314606741573,-0.011235955056179803,-0.0273876404494382
XRP,2026050701,0.5,1,1589198.3453944544,0.5,1,1877058.3453944544,100,2,0.9233215097,0.0766784903,2026-05-07 01:00:00+00:00,0.0,42690.0,-42690.0,-0.021487830099999994,long,True,False,False,False,1.415,-0.002826855123674865,-0.006360424028268641,0.002826855123674976,-0.010600706713780994,-0.021201413427561877
XRP,2026050702,0.5,1,1589198.3453944544,0.5,1,1877058.3453944544,100,2,0.9233215097,0.0766784903,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.411,-0.00425230333097093,-0.0007087172218285254,0.0028348688873138794,-0.014174344436569841,-0.020552799433026347
XRP,2026050703,0.5,1,1589198.3453944544,0.5,1,1877058.3453944544,100,2,0.9233215097,0.0766784903,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.405,0.000711743772241924,0.007117437722419906,0.004270462633451988,-0.011387900355871894,-0.014946619217081958
XRP,2026050704,0.5,1,1589198.3453944544,0.5,1,1877058.3453944544,100,2,0.9233215097,0.0766784903,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.406,0.002844950213371167,0.009246088193456625,0.002133712660028486,-0.013513513513513487,-0.01493598862019907
XRP,2026050705,0.5,1,1589198.3453944544,0.5,1,1877058.3453944544,100,2,0.9233215097,0.0766784903,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.41,0.0035460992907803135,0.0035460992907803135,-0.0014184397163120588,-0.014184397163120588,-0.019858156028368823
XRP,2026050706,0.5,1,1589198.3453944544,0.5,1,1877058.3453944544,100,2,0.9233215097,0.0766784903,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.415,0.002826855123674976,-0.002826855123674865,-0.001413427561837488,-0.016961130742049524,-0.024028268551236742
