ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ZBT,2026050610,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,0.18879,-0.004290481487366993,-0.016632236876953255,-0.011970973038826327,-0.0310397796493459,-0.056411886222787366
ZBT,2026050611,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18798,-0.011277795510160726,-0.010958612618363728,-0.006649643579104136,-0.028247685924034482,-0.04856899670177672
ZBT,2026050612,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18586,-0.0011298827074140982,0.007102119875174839,-0.005165178091036227,-0.022328634456042162,-0.03481114817604647
ZBT,2026050613,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18565,0.0014543495825478647,0.004740102343118835,-0.008510638297872353,-0.03630487476434152,-0.027363318071640164
ZBT,2026050614,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18592,0.006777108433734913,0.004356712564543841,-0.005002151462994875,-0.03512263339070576,-0.02033132530120485
ZBT,2026050615,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18718,-0.0034725932257720915,-0.01218078854578486,-0.010631477721978921,-0.018591729885671593,-0.038305374505823275
ZBT,2026050616,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18653,0.0010722135849461356,-0.013188227094837246,-0.019299844529030108,-0.028788934755803464,-0.03527582694472742
ZBT,2026050617,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18673,-0.009800246344990104,-0.009318267016548032,-0.021742623038611963,-0.044877630803834445,-0.027579928238633422
ZBT,2026050618,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1849,-0.004488912925905919,0.0015684153596537964,-0.017252568956192538,-0.039913466738777714,-0.025365062195781496
ZBT,2026050619,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18407,0.004998098549464647,-0.0061932960286847916,-0.02803281360352039,-0.03265062204596081,-0.02895637529200845
ZBT,2026050620,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18499,0.0010811395210552632,-0.012541218444240165,-0.030271906589545372,-0.041029244824044464,-0.030488134493756314
ZBT,2026050621,1,1,89999.58600000059,0,0,89999.58600000059,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18519,-0.012203682704249652,-0.01879151142070301,-0.008045790809438902,-0.03952697229872015,-0.03671904530482206
