ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ZEC,2026050610,0.75,3,117120.63331111112,0.25,1,118155.21628888889,100,4,0.9956219326,0.0043780674,2026-05-06 10:00:00+00:00,,,,,long,False,False,False,False,580.0,-0.0033965517241379972,-0.027362068965517294,-0.01624137931034475,-0.04456896551724143,-0.022689655172413725
ZEC,2026050611,0.75,3,117114.88905555556,0.25,1,118160.96054444445,100,4,0.9955735317,0.0044264683,2026-05-06 11:00:00+00:00,0.0,5.744255555560812,-5.744255555560812,-4.840090000002295e-05,long,True,False,False,False,578.03,-0.006297251007733151,-0.007854263619535229,-0.0160372299015622,-0.040949431690396665,-0.01160839402799152
ZEC,2026050612,0.6,3,117113.90692777776,0.4,2,118161.94267222223,100,5,0.9955652567,0.0044347433,2026-05-06 12:00:00+00:00,1.0,0.9821277777809883,-0.9821277777955402,-8.27500000000203e-06,long,True,False,False,False,574.39,-0.017862427967060723,0.01744459339473181,-0.013962638625324209,-0.04084332944515057,0.003934608889430535
ZEC,2026050613,0.6,3,117072.28742777776,0.4,2,118120.32317222223,100,5,0.9955636942,0.0044363058,2026-05-06 13:00:00+00:00,0.0,-41.6195000000007,-41.6195000000007,-1.5624999999408473e-06,long,False,True,False,False,564.13,0.01659192030205814,0.011433534823533709,-0.014393845390246907,-0.0332192934252743,0.025401946359881578
ZEC,2026050614,0.5,3,62250.1031212963,0.5,3,172923.2984787037,100,6,0.6799933949,0.3200066051,2026-05-06 14:00:00+00:00,1.0,54802.97530648149,-54822.18430648146,-0.3155702993,long,True,False,False,False,573.49,0.019041308479659458,-0.008247746255383714,-0.017594029538440137,-0.053880625642992896,-0.007253831801775079
ZEC,2026050615,0.6,3,82882.24806064814,0.4,2,152291.15353935183,100,5,0.7721177367,0.2278822633,2026-05-06 15:00:00+00:00,-1.0,-20632.144939351885,20632.14493935184,0.09212434179999995,long,False,True,False,False,584.41,-0.023664892797864434,-0.03086873941239876,-0.03997193750962513,-0.0774285176502798,-0.03446210708235653
ZEC,2026050616,0.5714285714,4,36592.239195575894,0.4285714286,3,202636.74820442408,100,7,0.5902902349,0.4097097651,2026-05-06 16:00:00+00:00,2.0,50345.59466507225,-46290.00886507225,-0.18182750179999996,long,False,False,False,False,570.58,-0.0031897367590872916,-0.025535420098846906,-0.02879526096252949,-0.05469872761050165,-0.013705352448385888
ZEC,2026050617,0.4,4,-63119.14216942844,0.6,6,300310.1519625908,100,10,0.3949100758,0.6050899242,2026-05-06 17:00:00+00:00,3.0,97673.40375816674,-99711.38136500434,-0.1953801591,short,False,False,True,False,568.76,-0.00420212391870034,-0.009424010127294435,-0.025318236162880647,-0.0461354525634714,-0.0024966593993951403
ZEC,2026050618,0.4285714285,3,-10111.543766747576,0.5714285714,4,245252.93036674755,100,7,0.4793854781,0.5206145219,2026-05-06 18:00:00+00:00,-3.0,-55057.221595843264,53007.598402680866,0.0844754023,short,False,False,False,False,566.37,-0.018291929304165122,-0.009393152885922684,-0.027261330932076278,-0.005614704168652951,-0.0031957907375038674
ZEC,2026050619,0.4285714285,3,-9659.896115589729,0.5714285714,4,244801.2827155897,100,7,0.4802699234,0.5197300766,2026-05-06 19:00:00+00:00,0.0,-451.64765115783666,451.6476511578476,0.0008844453000000363,short,False,False,False,False,556.01,0.013291127857412599,-0.003345263574396129,-0.019100375892519894,0.016240715095052094,0.008776820560781218
