ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ARM,2026050611,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 11:00:00+00:00,,,,,long,False,False,False,False,234.3,-0.015364916773367598,-0.014938113529662789,0.0059752454118651155,-0.047801963294921146,-0.05719163465642341
ARM,2026050612,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,230.7,-0.006501950585175553,0.014304291287386306,0.029042045947117456,-0.03077589943649761,-0.04941482444733414
ARM,2026050613,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,229.2,0.006980802792321272,0.027050610820244403,0.04275741710296699,-0.03315881326352532,-0.035340314136125595
ARM,2026050614,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,230.8,0.013864818024263315,0.02123050259965331,0.06239168110918536,-0.020363951473136965,-0.04982668977469673
ARM,2026050615,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,234.0,0.005982905982905962,0.014529914529914478,-0.06752136752136761,-0.038461538461538436,-0.08076923076923082
ARM,2026050616,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,235.4,0.0012744265080713024,0.015293118096856295,-0.06414613423959215,-0.022090059473237167,-0.09005947323704344
ARM,2026050617,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,235.7,0.007212558336868957,0.04030547305897336,-0.053457785320322415,-0.03563852354688157,-0.09546033092914719
ARM,2026050618,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,237.4,0.006739679865206405,-0.08087615838247686,-0.05812973883740524,-0.046335299073294034,-0.10404380791912393
ARM,2026050619,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,239.0,0.025941422594142116,-0.07824267782426775,-0.07280334728033477,-0.06108786610878658,-0.105020920502092
ARM,2026050620,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,245.2,-0.11011419249592169,-0.09013050570962478,-0.07789559543230018,-0.08238172920065245,-0.12887438825448616
ARM,2026050621,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,218.2,0.009624197983501448,0.024747937671860676,0.031164069660861715,0.021539871677360267,
ARM,2026050622,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,220.3,0.012709940989559687,0.0059010440308668866,0.04493871992737164,0.008170676350431227,
ARM,2026050623,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,223.1,0.0022411474675032572,0.01344688480502021,0.01882563872702825,-0.009861048857014776,
ARM,2026050701,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,221.6,0.02030685920577624,0.03880866425992768,0.012635379061371799,-0.002256317689530718,
ARM,2026050702,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,226.1,-0.0048651039363113435,0.005307386112339829,-0.0048651039363113435,-0.0300751879699247,
ARM,2026050703,1,1,88439.262,0,0,88439.262,100,1,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,225.0,0.023111111111111082,0.006222222222222351,-0.009333333333333305,-0.04400000000000004,
