ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
AR,2026050611,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 11:00:00+00:00,,,,,long,False,False,False,False,2.478,0.0016142050040355294,-0.0032284100080710587,0.023405972558514954,0.05972558514931392,0.0197740112994349
AR,2026050612,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.482,-0.02457695406929916,0.03223207091055591,0.006043513295729053,0.03223207091055591,0.03666398066075738
AR,2026050613,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.421,0.02023957042544411,0.046674927715819825,0.029739776951672958,0.054522924411400275,0.030565881866997158
AR,2026050614,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.47,0.03724696356275281,0.026720647773279316,0.005668016194331882,-0.00445344129554659,-0.005668016194332104
AR,2026050615,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.562,-0.010928961748633892,-0.025370804059328678,-0.008196721311475419,-0.026541764246682087,-0.05737704918032782
AR,2026050616,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.534,0.0007892659826362891,-0.01617995264404104,-0.0007892659826360671,0.017758484609313507,-0.04459352801894234
AR,2026050617,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.536,-0.015378548895899069,-0.02050473186119872,0.03548895899053628,-0.0039432176656152285,-0.036671924290220814
AR,2026050618,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.497,-0.0016019223067681443,0.017621145374449254,0.02603123748498204,0.00040048057669217485,-0.0252302763315978
AR,2026050619,1,1,983.094,0,0,983.094,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.493,-0.0036101083032490378,0.01564380264741283,0.024067388688327362,0.003208985158443589,-0.030084235860409092
AR,2026050907,1,1,1214.6534000000001,0,0,1214.6534000000001,100,1,1,0,2026-05-09 07:00:00+00:00,0.0,231.5594000000001,231.5594000000001,0.0,long,True,False,False,False,2.578,-0.001163692785104642,-0.026377036462373993,,,
AR,2026050908,1,1,1214.6534000000001,0,0,1214.6534000000001,100,1,1,0,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.575,-0.014757281553398172,,,,
AR,2026050909,1,1,1214.6534000000001,0,0,1214.6534000000001,100,1,1,0,2026-05-09 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.537,-0.010642491131257481,,,,
AR,2026050910,1,1,1214.6534000000001,0,0,1214.6534000000001,100,1,1,0,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.51,,,,,
AR,2026050911,1,1,1214.6534000000001,0,0,1214.6534000000001,100,1,1,0,2026-05-09 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
