ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
DYDX,2026050809,1,1,1003.80525,0,0,1003.80525,100,1,1,0,2026-05-08 09:00:00+00:00,,,,,long,False,False,False,False,0.16677,-0.00017988846914918089,0.011632787671643552,0.029022006356059338,0.07393416082029147,0.04862984949331417
DYDX,2026050810,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 10:00:00+00:00,0.0,3927.44475,3927.44475,0.0,long,True,False,False,False,0.16674,0.00809643756747036,0.012474511215065265,0.05511574907040906,0.0789852464915437,0.05019791291831588
DYDX,2026050811,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.16809,0.0036885002082218676,0.025522041763341274,0.05919447914807563,0.05967041465881384,
DYDX,2026050812,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.16871,0.0006520064015174132,0.017189259676367863,0.05844348289965029,0.044040068757038586,
DYDX,2026050813,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.16882,0.021087548868617523,0.04211586304940185,0.08239545077597454,0.05727994313469975,
DYDX,2026050814,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17238,-0.004466875507599499,0.03283443554936771,0.039911822717252576,0.045074834667594876,
DYDX,2026050815,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17161,0.025173358195909268,0.04055707709340939,0.043645475205407624,0.04754967659227316,
DYDX,2026050816,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17593,0.011993406468481682,0.03865173648610254,0.022622634002159803,0.009890297277326265,
DYDX,2026050817,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17804,0.0029768591327792304,0.0068523927207368995,0.00044933722758933037,-0.004100202201752445,
DYDX,2026050818,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17857,0.023296186369490934,0.0029680237441900292,-0.01360810886487096,0.004760038080304563,
DYDX,2026050819,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18273,-0.01898976632189575,-0.015432605483500339,-0.023203633776610277,-0.03781535598971164,
DYDX,2026050820,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17926,-0.0008925582952136191,-0.0063594778533972995,0.004964855517125999,-0.024601138011826396,
DYDX,2026050821,1,1,4931.25,0,0,4931.25,100,1,1,0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1791,0.00452261306532642,-0.016527079843662862,0.0037409268565047338,-0.0235622557230597,
DYDX,2026050822,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-08 22:00:00+00:00,0.0,4229.40000000002,4229.40000000002,0.0,long,True,False,False,False,0.17991,-0.009949419154021366,-0.007892835306542056,-0.012450669779334067,-0.0266800066700017,
DYDX,2026050823,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-08 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17812,-0.011116101504603737,0.011396811138558283,-0.004547496070065105,,
DYDX,2026050901,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17849,0.009300240909854818,-0.0045940949072778015,-0.014958821222477492,,
DYDX,2026050902,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.18015,-0.0021093533166804956,-0.015764640577296762,-0.029419927837912807,,
DYDX,2026050903,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17977,-0.011681593146798841,-0.0019469321911331772,-0.027201424041831235,,
DYDX,2026050904,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17767,-0.002026228400968111,-0.010412562616085919,-0.014408735295773134,,
DYDX,2026050905,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17731,0.011900062038238124,-0.013874005978230186,,,
DYDX,2026050906,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17942,-0.020064652770036773,-0.02530375654887962,,,
DYDX,2026050907,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17582,-0.005517006028893157,-0.004038220907746637,,,
DYDX,2026050908,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17485,0.00017157563625969097,,,,
DYDX,2026050909,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17488,0.0013151875571819627,,,,
DYDX,2026050910,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.17511,,,,,
DYDX,2026050911,1,1,9160.65000000002,0,0,9160.65000000002,100,1,1,0,2026-05-09 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
