ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
GIGGLE,2026050704,1,1,168507.76000000013,0,0,168507.76000000013,100,1,1,0,2026-05-07 04:00:00+00:00,,,,,long,False,False,False,False,35.92,-0.003619153674833009,0.01948775055679275,-0.00111358574610243,-0.011971046770601346,0.02282850779510026
GIGGLE,2026050705,1,1,168507.76000000013,0,0,168507.76000000013,100,1,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.79,0.018440905280804776,0.009220452640402277,0.00419111483654655,0.010338083263481401,0.03688181056160933
GIGGLE,2026050706,1,1,168507.76000000013,0,0,168507.76000000013,100,1,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,36.45,0.004663923182441465,-0.001371742112482921,-0.0030178326474622486,-0.012894375857338991,0.024965706447187763
GIGGLE,2026050707,1,1,168507.76000000013,0,0,168507.76000000013,100,1,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,36.62,-0.01365374112506823,-0.020207536865100906,-0.022119060622610487,-0.017749863462588666,0.022392135445111983
GIGGLE,2026050708,1,1,168507.76000000013,0,0,168507.76000000013,100,1,1,0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,36.12,0.007751937984496138,-0.004983388704318914,-0.017165005537098543,-0.01356589147286813,0.050664451827242774
GIGGLE,2026050709,1,1,182570.90320000012,0,0,182570.90320000012,100,1,1,0,2026-05-07 09:00:00+00:00,0.0,14063.143199999991,14063.143199999991,0.0,long,True,False,False,False,36.4,-0.014285714285714124,-0.0016483516483515315,-0.029670329670329676,-0.02032967032967037,0.026648351648351554
GIGGLE,2026050710,1,1,182570.90320000012,0,0,182570.90320000012,100,1,1,0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.88,0.0016722408026754731,-0.0019509476031215334,-0.010869565217391353,-0.0039018952062430667,0.05797101449275366
GIGGLE,2026050711,1,1,182570.90320000012,0,0,182570.90320000012,100,1,1,0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.94,0.01112966054535347,-0.012242626599888617,0.006121313299944253,0.0013912075681692393,0.05036171396772415
GIGGLE,2026050712,1,1,182570.90320000012,0,0,182570.90320000012,100,1,1,0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,36.34,-0.014584479911942783,-0.028068244358833372,-0.009906439185470739,-0.00027517886626315935,0.04512933406714348
GIGGLE,2026050713,1,1,182570.90320000012,0,0,182570.90320000012,100,1,1,0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.81,-0.008656799776598834,-0.008936051382295473,0.00446802569114757,0.01898910918737773,0.036302708740575174
GIGGLE,2026050714,1,1,218466.1613000002,0,0,218466.1613000002,100,1,1,0,2026-05-07 14:00:00+00:00,0.0,35895.258100000094,35895.258100000094,0.0,long,True,False,False,False,35.5,-0.005070422535211283,0.018591549295774445,0.003661971830986044,0.0332394366197184,0.04591549295774655
GIGGLE,2026050715,1,1,218466.1613000002,0,0,218466.1613000002,100,1,1,0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.32,0.004813137032842585,0.018686296715741735,0.00962627406568517,0.03567383918459788,0.046149490373726065
GIGGLE,2026050716,1,1,218466.1613000002,0,0,218466.1613000002,100,1,1,0,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.49,0.01887855734009558,0.013524936601859494,0.0070442378134685235,0.03522118906734284,0.048182586644125225
GIGGLE,2026050717,1,1,218466.1613000002,0,0,218466.1613000002,100,1,1,0,2026-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,36.16,-0.004977876106194712,-0.01465707964601759,-0.004701327433628166,0.026272123893805288,0.04784292035398252
GIGGLE,2026050718,1,1,218466.1613000002,0,0,218466.1613000002,100,1,1,0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,35.98,-0.00027793218454696955,-0.008893829905503026,0.009727626459143934,0.03835464146748202,0.06281267370761556
