ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
HYPE,2026050611,1,2,143542.6147489835,0,0,143542.6147489835,100,2,1,0,2026-05-06 11:00:00+00:00,,,,,long,False,False,False,False,44.65,-0.007166853303471443,-0.02262038073908168,-0.03762597984322513,-0.034714445688689755,-0.04255319148936165
HYPE,2026050612,1,2,143542.6147489835,0,0,143542.6147489835,100,2,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,44.33,-0.010376720054139477,-0.018046469659372844,-0.027295285359801524,-0.03316038799909771,-0.028197608842770117
HYPE,2026050613,1,2,143542.6147489835,0,0,143542.6147489835,100,2,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,43.87,-0.0052427627080008365,-0.012309095053567365,-0.014360610895828518,-0.027809436972874413,-0.030544791429222617
HYPE,2026050614,1,2,143542.6147489835,0,0,143542.6147489835,100,2,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,43.64,-0.0025206232813932417,-0.015352887259395098,-0.011228230980751652,-0.024977085242896546,-0.03139321723189725
HYPE,2026050615,1,2,143542.6147489835,0,0,143542.6147489835,100,2,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,43.53,-0.0045945325063175835,-0.009418791637950896,-0.007580978635423841,-0.028486101539168418,-0.03285090742016994
HYPE,2026050616,1,2,143542.6147489835,0,0,143542.6147489835,100,2,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,43.33,-0.00830833141010845,-0.002077082852527057,-0.007846757442880103,-0.015231940918532083,-0.030002307869836042
HYPE,2026050617,1,2,143514.61392668865,0,0,143514.61392668865,100,2,1,0,2026-05-06 17:00:00+00:00,0.0,-28.000822294852696,-28.000822294852696,0.0,long,False,True,False,False,42.97,0.003490807540144303,0.004188969048173119,0.0030253665347916847,-0.0009308820107051252,-0.013730509657900791
HYPE,2026050618,1,2,150196.84992668865,0,0,150196.84992668865,100,2,1,0,2026-05-06 18:00:00+00:00,0.0,6682.236000000004,6682.236000000004,0.0,long,True,False,False,False,43.12,0.002782931354360141,0.0018552875695734272,-0.006029684601113083,-0.0006957328385898132,-0.01948051948051943
HYPE,2026050619,1,2,150196.84992668865,0,0,150196.84992668865,100,2,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,43.24,-0.002081406105458039,-0.005781683626271961,-0.01364477335800196,0.0016188714153562156,-0.021045328399630026
HYPE,2026050620,1,2,150196.84992668865,0,0,150196.84992668865,100,2,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,43.15,0.0011587485515645035,-0.0011587485515642815,-0.01390498261877171,-0.007184241019698612,-0.015063731170335992
