ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
INTC,2026050611,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 11:00:00+00:00,,,,,short,False,False,False,False,113.23,-0.00627042303276526,-0.025699902852601042,-0.018987900733021368,-0.017663163472577903,-0.028437693190850433
INTC,2026050612,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,112.52,-0.012975471027372842,-0.012886597938144395,-0.00115535015997148,-0.007820831852115129,-0.02568432278706012
INTC,2026050613,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,111.06,-0.006663065009904656,0.00018008283810555525,0.01881865658202786,0.00432198811453266,0.010534846029173428
INTC,2026050614,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,110.32,0.006798404641044309,0.006889050036258171,0.01803843364757074,0.01840101522842641,0.02492748368382891
INTC,2026050615,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,111.07,9.003331232571021e-05,0.011884397226973986,-0.009003331232556033,0.008463131358602771,-0.0004501665616277739
INTC,2026050616,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,111.08,0.0,0.018635217861001196,0.002250630176449331,0.009002520705797545,-0.0008102268635218346
INTC,2026050617,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,111.08,0.01179330212459484,0.011073100468131036,0.0013503781058696873,0.010532949225783295,0.0006301764494058837
INTC,2026050618,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,112.39,0.006762167452620371,-0.02064240590799904,-0.006673191565085834,-0.0002669276626035,-0.02384553785924015
INTC,2026050619,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,113.15,-0.007423773751657148,-0.016084843128590376,-0.014228899690676089,-0.004772425983208151,-0.02934158197083525
INTC,2026050620,0.0,0,-4996.9,1.0,1,4996.9,100,1,0.0,1.0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,112.31,-0.01994479565488383,-0.009616240762176154,0.00035615706526570534,-0.010595672691656954,-0.025109073101237667
