ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
LDO,2026050804,1,1,5738.354000000013,0,0,5738.354000000013,100,1,1,0,2026-05-08 04:00:00+00:00,,,,,long,False,False,False,False,0.3869,0.0018092530369604454,0.00801240630653921,0.021711036443525344,0.033858878263117065,0.05065908503489269
LDO,2026050805,1,1,5738.354000000013,0,0,5738.354000000013,100,1,1,0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3876,0.003095975232198178,0.013157894736842035,0.031991744066047545,0.04979360165118685,0.047729618163054655
LDO,2026050806,1,1,5738.354000000013,0,0,5738.354000000013,100,1,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3888,0.0030864197530864335,0.007458847736625529,0.03189300411522633,0.060956790123456894,0.04552469135802473
LDO,2026050807,1,1,5738.354000000013,0,0,5738.354000000013,100,1,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.39,0.00692307692307681,0.013589743589743408,0.02205128205128215,0.04820512820512812,0.03256410256410258
LDO,2026050819,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-08 19:00:00+00:00,0.0,4393.7091999999875,4393.7091999999875,0.0,long,True,False,False,False,0.4088,-0.003669275929549909,-0.0004892367906066397,-0.003669275929549909,-0.014921722113502955,
LDO,2026050820,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4073,0.004419346918733247,-0.0019641541861036282,0.004173827645470141,-0.0024551927326295075,
LDO,2026050821,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4091,-0.001222195062331899,-0.0031777071620631148,-0.00904424346125654,-0.01808848692251286,
LDO,2026050822,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4086,-0.0051395007342145416,-0.003181595692609007,-0.0051395007342145416,-0.01982378854625555,
LDO,2026050823,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-08 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4065,0.00319803198031976,0.006150061500614923,-0.0009840098400982766,,
LDO,2026050901,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4073,0.004173827645470141,-0.0019641541861036282,-0.011293886570095779,,
LDO,2026050902,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.409,-0.008801955990220045,-0.007090464547677144,-0.0066014669926649505,,
LDO,2026050903,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4054,0.002713369511593511,0.002713369511593511,-0.009126788357178062,,
LDO,2026050904,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4065,-0.0009840098400982766,-0.009348093480934683,-0.014760147601475926,,
LDO,2026050905,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4061,0.0009849790691947025,0.0004924895345972402,,,
LDO,2026050906,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4065,-0.009348093480934683,-0.011808118081180763,,,
LDO,2026050907,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4027,0.008939657313136395,-0.005463123913583279,,,
LDO,2026050908,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4063,-0.011321683485109535,,,,
LDO,2026050909,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4017,-0.0029873039581777006,,,,
LDO,2026050910,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4005,,,,,
LDO,2026050911,1,1,10132.0632,0,0,10132.0632,100,1,1,0,2026-05-09 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
