ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
NEAR,2026050611,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 11:00:00+00:00,,,,,long,False,False,False,False,1.48,0.011486486486486536,-0.007432432432432412,0.018243243243243112,0.00540540540540535,-0.004729729729729626
NEAR,2026050612,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.497,-0.022712090848363453,0.007348029392117539,0.0,-0.004008016032064132,-0.0006680026720107257
NEAR,2026050613,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.463,0.004101161995898828,0.03759398496240607,0.027341079972658777,0.004101161995898828,0.021872863978127155
NEAR,2026050614,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.469,0.026548672566371723,0.025867937372362038,0.031313818924438186,0.010211027910142834,0.006126616746085611
NEAR,2026050615,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.508,0.006631299734747964,-0.007294429708222694,0.011273209549071517,-0.01458885941644561,-0.01657824933687002
NEAR,2026050616,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.518,-0.007246376811594235,-0.00988142292490124,-0.020421607378129036,-0.01910408432147559,-0.027009222661396493
NEAR,2026050617,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.507,-0.006635700066356831,0.005308560053085554,-0.012607830126078245,-0.0033178500331784155,-0.013271400132713884
NEAR,2026050618,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.497,0.00400801603206391,0.01870407481629921,-0.004008016032064132,0.01870407481629921,-0.01870407481629932
NEAR,2026050619,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.503,0.007984031936127733,-0.01064537591483683,-0.02262142381902843,0.0,-0.029274783765801615
NEAR,2026050620,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.515,0.0066006600660066805,-0.017821782178217727,-0.020462046204620443,-0.026402640264026278,-0.038943894389438904
NEAR,2026050621,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.525,-0.02491803278688509,-0.02229508196721297,-0.025573770491803205,-0.03409836065573757,-0.04393442622950816
NEAR,2026050622,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.487,0.0006724949562877391,-0.012104909213180859,0.0013449899125757003,-0.00806993947545398,-0.01748486886348355
NEAR,2026050623,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.488,0.0020161290322582293,-0.0026881720430107503,0.009408602150537737,-0.010080645161290258,-0.012096774193548376
NEAR,2026050701,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.469,0.010211027910142834,0.013614703880190593,0.023144996596323963,0.017699115044247815,0.0
NEAR,2026050702,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.484,0.0013477088948787852,0.0121293800539084,-0.006064690026954089,-0.0040431266846361336,-0.0040431266846361336
NEAR,2026050703,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.486,0.0020188425302827273,0.026244952893674345,-0.008748317631224745,-0.0020188425302826163,-0.003364737550470953
NEAR,2026050704,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.489,0.008730691739422314,0.009402283411685586,-0.009402283411685697,-0.008059100067159153,-0.006715916722632609
NEAR,2026050705,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.502,0.015312916111850816,-0.01797603195739006,-0.01930758988015968,-0.009986684420772218,-0.011984021304926817
NEAR,2026050706,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.525,-0.01442622950819672,-0.03409836065573757,-0.019016393442622848,-0.03672131147540969,-0.02229508196721297
NEAR,2026050707,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.503,-0.018629407850964563,-0.018629407850964563,-0.005322687957418304,-0.029274783765801615,0.019294743845642115
NEAR,2026050708,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.475,-0.0013559322033898091,-0.0013559322033898091,0.0020338983050847137,-0.01288135593220352,0.04677966101694908
NEAR,2026050709,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.473,0.0013577732518670338,0.015614392396469778,0.006788866259334725,-0.010183299389002087,0.0570264765784112
NEAR,2026050710,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.475,-0.0013559322033898091,0.013559322033898313,0.0013559322033898091,-0.009491525423728775,0.05355932203389835
NEAR,2026050711,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.473,0.015614392396469778,0.0033944331296673624,0.00950441276306857,-0.0020366598778004397,0.05159538357094351
NEAR,2026050712,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.496,-0.0006684491978609097,-0.008689839572192493,-0.018048128342245895,-0.016711229946523964,0.03074866310160429
NEAR,2026050713,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.495,-0.011371237458194017,-0.012040133779264273,-0.024080267558528434,-0.017391304347826098,0.028762541806020003
NEAR,2026050714,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.478,0.003382949932341006,0.006089309878213989,-0.014884979702300405,0.0,0.06427604871447912
NEAR,2026050715,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.483,-0.004045853000674282,-0.009440323668240103,-0.01685772083614301,-0.0013486176668914274,0.059339177343223026
NEAR,2026050716,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.477,0.00677048070413,-0.012186865267433955,-0.010832769126608022,0.0013540961408260443,0.06364251861882186
NEAR,2026050717,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.487,-0.012104909213180859,-0.0208473436449228,-0.01143241425689312,-0.0020174848688635505,0.03698722259583054
NEAR,2026050718,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.469,-0.006807351940095296,-0.0074880871341048705,0.001361470388019148,0.014976174268209741,0.06126616746085767
NEAR,2026050719,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.459,-0.0020562028786841324,0.001370801919122755,0.006854009595613331,0.05003427004797811,0.07607950651130913
NEAR,2026050720,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.456,0.0013736263736263687,0.009615384615384581,0.015109890109890056,0.06043956043956045,0.08379120879120894
NEAR,2026050721,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.458,0.002057613168724437,0.008916323731138709,0.01577503429355298,0.06790123456790131,0.094650205761317
NEAR,2026050722,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.461,0.006160164271047153,0.005475701574264136,0.012320328542094527,0.06365503080082124,0.09034907597535935
NEAR,2026050723,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-07 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.47,0.0006802721088436936,0.0054421768707482165,0.00952380952380949,0.05374149659863936,0.08571428571428585
NEAR,2026050801,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-08 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.469,0.006126616746085611,0.006807351940095296,0.04288631722260039,0.04697072838665761,0.08373042886317217
NEAR,2026050802,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-08 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.478,0.002029769959404737,0.004059539918809252,0.044654939106901326,0.06427604871447912,0.07780784844384292
NEAR,2026050803,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-08 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.481,-0.0013504388926400823,0.006752194463200523,0.051316677920324016,0.060769750168804704,0.07224848075624579
NEAR,2026050804,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-08 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.479,0.0033806626098713544,0.03583502366463831,0.05070993914807298,0.06220419202163607,0.06828938471940504
NEAR,2026050805,1,1,49999.012000000024,0,0,49999.012000000024,100,1,1,0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.484,0.004716981132075526,0.040431266846361114,0.043800539083557855,0.03908355795148255,0.06469002695417791
