ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
NIGHT,2026050611,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 11:00:00+00:00,,,,,long,False,False,False,False,0.03246,-0.007701786814541034,-0.02402957486136792,-0.025878003696857665,-0.013863216266173928,-0.03203943314849067
NIGHT,2026050612,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03221,-0.009313877677739835,-0.014902204284383824,-0.02018006830176977,-0.005277864017386058,-0.012108040981061774
NIGHT,2026050613,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03191,-0.0072077718583516415,-0.005954246317768863,-0.005327483547477363,-0.004073958006894363,-0.011908492635537393
NIGHT,2026050614,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03168,0.0015782828282828731,-0.0018939393939393367,0.0028409090909091717,0.01104797979797989,-0.00978535353535348
NIGHT,2026050615,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03173,-0.00031515915537361217,-0.005357705641348964,0.008509297195083532,0.007563819728963139,-0.020485345099275132
NIGHT,2026050616,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03172,-0.0031525851197981014,0.0006305170239595537,0.006935687263556201,0.009773013871374747,-0.024590163934426257
NIGHT,2026050617,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03162,-0.0018975332068312811,0.004743833017077703,0.012333965844402162,0.023086654016445163,-0.015812776723592825
NIGHT,2026050618,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03156,0.005703422053231932,0.013941698352344822,0.015209125475285301,0.02249683143219272,-0.010773130544993514
NIGHT,2026050619,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03174,0.000945179584121103,0.006301197227473354,0.001260239445494804,0.011342155009451682,-0.027410207939508324
NIGHT,2026050620,1,1,28300.708000002076,0,0,28300.708000002076,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.03177,0.007239534151715521,0.007554296506137703,0.008183821214982734,-0.011960969468051585,-0.025180988353792788
