ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
OP,2026050611,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 11:00:00+00:00,,,,,long,False,False,False,False,0.1361,0.0073475385745775945,-0.01102130786186628,0.0007347538574575818,0.044819985304922705,0.06759735488611329
OP,2026050612,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1371,-0.020423048869438354,-0.00729394602479938,-0.0051057622173595885,0.035010940919037115,0.07585703865791382
OP,2026050613,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1343,0.0022338049143708627,0.028294862248696928,0.03052866716306779,0.033507073715562274,0.08041697691734928
OP,2026050614,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1346,0.011144130757800852,0.011887072808320909,0.04457652303120363,0.03194650817236244,0.07057949479940562
OP,2026050615,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1361,0.014695077149154967,0.0022042615723731895,0.08229243203526804,0.019838354151359372,0.059515062454077894
OP,2026050616,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1381,-0.013758146270818394,0.0021723388848660097,0.034033309196234596,0.04417089065894286,0.051412020275162895
OP,2026050617,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1362,0.001468428781204123,0.032305433186490484,0.04405286343612347,0.09691629955947145,0.06607929515418509
OP,2026050618,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1364,0.014662756598240456,0.07991202346041049,0.040322580645161255,0.09090909090909083,0.06304985337243396
OP,2026050619,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1384,0.01589595375722541,0.031791907514451045,0.0028901734104047616,0.04552023121387294,0.05997109826589586
OP,2026050620,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1406,0.04765291607396849,0.01137980085348489,-0.012091038406827903,0.030583214793741043,0.045519203413940224
OP,2026050621,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1473,-0.03054989816700593,-0.03665987780040725,-0.05770536320434472,-0.018329938900203513,-0.0020366598778003286
OP,2026050622,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1428,-0.004201680672269004,-0.02801120448179273,0.009803921568627416,0.021008403361344463,0.02310924369747891
OP,2026050623,1,1,1197,0,0,1197,100,1,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1422,-0.002109704641350185,-0.02320675105485226,0.05063291139240511,0.021800281293952395,0.039381153305203975
OP,2026050701,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1388,0.0007204610951008217,0.03890489913544659,0.04250720461095092,0.04538904899135443,0.06700288184438041
OP,2026050702,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1389,-0.0007199424046075986,0.07559395248380141,0.043196544276457916,0.037437005039596905,0.07487401007919359
OP,2026050703,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1388,0.03890489913544659,0.07204610951008639,0.0417867435158501,0.03890489913544659,0.07060518731988474
OP,2026050704,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1442,0.03606102635228847,0.0034674063800277377,0.011095700416088983,0.006934812760055475,0.032593619972260734
OP,2026050705,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1494,-0.004016064257028273,-0.030120481927710885,-0.027443105756358666,-0.028112449799196804,-0.01606425702811254
OP,2026050706,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1488,-0.027553763440860135,-0.028225806451612767,-0.008736559139784883,-0.025537634408602128,0.0047043010752687575
OP,2026050707,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1447,0.0013821700069109877,0.007601935038009877,0.0027643400138217533,0.013821700069108545,0.03870076019350366
OP,2026050708,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1449,-0.0020703933747411307,0.002760524499654915,-0.00552104899930983,0.014492753623188248,0.026915113871635477
OP,2026050709,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1446,0.008298755186721962,0.020055325034578075,-0.0027662517289074318,0.016597510373443924,0.03596127247579517
OP,2026050710,1,1,1197,0,0,1197,100,1,1,0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1458,-0.003429355281207136,-0.004801097393690057,-0.004115226337448652,0.002057613168724215,0.02537722908093265
