ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
UB,2026050611,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 11:00:00+00:00,,,,,short,False,False,False,False,0.13551,-0.009593387941849274,0.004058741052320736,0.014832853663936385,0.04058741052320869,-0.03726662238949152
UB,2026050612,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.13421,0.01937262499068626,0.02868638700543924,0.04999627449519406,0.04612174949705694,-0.03911780046196267
UB,2026050613,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.13681,-0.005482055405306663,0.020539434251882316,0.03998245742270301,0.01805423580147658,-0.07499451794459466
UB,2026050614,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.13606,0.014699397324709595,0.010730560047038207,0.09451712479788332,0.02748787299720723,-0.045788622666470546
UB,2026050615,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.13806,0.011299435028248705,0.020715630885122405,0.06902795885846746,0.013617267854556081,-0.10270896711574662
UB,2026050616,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.13962,-0.015040825096690913,0.019051711789142,0.02406532015470564,-0.022919352528290915,-0.130783555364561
UB,2026050617,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.13752,0.024723676556137164,0.08289703315881325,0.0253781268179174,-0.0282140779522978,-0.10463932518906338
UB,2026050618,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.14092,0.009650865739426528,0.047331819472040904,-0.0036900369003689537,-0.0493897246664774,-0.12276468918535333
UB,2026050619,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.14228,0.04666854090525718,0.004919876300253145,-0.02108518414394156,-0.07429013213382063,-0.13599943772842282
UB,2026050620,0,0,-14645.224285714376,1,1,14645.224285714376,100,1,0,1,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.14892,-0.008930969648133225,-0.05311576685468711,-0.06124093473005632,-0.09864356701584753,
