ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
PEPE,2026050612,0.3333333333,1,-887438.7568608208,0.6666666667,2,957430.5568608209,100,3,0.0365518937,0.9634481063,2026-05-06 12:00:00+00:00,,,,,short,False,False,False,False,4.222e-06,-0.02131691141639036,-0.017527238275698798,-0.019658929417337934,-0.02605400284225501,0.006631927996210152
PEPE,2026050613,0.5,2,-855351.0168608208,0.5,2,989518.2968608208,100,4,0.067794239,0.932205761,2026-05-06 13:00:00+00:00,1.0,32087.73999999999,32087.73999999999,0.03124234530000001,short,False,False,True,True,4.132e-06,0.0007260406582767498,0.005324298160696905,0.0026621490803484527,-0.007260406582768719,0.014762826718296207
PEPE,2026050614,0.6,3,-698640.100855072,0.4,2,1146229.2128665696,100,5,0.1952441566,0.8047558434,2026-05-06 14:00:00+00:00,1.0,156710.9160057488,156710.9160057488,0.1274499176,short,False,False,True,True,4.135e-06,0.003143893591293745,0.0012091898428052694,0.003869407496976951,-0.008222490931076187,0.0016928657799275548
PEPE,2026050615,0.5,2,-727306.5268536628,0.5,2,1117562.7868679787,100,4,0.174601492,0.825398508,2026-05-06 15:00:00+00:00,-1.0,-28666.425998590887,-28666.42599859077,-0.0206426646,short,False,False,True,True,4.148e-06,0.0014464802314368974,-0.002169720347155346,0.005785920925747368,-0.013982642237222787,-0.008919961427193757
PEPE,2026050616,0.6,3,-689715.3788536628,0.4,2,1155153.9348679788,100,5,0.2014617021,0.7985382979,2026-05-06 16:00:00+00:00,1.0,37591.148000000045,37591.148000000045,0.026860210100000004,short,False,False,True,True,4.154e-06,-0.003370245546461259,-0.0026480500722196876,-0.002888781896966841,-0.004814636494944735,-0.009870004814636513
PEPE,2026050617,0.6,3,-836000.7518603804,0.4,2,1008868.5618612611,100,5,0.0856740989,0.9143259011,2026-05-06 17:00:00+00:00,0.0,-146285.37300671765,-146285.37300671765,-0.1157876032,short,False,False,True,True,4.14e-06,-0.00024154589371994106,0.0026570048309177974,0.004830917874396157,0.004589371980676438,0.0028985507246377384
PEPE,2026050618,0.6,3,-836000.7518603804,0.4,2,1008868.5618612611,100,5,0.0856740989,0.9143259011,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,4.139e-06,0.000966417008939402,0.007972940323749844,-0.00652331481034063,0.009664170089393576,0.0031408552790530564
PEPE,2026050619,0.25,1,-949263.5432231408,0.75,3,1024445.8392231409,100,4,0.0366941292,0.9633058708,2026-05-06 19:00:00+00:00,-1.0,15577.277361879707,-113262.79136276036,-0.048979969699999994,short,False,False,True,True,4.143e-06,0.0019309678976586753,-0.00024137098720722339,-0.009896210475500822,0.02268887279748988,0.0007241129616220032
PEPE,2026050620,0.0,0,-983873.9576266112,1.0,3,983873.9576266112,100,3,0.0,1.0,2026-05-06 20:00:00+00:00,-1.0,-40571.88159652962,-34610.414403470466,-0.0366941292,short,False,False,True,True,4.151e-06,0.005059021922428464,0.0021681522524692465,-0.012045290291495925,0.014454348349795199,-0.004577210310768298
PEPE,2026050621,0.0,0,-1064559.8853870528,1.0,4,1064559.8853870528,100,4,0.0,1.0,2026-05-06 21:00:00+00:00,1.0,80685.92776044155,-80685.92776044155,0.0,short,False,False,True,False,4.172e-06,-0.007190795781399695,-0.014381591562799723,-0.019654841802492884,0.0031160115052730752,-0.011505273250239756
PEPE,2026050622,0.3333333333,1,-450033.3971717966,0.6666666667,2,549817.9751765798,100,3,0.0907432846,0.9092567154,2026-05-06 22:00:00+00:00,-1.0,-514741.910210473,614526.4882152562,0.0907432846,short,False,False,False,True,4.142e-06,0.004345726702076114,-0.00965717044905856,-0.0019314340898117788,0.009898599710284728,0.00048285852245277816
PEPE,2026050623,0.0,0,-546355.3591971893,1.0,2,546355.3591971893,100,2,0.0,1.0,2026-05-06 23:00:00+00:00,-1.0,-3462.6159793904517,-96321.96202539274,-0.0907432846,short,False,False,True,True,4.16e-06,-0.011538461538461608,-0.014182692307692202,-0.00024038461538455902,0.006490384615384537,-0.0012019230769230171
PEPE,2026050701,0.0,0,-587430.9951017769,1.0,2,587430.9951017769,100,2,0.0,1.0,2026-05-07 01:00:00+00:00,0.0,41075.63590458757,-41075.63590458757,0.0,short,False,False,True,False,4.102e-06,-0.00024378352023390892,0.007801072647489082,0.03291077523159447,0.022184300341297147,0.006094588005850721
PEPE,2026050702,0.3333333333,1,-471915.4611429333,0.6666666667,2,685642.6611429333,100,3,0.1558590298,0.8441409702,2026-05-07 02:00:00+00:00,1.0,98211.6660411564,115515.53395884362,0.1558590298,short,False,False,True,True,4.101e-06,-0.0026822726164351662,0.014142891977566574,0.026822726164350108,0.0099975615703487,0.002682272616434833
PEPE,2026050703,0.3333333333,1,-471891.3870665497,0.6666666667,2,685618.5870665497,100,3,0.1558645025,0.8441354975,2026-05-07 03:00:00+00:00,0.0,-24.074076383607462,24.074076383607462,5.472700000008768e-06,short,False,False,False,True,4.09e-06,0.010757946210268932,0.021760391198044182,0.023227383863080764,0.00513447432762848,0.009535452322738447
PEPE,2026050704,0.3333333333,1,-471870.5623470159,0.6666666667,2,685597.7623470159,100,3,0.1558692368,0.8441307632,2026-05-07 04:00:00+00:00,0.0,-20.824719533789903,20.824719533789903,4.7343000000033e-06,short,False,False,False,True,4.134e-06,0.006047411707789108,0.02491533623609099,0.011852926947266473,-0.005079825834542695,-0.00048379293662292877
PEPE,2026050705,0.3333333333,1,-480578.9690559623,0.6666666667,2,694306.1690559624,100,3,0.1539142308,0.8460857692,2026-05-07 05:00:00+00:00,0.0,8708.406708946452,-8708.406708946393,-0.001955006000000009,short,False,False,True,False,4.159e-06,0.004808848280836608,0.01250300553017536,0.006732387593171296,-0.001683096898292935,-0.008415484491464453
PEPE,2026050706,0.3333333333,1,-498015.8180581924,0.6666666667,2,711743.0180581925,100,3,0.150143517,0.849856483,2026-05-07 06:00:00+00:00,0.0,17436.849002230098,-17436.849002230098,-0.003770713799999992,short,False,False,True,False,4.179e-06,0.013878918401531548,0.00143575017946862,0.016989710457047114,-0.006460875807609456,-0.010289542952859554
