ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ETH,2026050612,0.5681818181,25,17127768.43057911,0.5,22,48052420.48254978,100,44,0.678219622,0.321780378,2026-05-06 12:00:00+00:00,,,,,long,False,False,False,False,2403.89,-0.015096364642308902,-0.01912733111748044,-0.024868026407198207,-0.03149478553511187,-0.0299680933819767
ETH,2026050613,0.5531914893,26,16947597.03891501,0.5106382979,24,48508496.404125676,100,47,0.6746868929,0.3253131071,2026-05-06 13:00:00+00:00,3.0,456075.92157589644,-180171.39166410267,-0.0035327291000000205,long,True,False,False,False,2367.6,-0.0038013177901672357,-0.0044517655009291834,-0.00825730697752991,-0.017481838148335815,-0.022833248859604693
ETH,2026050614,0.625,30,20641840.263645552,0.4583333333,22,49245077.60357655,100,48,0.7095827772,0.2904172228,2026-05-06 14:00:00+00:00,1.0,736581.1994508728,3694243.224730544,0.03489588430000001,long,True,False,False,False,2358.6,-0.0002925464258458632,-0.00398965488001346,-0.003569914355973869,-0.01586958365131852,-0.025587212753328203
ETH,2026050615,0.6274509803,32,21475679.614949714,0.4509803922,23,50114155.436720714,100,51,0.7142675999,0.2857324001,2026-05-06 15:00:00+00:00,3.0,869077.8331441656,833839.3513041623,0.004684822700000035,long,True,False,False,False,2357.91,-0.00036048873790772706,-0.005852640686031196,-0.0018194078654401036,-0.01553070303785975,-0.02716812770631616
ETH,2026050616,0.5625,27,21098315.009132747,0.4791666667,23,49883943.010903746,100,48,0.7114740108,0.2885259892,2026-05-06 16:00:00+00:00,-3.0,-230212.42581696808,-377364.6058169678,-0.002793589100000049,long,False,True,False,False,2357.06,-0.003338905246366153,-0.0038225586111511056,-0.0045310683648273065,-0.012965304234936692,-0.028064622877652656
ETH,2026050617,0.5,24,17492406.611068636,0.5625,27,50278509.38065963,100,48,0.6739551035,0.3260448965,2026-05-06 17:00:00+00:00,0.0,394566.3697558865,-3605908.3980641104,-0.03751890729999996,long,True,False,False,False,2349.19,-0.0021624474818979778,0.0004214218517870627,0.00040865149264224243,-0.008083637338827554,-0.0213350133450253
ETH,2026050618,0.4130434782,19,1519661.120773304,0.6304347826,29,43038479.24956891,100,46,0.5176546795,0.4823453205,2026-05-06 18:00:00+00:00,-2.0,-7240030.131090723,-15972745.490295332,-0.156300424,long,False,False,False,False,2344.11,0.0016808084944819335,0.004056976848356042,-0.00679575617185213,-0.003357350977556628,-0.020732815439548413
ETH,2026050619,0.3617021276,17,-4405799.060571872,0.6808510638,32,37996551.81107924,100,47,0.4420236988,0.5579763012,2026-05-06 19:00:00+00:00,1.0,-5041927.438489668,-5925460.181345176,-0.07563098070000002,short,False,False,False,False,2348.05,0.0009071357083536569,-0.0007112284661741075,-0.009301335150444068,-0.0019931432465238874,-0.02238027299248324
ETH,2026050620,0.3409090909,15,-7580598.979537486,0.7045454545,31,40758818.172013626,100,44,0.407006639,0.592993361,2026-05-06 20:00:00+00:00,-3.0,2762266.360934384,-3174799.9189656144,-0.03501705979999997,short,False,False,False,False,2350.18,0.0014637176726888246,-1.276497970359447e-05,-0.012343735373460674,-0.00740368822813553,-0.026185228365486868
ETH,2026050621,0.3695652173,17,-5909985.294667741,0.6739130435,31,39055940.521008655,100,46,0.4243394831,0.5756605169,2026-05-06 21:00:00+00:00,2.0,-1702877.65100497,1670613.6848697448,0.017332844100000022,short,False,False,False,False,2353.62,-0.003076112541531728,-0.010808881637647594,-0.013736287081177023,-0.010927847316049233,-0.028207612103907986
ETH,2026050622,0.5348837209,23,3153314.9442846486,0.5581395349,24,37407524.24663785,100,43,0.5421481374,0.4578518626,2026-05-06 22:00:00+00:00,-3.0,-1648416.2743708044,9063300.23895239,0.11780865429999998,long,False,False,False,False,2346.38,0.0016067303676301492,-0.008596220561034484,-0.008472625917370635,-0.008685720130584218,-0.025520162974454363
ETH,2026050623,0.5813953488,25,12507414.740948144,0.488372093,21,36944162.82120986,100,43,0.6692745725,0.3307254275,2026-05-06 23:00:00+00:00,0.0,-463361.4254279882,9354099.796663497,0.1271264351,long,False,True,False,False,2350.15,-0.009348339467693645,-0.01233112780035317,-0.008488819862562114,-0.008837733761674738,-0.025334553113630975
ETH,2026050701,0.6578947368,25,11699687.494593965,0.4473684211,17,29335416.271284975,100,38,0.6994123312,0.3005876688,2026-05-07 01:00:00+00:00,-5.0,-7608746.549924888,-807727.2463541795,0.030137758700000017,long,False,True,False,False,2326.21,-0.0021666143641373425,0.00012466630269836187,0.007376806049324891,-0.0054466277765120585,-0.01783158012389252
ETH,2026050702,0.6923076923,27,14154336.181655856,0.4358974359,17,31807807.44714687,100,39,0.7224978286,0.2775021714,2026-05-07 02:00:00+00:00,1.0,2472391.175861895,2454648.687061891,0.023085497399999988,long,True,False,False,False,2321.17,5.169806606142302e-05,0.0038902794711286326,0.005001787891451448,-0.009874330617748783,-0.01858545474911355
ETH,2026050703,0.659090909,29,14549950.621301709,0.4318181818,19,32102456.27747924,100,44,0.7266174042,0.2733825958,2026-05-07 03:00:00+00:00,5.0,294648.8303323686,395614.4396458529,0.004119575599999981,long,True,False,False,False,2321.29,0.002244441668210362,0.006440384441409597,0.002847554592489532,-0.01182101331587182,-0.01864911320860385
ETH,2026050704,0.6511627906,28,14690534.021757549,0.4418604651,19,32252433.97793508,100,43,0.7277430291,0.2722569709,2026-05-07 04:00:00+00:00,-1.0,149977.70045584068,140583.40045583993,0.0011256249000000107,long,True,True,False,False,2326.5,0.0015903718031375913,0.00725123576187392,-0.00021491510853210993,-0.01529765742531708,-0.01970341715022572
ETH,2026050705,0.6511627906,28,14490701.284112036,0.4186046512,18,31685302.17902607,100,43,0.7286659789,0.2713340211,2026-05-07 05:00:00+00:00,0.0,-567131.7989090085,-199832.73764551245,0.0009229497999999614,long,False,True,False,False,2330.2,0.0025920521843618705,0.0011072010986183933,-0.00035190112436689347,-0.013359368294566853,-0.02359024976396873
ETH,2026050706,0.6511627906,28,14488061.323624464,0.4186046512,18,31687375.1585385,100,43,0.7286093633,0.2713906367,2026-05-07 06:00:00+00:00,0.0,2072.9795124307275,-2639.9604875724763,-5.661559999992072e-05,long,True,False,False,False,2336.24,0.0030519124747458992,-0.0035698387152003352,-0.0018790877649556004,-0.017433996507208005,-0.02646560284902233
ETH,2026050707,0.6666666666,28,14008496.943409463,0.4047619048,17,31174845.1583235,100,42,0.7246762874,0.2753237126,2026-05-07 07:00:00+00:00,-1.0,-512530.0002150014,-479564.38021500036,-0.003933075900000027,long,False,True,False,False,2343.37,-0.004519132702048623,-0.007412401797411428,-0.01272953054788617,-0.02042784536799558,-0.02692276507764446
