ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ASTER,2026050620,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-06 20:00:00+00:00,,,,,long,False,False,False,False,0.6737,0.004601454653406556,0.008312305180347312,-0.006234228885260484,-0.0007421701053880181,-0.02211666914056687
ASTER,2026050621,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6768,0.001920803782506031,-0.00310283687943258,-0.013741134751772965,-0.007092198581560183,-0.02703900709219853
ASTER,2026050622,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6781,0.0017696504940274416,-0.010470432089662252,-0.010617902964164538,-0.008553310721132634,-0.026839699159415975
ASTER,2026050623,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6793,-0.00677167672604162,-0.014426615633740703,-0.009127042543795039,-0.006624466362431969,-0.026792286176946845
ASTER,2026050701,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.671,-0.0022354694485843263,-0.00014903129657228842,0.008941877794336861,-0.0022354694485843263,-0.0144560357675112
ASTER,2026050702,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6695,-0.0029873039581777006,0.005377147124719928,0.005526512322628907,-0.008065720687079891,-0.009111277072442081
ASTER,2026050703,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6675,0.005093632958801608,0.011685393258427101,0.006741573033707926,-0.010187265917602994,-0.0019475655430710725
ASTER,2026050704,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6709,0.003279177224623675,0.00909226412282016,0.002086749142942157,-0.0216127589804741,-0.010880906245342215
ASTER,2026050705,1,1,21897.408100000055,0,0,21897.408100000055,100,1,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.6731,0.0032684593671072903,0.00014856633486859394,0.0025256276927647647,-0.017679393849353797,-0.013519536473035165
ASTER,2026050706,1,1,23346.53680000008,0,0,23346.53680000008,100,1,1,0,2026-05-07 06:00:00+00:00,0.0,1449.1287000000266,1449.1287000000266,0.0,long,True,False,False,False,0.6753,0.002517399674218934,-0.004886717014660147,-0.00029616466755510995,-0.023100844069302573,-0.0216200207315268
ASTER,2026050707,1,1,23346.53680000008,0,0,23346.53680000008,100,1,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.677,-0.005612998522895207,-0.006942392909896622,-0.011078286558345751,-0.025406203840472652,-0.020679468242245203
