ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BNB,2026050613,1,1,504377.021,0,0,504377.021,100,1,1,0,2026-05-06 13:00:00+00:00,,,,,long,False,False,False,False,647.0,0.0001545595054095461,0.0034003091190109025,0.005100463678516132,-0.0035548686244203376,-0.0007727975270479526
BNB,2026050614,1,1,504377.021,0,0,504377.021,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,647.1,0.0016998918250656914,0.0016998918250656914,0.0023180343069078013,-0.005408746716118018,-0.008035852263946874
BNB,2026050615,1,1,504377.021,0,0,504377.021,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,648.2,0.00154273372415914,0.002159827213822796,0.002005553841406993,-0.009256402344955283,-0.009256402344955283
BNB,2026050616,1,1,504377.021,0,0,504377.021,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,649.2,-0.0015403573629081402,0.001694393099198832,-0.00400492914356132,-0.00800985828712264,-0.012168823166974874
BNB,2026050617,1,1,504377.021,0,0,504377.021,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,648.2,0.002159827213822796,0.000617093489663656,-0.001234186979327423,-0.002159827213823018,-0.00755939524838023
BNB,2026050618,1,1,504377.021,0,0,504377.021,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,649.6,0.0010775862068963526,-0.00015394088669951067,-0.0076970443349754225,-0.0026169950738916814,-0.010006157635467972
BNB,2026050713,1,1,257880.839,0,0,257880.839,100,1,1,0,2026-05-07 13:00:00+00:00,0.0,-246496.182,-246496.182,0.0,long,False,True,False,False,646.5,-0.00711523588553753,-0.0080433101314773,-0.004949729311678364,-0.01376643464810512,-0.012219644238205651
BNB,2026050714,1,1,257880.839,0,0,257880.839,100,1,1,0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,641.9,0.00046736251752621527,0.0021810250817884125,0.001869450070104417,-0.00560835021031314,0.00015578750584199774
BNB,2026050715,1,1,257880.839,0,0,257880.839,100,1,1,0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,642.2,-0.0014014325755218326,0.0014014325755216106,0.0,-0.004827156649019004,-0.0023357209592027584
BNB,2026050716,1,1,257880.839,0,0,257880.839,100,1,1,0,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,641.3,0.003118665211289562,0.003118665211289562,-0.009823795415562109,-0.003118665211289562,0.0018711991267739148
