ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
LTC,2026050613,1,4,161869.55190009013,0,0,161869.55190009013,100,4,1,0,2026-05-06 13:00:00+00:00,,,,,long,False,False,False,False,56.92,-0.0021082220660576523,0.0010541110330286596,-0.0001756851721715913,-0.012122276879831473,0.0005270555165144408
LTC,2026050614,1,4,161869.55190009013,0,0,161869.55190009013,100,4,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.8,0.004225352112676051,0.0012323943661971537,0.0012323943661971537,-0.008274647887323905,-0.005457746478873204
LTC,2026050615,1,4,161869.55190009013,0,0,161869.55190009013,100,4,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,57.04,-0.0010518934081347187,-0.004558204768583374,-0.0008765778401121915,-0.015427769985974837,-0.014901823281907478
LTC,2026050616,1,4,161737.36636266267,0,0,161737.36636266267,100,4,1,0,2026-05-06 16:00:00+00:00,0.0,-132.18553742746008,-132.18553742746008,0.0,long,False,True,False,False,56.98,-0.0019305019305019266,-0.0012285012285012664,-0.004738504738504679,-0.008775008775008808,-0.013864513864513817
LTC,2026050617,1,4,161472.99528780783,0,0,161472.99528780783,100,4,1,0,2026-05-06 17:00:00+00:00,0.0,-264.37107485483284,-264.37107485483284,0.0,long,False,True,False,False,56.87,-0.0015825567082820013,0.0,-0.0024617548795499156,-0.003868471953578312,-0.004747670124846115
LTC,2026050618,1,4,161472.99528780783,0,0,161472.99528780783,100,4,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.78,0.0022895385699188697,0.003698485382176875,-0.005988023952095856,0.003698485382176875,-0.00387460373370907
LTC,2026050619,1,4,161472.99528780783,0,0,161472.99528780783,100,4,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.91,-0.0007028641714988959,-0.0035143208574942575,-0.011948690915480564,0.003162888771744976,-0.008610086100860892
LTC,2026050620,1,3,105042.54028780785,0,0,105042.54028780785,100,3,1,0,2026-05-06 20:00:00+00:00,-1.0,-56430.45499999999,-56430.45499999999,0.0,long,False,True,False,False,56.87,0.0021100756110428165,-0.0024617548795499156,-0.00949534024969223,0.0008791981712679142,-0.00949534024969223
LTC,2026050621,1,3,105042.54028780785,0,0,105042.54028780785,100,3,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.99,-0.004913142656606473,-0.00965081593261985,-0.014563958589226322,-0.003684856992454799,-0.011230040357957494
LTC,2026050622,1,3,105660.30028780784,0,0,105660.30028780784,100,3,1,0,2026-05-06 22:00:00+00:00,0.0,617.7599999999948,617.7599999999948,0.0,long,True,False,False,False,56.71,0.0003526714865103031,-0.008464115676247608,-0.004055722094868708,0.002821371892082425,-0.006348086757185678
LTC,2026050623,1,3,105668.12178624808,0,0,105668.12178624808,100,3,1,0,2026-05-06 23:00:00+00:00,0.0,7.821498440243886,7.821498440243886,0.0,long,True,False,False,False,56.73,-0.0051119337211351645,-0.00705094306363474,-0.0014101886127269037,0.00652212233386229,-0.005640754450907837
LTC,2026050701,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 01:00:00+00:00,1.0,2407.678,2407.678,0.0,long,True,False,False,False,56.23,0.0017784101013693654,0.0044460252534235245,0.015294326871776676,0.012804552729859697,0.0037346612128756895
LTC,2026050702,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.33,-0.0030179300550329247,0.005680809515355989,0.01047399254393766,0.0028404047576779945,-0.0014202023788389972
LTC,2026050703,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.16,0.005698005698005604,0.014779202279202375,0.011039886039886149,0.0005341880341880323,0.0039173789173789775
LTC,2026050704,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.48,0.003009915014164255,0.01080028328611915,0.0069050991501415915,-0.0051345609065155395,0.0001770538243626163
LTC,2026050705,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.65,0.006001765225066347,0.004766107678729092,0.007943512797881747,-0.0008826125330979595,-0.003706972639011541
LTC,2026050706,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.99,0.0017546938059309625,-0.003684856992454799,0.005965958940164828,-0.0075451833655026945,-0.011580979119143797
LTC,2026050707,1,4,108075.79978624808,0,0,108075.79978624808,100,4,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,57.09,-0.0029777544228412056,-0.003853564547206312,-0.0024522683482220975,-0.01173585566649149,-0.010334559467507498
LTC,2026050708,1,4,109830.39978624808,0,0,109830.39978624808,100,4,1,0,2026-05-07 08:00:00+00:00,0.0,1754.5999999999913,1754.5999999999913,0.0,long,True,False,False,False,56.92,-0.002459592410400613,0.003162333099086423,-0.007554462403373097,-0.01036542515811667,-0.007203092059030247
LTC,2026050709,1,4,109830.39978624808,0,0,109830.39978624808,100,4,1,0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,56.78,0.0015850651637900892,0.00968650933427262,-0.010390982740401622,-0.007573089115885834,-0.005459668897499159
