ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
MEGA,2026050613,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 13:00:00+00:00,,,,,long,False,False,False,False,0.1251,0.0023980815347723894,0.0007993605115907965,-0.010391686650679466,-0.008792965627497873,-0.043165467625899234
MEGA,2026050614,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1254,-0.0007974481658693522,-0.0031897926634769647,0.0007974481658692412,-0.015151515151515249,-0.04146730462519943
MEGA,2026050615,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1253,-0.0007980845969671746,0.003990422984836428,-0.002394253790901746,-0.027932960893854664,-0.022346368715083775
MEGA,2026050616,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1252,-0.0015974440894569453,-0.011182108626198173,-0.009584664536741228,-0.01757188498402562,-0.033546325878594296
MEGA,2026050617,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.125,0.006399999999999961,0.0040000000000000036,0.008799999999999919,-0.021599999999999953,-0.02639999999999998
MEGA,2026050618,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1258,-0.015898251192368873,-0.006359300476947549,-0.005564387917329161,-0.021462639109697923,-0.03497615262321141
MEGA,2026050619,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1238,0.013731825525040486,0.001615508885298933,0.001615508885298933,0.0008077544426494665,-0.02988691437802904
MEGA,2026050620,1,1,553.84,0,0,553.84,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1255,-0.003984063745019917,0.004780876494023811,-0.015936254980079667,-0.013545816733067761,
MEGA,2026050701,1,1,12555.00000000013,0,0,12555.00000000013,100,1,1,0,2026-05-07 01:00:00+00:00,0.0,12001.160000000129,12001.160000000129,0.0,long,True,False,False,False,0.124,-0.0040322580645161255,-0.008064516129032251,-0.0008064516129032695,-0.0346774193548387,
MEGA,2026050702,1,1,12555.00000000013,0,0,12555.00000000013,100,1,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1235,-0.013765182186234792,-0.009716599190283337,0.0024291497975708065,-0.026720647773279316,
MEGA,2026050703,1,1,12555.00000000013,0,0,12555.00000000013,100,1,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1218,0.009852216748768461,0.010673234811165777,0.011494252873563315,0.005747126436781436,
MEGA,2026050704,1,1,12555.00000000013,0,0,12555.00000000013,100,1,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.123,-0.005691056910569037,0.007317073170731714,-0.005691056910569037,-0.016260162601625994,
MEGA,2026050705,1,1,12555.00000000013,0,0,12555.00000000013,100,1,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1223,0.006541291905151292,0.012264922322158478,-0.0016353229762878785,-0.004905968928863524,
MEGA,2026050706,1,1,12555.00000000013,0,0,12555.00000000013,100,1,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.1231,0.006498781478472715,0.0008123476848092004,-0.002437043054427268,-0.013809910641754741,
