ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
SOL,2026050613,0.7,7,2315253.407969049,0.4,4,3383035.3361289515,100,10,0.842185815,0.157814185,2026-05-06 13:00:00+00:00,,,,,long,False,False,False,False,88.28,0.0006796556411419186,0.009401903035795245,0.010534662437698072,-0.0002265518803805655,0.0036248300860897142
SOL,2026050614,0.6666666666,6,1574281.5701997993,0.4444444444,4,2642063.4983597016,100,9,0.7979265205,0.2020734795,2026-05-06 14:00:00+00:00,-1.0,-740971.8377692499,-740971.8377692499,-0.04425929449999999,long,False,True,False,False,88.34,0.006452343219379486,0.00498075616934579,0.008942721304052492,-0.002716776092370532,-0.002603577088521658
SOL,2026050615,0.6666666666,6,1661616.5701997993,0.4444444444,4,2729398.4983597016,100,9,0.804392446,0.195607554,2026-05-06 15:00:00+00:00,0.0,87335.0,87335.0,0.006465925500000025,long,True,False,False,False,88.91,0.0022494657518838945,0.00022494657518845607,0.00596108424249242,-0.01349679451130359,-0.007310763693622713
SOL,2026050616,0.6666666666,6,1661616.5701997993,0.4444444444,4,2729398.4983597016,100,9,0.804392446,0.195607554,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,89.11,-0.0037032880709235716,0.001122208506340483,-0.001009987655706479,-0.00886544720008986,-0.008079901245651389
SOL,2026050617,0.7,7,1713881.3849997993,0.4,4,2806581.335959702,100,10,0.80533257,0.19466743,2026-05-06 17:00:00+00:00,1.0,77182.8376000002,52264.81480000005,0.0009401239999999866,long,True,False,False,False,88.78,0.0016895697229106776,0.003942329353457952,0.00371705339040318,-0.0018022077044379525,-0.00033791394458215773
SOL,2026050618,0.5833333333,7,1144087.221945953,0.5,6,3325551.8067058553,100,12,0.6720146442,0.3279853558,2026-05-06 18:00:00+00:00,2.0,518970.4707461535,-569794.1630538462,-0.13331792580000001,long,True,False,False,False,88.93,0.003148543798493053,0.0057348476329697196,-0.007309119532216468,0.0032609917912964637,-0.004385471719329792
SOL,2026050619,0.5,6,901606.345816504,0.5833333333,7,3220642.682835304,100,12,0.639973048,0.360026952,2026-05-06 19:00:00+00:00,0.0,-104909.12387055112,-242480.8761294491,-0.03204159620000002,long,False,True,False,False,89.21,-0.0008967604528640205,-0.002129806075552021,-0.010649030377760216,0.010200650151328539,-0.009079699585248124
SOL,2026050620,0.4545454545,5,206946.48547610553,0.6363636364,7,3648317.2352949055,100,11,0.5283619093,0.4716380907,2026-05-06 20:00:00+00:00,-1.0,427674.5524596013,-694659.8603403985,-0.11161113869999995,long,False,False,False,False,89.13,0.0034780657466622067,-0.00022439133849427861,-0.011556153932458235,0.004712218108380961,-0.0125659149556826
SOL,2026050621,0.4545454545,5,206946.48547610553,0.6363636364,7,3648317.2352949055,100,11,0.5283619093,0.4716380907,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,89.44,-0.004695885509839015,-0.012969588550983846,-0.01934257602862255,-0.0003354203935599376,-0.0168828264758496
SOL,2026050622,0.5,5,874824.5687761056,0.6,6,2980439.151994906,100,10,0.6467610181,0.3532389819,2026-05-06 22:00:00+00:00,-1.0,-667878.0832999996,667878.0833,0.11839910879999993,long,False,True,False,False,89.02,0.0010110087620760488,-0.008537407324196722,-0.007863401482812837,0.0010110087620760488,-0.011008762075937928
