ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
SUI,2026050801,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 01:00:00+00:00,,,,,long,False,False,False,False,0.9624,0.00041562759767233004,0.001974231088944345,0.005195344970906124,0.016105569409808673,0.12562344139650872
SUI,2026050802,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9628,0.0005193186539260708,0.00010386373078530298,0.010697964270876659,0.047777316161196515,0.13772330702118807
SUI,2026050803,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9633,0.0010380982040900655,-0.0014533374857261805,0.014429565036852443,0.03944773175542404,0.12342987646631376
SUI,2026050804,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9643,-0.0014518303432542456,0.0032147671886342266,0.017940474955926655,0.04127346261536857,0.12568702685886124
SUI,2026050805,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9629,-0.0010385294423096436,0.010593000311558853,0.01993976529234609,0.06376570775781487,0.1176653858136878
SUI,2026050806,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9619,0.005717850088366783,0.015906019336729305,0.0178812766399834,0.06289635097203461,0.11622829815989211
SUI,2026050807,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9674,0.005892081868926979,0.01467851974364276,0.010853835021707559,0.05830059954517264,0.1077113913582799
SUI,2026050808,1,1,45632.1972,0,0,45632.1972,100,1,1,0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.9731,0.004213338814099243,0.009248792518754545,0.03668687699105955,0.04912136471071826,0.1058472921590794
SUI,2026050823,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-08 23:00:00+00:00,0.0,-37128.5449,-37128.5449,0.0,long,False,True,False,False,1.0213,0.061196514246548483,0.07255458729070785,0.05375501811416816,0.02986389895231567,
SUI,2026050901,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-09 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.0833,0.011169574448444575,0.002030831717898973,-0.010800332317917327,-0.025200775408473985,
SUI,2026050902,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.0954,-0.012050392550666311,-0.01752784371006011,-0.017619134562716687,,
SUI,2026050903,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.0822,0.0030493439290333324,-0.007854370726298243,-0.030955461097763926,,
SUI,2026050904,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.0855,-0.00856748042376776,-0.012805158912943204,-0.0362045140488253,,
SUI,2026050905,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.0762,-0.00232298829213895,-9.291953168555356e-05,-0.022672365731276733,,
SUI,2026050906,1,1,8503.6523,0,0,8503.6523,100,1,1,0,2026-05-09 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,1.0737,-0.0019558535903884122,-0.0232839713141475,-0.01909285647760095,,
