ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
AAVE,2026050614,1,1,361773.91670632776,0,0,361773.91670632776,100,1,1,0,2026-05-06 14:00:00+00:00,,,,,long,False,False,False,False,93.12,0.003221649484536071,0.0016108247422679245,0.008376288659793785,-0.004188144329896892,-0.008913230240549797
AAVE,2026050615,1,1,493264.13910632784,0,0,493264.13910632784,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,131490.2224000001,131490.2224000001,0.0,long,True,False,False,False,93.42,-0.0017126953543138423,-0.0035324341682723137,0.010597302504816941,-0.014236780132733884,-0.01166773710126312
AAVE,2026050616,1,1,492882.51734842313,0,0,492882.51734842313,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,-381.6217579047079,-381.6217579047079,0.0,long,False,True,False,False,93.26,0.00010722710701260851,0.0037529487454428523,0.004396311387518725,-0.0048252198155693815,-0.011580527557366493
AAVE,2026050617,1,1,492260.0663258213,0,0,492260.0663258213,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,-622.451022601861,-622.451022601861,0.0,long,False,True,False,False,93.27,-0.0019298809906721504,0.006754583467353026,0.010828776669883133,-0.0004288624423715026,-0.0058968585826095765
AAVE,2026050618,1,1,492111.11449566454,0,0,492111.11449566454,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,-148.95183015672956,-148.95183015672956,0.0,long,False,True,False,False,93.09,0.0055859920507035365,0.014179825974862892,0.0009668063164680607,0.004189494038027819,-0.004834031582339748
AAVE,2026050619,1,1,24049.853287251084,0,0,24049.853287251084,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,-468061.26120841346,-468061.26120841346,0.0,long,False,True,False,False,93.61,0.0030979596196987202,0.0006409571626964095,-0.005875440658049347,0.004914004914004844,-0.012285012285012331
AAVE,2026050620,1,1,24516.259287251083,0,0,24516.259287251083,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,466.40599999999904,466.40599999999904,0.0,long,True,False,False,False,93.9,0.005431309904153192,0.004046858359957328,-0.012460063897763551,-0.00031948881789134465,-0.020021299254526226
AAVE,2026050621,1,1,24521.848594818952,0,0,24521.848594818952,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,5.589307567868673,5.589307567868673,0.0,long,True,False,False,False,94.41,-0.007838152738057325,-0.013028280902446676,-0.024573668043639363,-0.012286834021819737,-0.026586166719627102
AAVE,2026050622,1,1,26133.553257679687,0,0,26133.553257679687,100,1,1,0,2026-05-06 22:00:00+00:00,0.0,1611.704662860735,1611.704662860735,0.0,long,True,False,False,False,93.67,0.006512223764278735,-0.006512223764278846,-0.009181167929966927,-0.0007473043663926981,-0.017081242660403673
AAVE,2026050623,1,1,25904.93100339701,0,0,25904.93100339701,100,1,1,0,2026-05-06 23:00:00+00:00,0.0,-228.6222542826763,-228.6222542826763,0.0,long,False,True,False,False,94.28,-0.011667373780229084,-0.016440390326686427,-0.01113703860840043,-0.005409418752651773,-0.020258803563852346
