ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BASED,2026050614,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 14:00:00+00:00,,,,,long,False,False,False,False,0.08674,0.0376988701867651,0.015909614941203687,0.043463223426331465,0.027207747290753925,0.056144800553378005
BASED,2026050615,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.09001,-0.01066548161315417,-0.028219086768136892,-0.011998666814798442,-0.017553605154982943,0.003999555604932814
BASED,2026050616,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08905,-0.010443571027512588,-0.006850084222347008,-0.009769792251544174,0.006064008983716951,0.018641212801796758
BASED,2026050617,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08812,-0.007376305038583775,0.02712210621879252,-0.00011348161597835027,0.019518837948252266,0.02144802541988211
BASED,2026050618,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08747,0.011089516405624833,0.016691437064136228,0.004344346633131213,0.026866354178575413,0.028695552760946486
BASED,2026050619,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08844,0.023405698778832917,-0.002939846223428466,-0.014473089099954817,0.025101763907733998,0.019561284486657504
BASED,2026050620,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.09051,-0.017456634626008105,-0.026516407026847877,-0.015578389128273029,-0.010164622693624947,
BASED,2026050621,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08893,-0.008433599460249686,-0.012144383222759458,-0.00562239964016642,0.008995839424266405,
BASED,2026050622,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08818,-0.0007938308006351091,-0.01156724880925375,0.015990020412792072,0.030845996824676813,
BASED,2026050623,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08811,-0.0029508568834410998,0.011235955056179803,0.019634547724435514,0.04766768811712652,
BASED,2026050701,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08716,0.022257916475447503,0.027879761358421407,0.040156034878384705,0.06184029371271227,
BASED,2026050702,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.0891,-0.007519640852974185,0.008305274971941667,0.005499438832772263,0.028170594837261476,
BASED,2026050703,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08843,0.013117720230691132,0.015718647517810824,0.014700893361981437,0.021938256247879817,
BASED,2026050704,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08959,0.002790490010045721,0.01194329724299581,0.014622167652639684,0.012501395245005043,
BASED,2026050705,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08984,-0.00022261798753342443,-0.002782724844167417,0.027493321460374087,0.0018922528940339411,
BASED,2026050706,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08982,0.009352037408149716,-0.0010020040080159776,0.036740146960587916,0.0017813404586952686,
BASED,2026050707,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.09066,-0.01180233840723588,0.002647253474520106,0.02084712111184639,-0.005404809177145475,
BASED,2026050708,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08959,0.0015626744056256303,0.030360531309297834,0.022547159281169682,,
BASED,2026050709,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.08973,0.013039117352056095,0.03778000668672665,0.007132508637022195,,
