ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
GALA,2026050822,0.0,0,-21.08,1.0,1,21.08,100,1,0.0,1.0,2026-05-08 22:00:00+00:00,,,,,short,False,False,False,False,0.004151,0.002649963864129079,0.005540833534088074,0.06528547337990842,0.015417971573114864,
GALA,2026050823,0.0,0,-5103.415580000215,1.0,2,5103.415580000215,100,2,0.0,1.0,2026-05-08 23:00:00+00:00,1.0,5082.3355800002155,-5082.3355800002155,0.0,short,False,False,True,False,0.004162,0.004324843825084024,0.014175876982220004,0.04012493993272481,0.024026910139356206,
GALA,2026050901,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 01:00:00+00:00,-1.0,-87.69999999999982,87.69999999999982,0.0,short,False,False,False,True,0.004174,0.01126018207954016,0.05941542884523243,0.01868711068519402,-0.008145663632007749,
GALA,2026050902,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.004221,0.017294479981047273,0.0255863539445631,0.003553660270078307,,
GALA,2026050903,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.004294,0.02980903586399619,0.03795994410805781,-0.02258965999068463,,
GALA,2026050904,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.004422,-0.021031207598371626,-0.03844414292175491,-0.04681139755766617,,
GALA,2026050905,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.004329,0.029568029568029397,-0.021483021483021503,-0.015477015477015521,,
GALA,2026050906,0.5,1,2592.8844199997848,0.5,1,12624.315580000217,100,2,0.602694059,0.397305941,2026-05-09 06:00:00+00:00,1.0,7608.600000000001,7608.6,0.602694059,long,True,False,False,False,0.004457,-0.04599506394435726,-0.05833520305137985,-0.06686111734350453,,
GALA,2026050907,0.5,1,2592.8844199997848,0.5,1,12624.315580000217,100,2,0.602694059,0.397305941,2026-05-09 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.004252,-0.0037629350893696456,-0.008701787394167382,-0.026340545625587963,,
GALA,2026050908,0.5,1,2592.8844199997848,0.5,1,12624.315580000217,100,2,0.602694059,0.397305941,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.004236,-0.009206798866855492,0.006137865911236995,,,
GALA,2026050909,0.5,1,2592.8844199997848,0.5,1,12624.315580000217,100,2,0.602694059,0.397305941,2026-05-09 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.004197,0.0042887776983560055,-0.009054086252084814,,,
GALA,2026050910,0.5,1,2592.8844199997848,0.5,1,12624.315580000217,100,2,0.602694059,0.397305941,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.004215,0.011150652431791253,-0.017793594306049876,,,
GALA,2026050911,0.5,1,2592.8844199997848,0.5,1,12624.315580000217,100,2,0.602694059,0.397305941,2026-05-09 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.004262,-0.024167057719380547,,,,
GALA,2026050912,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 12:00:00+00:00,-1.0,-7608.600000000001,-7608.6,-0.602694059,short,False,False,True,True,0.004159,-0.004568405866795078,,,,
GALA,2026050913,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 13:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,0.00414,,,,,
GALA,2026050914,0.0,0,-5015.715580000216,1.0,1,5015.715580000216,100,1,0.0,1.0,2026-05-09 14:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
