ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
IP,2026050614,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 14:00:00+00:00,,,,,long,False,False,False,False,0.5182,0.0063681976071015,0.020841373986877798,0.03164801235044368,0.021999228097259627,0.03299884214588955
IP,2026050615,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5215,0.008245445829338616,0.014765100671141118,0.0333652924256953,0.01112176414189836,0.03259827420901251
IP,2026050616,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5258,0.006085964244959996,0.007987828071509995,0.026816279954355204,0.01445416508177999,0.013313046785850213
IP,2026050617,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.529,0.0003780718336483524,0.010586011342154977,0.031190926275992403,0.015311909262759826,0.015500945179584003
IP,2026050618,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5292,0.0015117157974300355,0.018329554043839735,0.013794406651549407,0.0185185185185186,0.01776266061980336
IP,2026050619,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.53,0.008679245283018666,0.018679245283018897,-0.0015094339622642172,0.013396226415094414,0.0337735849056604
IP,2026050620,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5346,0.008043396932285951,0.020389075944631463,-0.009352787130564866,0.001122334455667895,0.01683501683501687
IP,2026050621,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5389,0.001855631842642369,-0.00445351642234193,-0.021525329374652125,-0.010205975134533474,0.005381332343662892
IP,2026050622,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5399,0.010372291165030356,-0.01981848490461202,-0.012039266530839199,-0.011483608075569696,-0.0020374143359883634
IP,2026050623,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5455,-0.016498625114573784,-0.029147571035747055,-0.015398716773602161,-0.01429880843263065,0.0058661778185151725
IP,2026050701,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5292,0.0007558578987150177,0.007936507936507908,0.014928193499622155,0.006046863189720364,0.04308390022675734
IP,2026050702,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5296,-0.004342900302114705,0.014161631419939757,0.010574018126888296,0.010762839879154162,0.020959214501510504
IP,2026050703,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5273,0.01156836715342302,0.022188507490991993,0.01156836715342302,0.0212402806751375,0.02617106011758019
IP,2026050704,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5334,0.0069366329208848665,0.0069366329208848665,0.0005624296962878361,-0.0011248593925757833,0.020997375328083878
IP,2026050705,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5371,0.0035375162911934765,-0.0035375162911934765,0.0011171104077452032,0.00018618506795742285,0.012474399553155768
IP,2026050706,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.539,-0.003525046382189312,-0.010389610389610504,0.003525046382189201,-0.0007421150278293931,0.005936920222634479
IP,2026050707,1,2,143802.99434517772,0,0,143802.99434517772,100,2,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.5371,-0.0035375162911934765,-0.006330292310556818,-0.008750698194004869,0.020107987339415434,0.009123068329919937
