ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
LAB,2026050614,0.3636363636,4,97818.85725219856,0.6363636364,7,182399.38537436412,100,11,0.7681447008,0.2318552992,2026-05-06 14:00:00+00:00,,,,,long,False,False,False,False,3.6895,0.06664859737091744,0.12649410489226187,0.1377693454397615,0.2347472557257082,0.14175362515245982
LAB,2026050615,0.4166666666,5,103850.81188896285,0.5833333333,7,180648.4970489629,100,12,0.7874389036,0.2125610964,2026-05-06 15:00:00+00:00,1.0,-1750.8883254012326,6031.954636764291,0.01929420280000005,long,True,True,False,False,3.9354,0.10687604817807594,0.05231996747471679,0.09038471311683693,0.13876607206383085,-0.02810387762362143
LAB,2026050616,0.3076923076,4,100166.72966382108,0.6923076923,9,176615.04517452014,100,13,0.7835736037,0.2164263963,2026-05-06 16:00:00+00:00,1.0,-4033.451874442748,-3684.0822251417703,-0.003865299900000063,long,True,True,False,False,4.356,-0.04586776859504127,-0.04005968778696056,0.0005968778696052723,0.018388429752066004,-0.06161616161616157
LAB,2026050617,0.3333333333,4,79089.508180887,0.6666666667,8,197213.18422822567,100,12,0.7005178013,0.2994821987,2026-05-06 17:00:00+00:00,-1.0,20598.139053705527,-21077.22148293408,-0.08305580239999999,long,True,True,False,False,4.1562,-0.0035850055339011755,0.0100091429671334,0.0961936384197104,0.03226504980511047,0.005726384678311769
LAB,2026050618,0.3333333333,4,73832.732243933,0.6666666667,8,198384.60688867432,100,12,0.6860848313,0.3139151687,2026-05-06 18:00:00+00:00,0.0,1171.4226604486466,-5256.775936954,-0.01443296999999999,long,True,False,False,False,4.1413,0.009707096805350979,0.036172216453770556,0.0890541617366527,0.13423321179339798,0.030232052737063198
LAB,2026050619,0.3333333333,4,64997.7576820726,0.6666666667,8,207219.58145053472,100,12,0.6568330493,0.3431669507,2026-05-06 19:00:00+00:00,0.0,8834.974561860407,-8834.9745618604,-0.029251782000000004,long,True,False,False,False,4.1815,0.00389812268324774,0.04235322252780116,0.058758818605763485,0.11170632548128667,0.03328948941767318
LAB,2026050620,0.3,3,83050.49886290681,0.7,7,196313.00426970053,100,10,0.7115257192,0.2884742808,2026-05-06 20:00:00+00:00,-2.0,-10906.577180834196,18052.741180834208,0.05469266989999999,long,False,True,False,False,4.1978,0.02222592786697808,0.08533041116775464,0.08523512315975035,0.07804087855543385,-0.0027395302301205238
LAB,2026050621,0.4166666666,5,107479.07766029068,0.6666666667,8,215984.4364585588,100,12,0.748812089,0.251187911,2026-05-06 21:00:00+00:00,2.0,19671.432188858278,24428.578797383874,0.0372863698,long,True,False,False,False,4.2911,0.01573023234135773,0.05103586492973844,0.04437090722658521,0.05753769429749944,-0.0031693505161847213
LAB,2026050622,0.5555555555,5,93261.48211842953,0.5555555556,5,201869.7992021952,100,9,0.7309941419,0.2690058581,2026-05-06 22:00:00+00:00,-3.0,-14114.63725636361,-14217.595541861156,-0.017817947099999953,long,False,True,False,False,4.3586,0.04528977194511996,0.0157389987610701,0.017780938833570348,0.023746157022897396,0.04320194557885548
LAB,2026050623,0.5,6,92221.59692085821,0.5,6,253929.23000462388,100,12,0.6815891713,0.3184108287,2026-05-06 23:00:00+00:00,3.0,52059.43080242869,-1039.8851975713187,-0.04940497060000004,long,True,False,False,False,4.556,-0.01007462686567151,-8.779631255484421e-05,-0.058318700614574115,-0.2516681299385426,-0.011215978928884929
