ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ONDO,2026050716,1,1,104144.01000000015,0,0,104144.01000000015,100,1,1,0,2026-05-07 16:00:00+00:00,,,,,long,False,False,False,False,0.3551,-0.016896648831315142,-0.012109264995775915,-0.00872993522951293,0.013798929878907185,0.18529991551675584
ONDO,2026050717,1,2,132650.7820000004,0,0,132650.7820000004,100,2,1,0,2026-05-07 17:00:00+00:00,1.0,28506.77200000026,28506.77200000026,0.0,long,True,False,False,False,0.3491,-0.004869664852477862,-0.006301919220853769,0.008593526210254998,0.039816671440847884,0.28186765969636207
ONDO,2026050718,1,2,132650.7820000004,0,0,132650.7820000004,100,2,1,0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3474,0.00978698906160047,0.0031663788140472438,0.007484168105929667,0.03799654576856648,0.32095567069660325
ONDO,2026050719,1,1,126781.4120000004,0,0,126781.4120000004,100,1,1,0,2026-05-07 19:00:00+00:00,-1.0,-5869.37000000001,-5869.37000000001,0.0,long,False,True,False,False,0.3508,-0.011117445838084383,0.003420752565564289,-0.007411630558722848,0.041904218928164205,0.23546180159635122
ONDO,2026050720,1,1,126781.4120000004,0,0,126781.4120000004,100,1,1,0,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3469,0.0046122801960217785,0.014989910637071224,0.0046122801960217785,0.07466128567310482,0.27327760161429815
ONDO,2026050721,1,1,126781.4120000004,0,0,126781.4120000004,100,1,1,0,2026-05-07 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3485,0.010043041606886627,0.004304160688665792,0.027833572453371813,0.11018651362984233,0.27431850789096135
ONDO,2026050722,1,1,126781.4120000004,0,0,126781.4120000004,100,1,1,0,2026-05-07 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.352,0.0002840909090910948,-0.010795454545454497,0.022727272727272707,0.13295454545454555,0.27244318181818206
ONDO,2026050723,1,1,129778.82900000046,0,0,129778.82900000046,100,1,1,0,2026-05-07 23:00:00+00:00,0.0,2997.4170000000595,2997.4170000000595,0.0,long,True,False,False,False,0.3521,-0.005964214711729698,-0.010224368077250912,0.03095711445612026,0.1269525702925305,0.28230616302186884
ONDO,2026050801,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 01:00:00+00:00,0.0,5995.7920000001905,5995.7920000001905,0.0,long,True,False,False,False,0.3482,0.000861573808156102,0.03388856978747845,0.049684089603676096,0.1608271108558299,0.3609994256174611
ONDO,2026050802,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3485,0.027833572453371813,0.041606886657101994,0.0697274031563846,0.1913916786226686,0.30731707317073176
ONDO,2026050803,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3582,0.005025125628140614,0.00670016750418756,0.08012283640424345,0.16554997208263522,0.25125628140703515
ONDO,2026050804,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.36,0.008333333333333304,0.015277777777777724,0.10777777777777775,0.1691666666666667,0.24194444444444452
ONDO,2026050805,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.363,-0.006611570247933907,0.026997245179063434,0.09311294765840228,0.23278236914600559,0.22561983471074387
ONDO,2026050806,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3606,0.013588463671658335,0.07293399889073782,0.10815307820299513,0.2726012201885746,0.21769273433166947
ONDO,2026050807,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3655,0.019972640218878235,0.09110807113543085,0.10588235294117654,0.18577291381668948,0.18932968536251704
ONDO,2026050808,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3728,0.03782188841201717,0.06437768240343344,0.11373390557939911,0.18481759656652352,0.16309012875536477
ONDO,2026050809,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3869,0.03075730162832757,0.03282501938485405,0.07909020418712842,0.14784181959162557,0.09614887567846986
ONDO,2026050810,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3988,-0.005015045135406182,0.013540621865596902,0.05541624874623885,0.1231193580742227,0.05040120361083256
ONDO,2026050811,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3968,0.007056451612903247,0.0463709677419355,0.12777217741935498,0.13785282258064524,0.07535282258064524
ONDO,2026050812,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.3996,0.011511511511511419,0.044794794794794646,0.1483983983983983,0.17642642642642636,0.05055055055055058
ONDO,2026050813,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4042,0.027214250371103477,0.04131618010885707,0.07224146462147463,0.17243938644235524,0.05541810984661044
ONDO,2026050814,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4152,0.005539499036608886,0.07779383429672437,0.06382466281310206,0.09730250481695557,
ONDO,2026050815,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4175,0.008143712574850248,0.0991616766467065,0.06371257485029935,0.07353293413173656,
ONDO,2026050816,1,1,135774.62100000065,0,0,135774.62100000065,100,1,1,0,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.4209,0.06319790924210023,0.029698265621287634,0.06414825374198152,0.06224756474221915,
