ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
TON,2026050614,0.5,1,126450.10194946504,0.5,1,126605.89805053495,100,2,0.9993847202,0.0006152798,2026-05-06 14:00:00+00:00,,,,,long,False,False,False,False,2.268,0.013227513227513255,0.06393298059964736,0.0555555555555558,0.16931216931216952,0.07142857142857162
TON,2026050615,0.5,1,126450.10194946504,0.5,1,126605.89805053495,100,2,0.9993847202,0.0006152798,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.298,0.05395996518711921,0.04830287206266304,0.052219321148825104,0.16100957354221057,0.053089643167972156
TON,2026050616,0.5,1,126450.10194946504,0.5,1,126605.89805053495,100,2,0.9993847202,0.0006152798,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,2.422,-0.0037159372419489634,-0.017341040462427904,0.014037985136250875,0.16308835672997524,0.010322047894302244
TON,2026050617,0.5,1,126108.40194946504,0.5,1,126947.59805053494,100,2,0.9966947145,0.0033052855,2026-05-06 17:00:00+00:00,0.0,341.6999999999971,-341.6999999999971,-0.0026900056999999977,long,True,False,False,False,2.413,-0.0016576875259013413,-0.007874015748031371,0.01533360961458774,0.1541649399088274,0.07169498549523423
TON,2026050618,0.5,1,126318.20097473252,0.5,1,126737.79902526748,100,2,0.9983446215,0.0016553785,2026-05-06 18:00:00+00:00,0.0,-209.79902526746446,209.799025267479,0.001649907000000006,long,False,True,False,False,2.409,-0.012038190120381875,0.0037359900373601374,0.012038190120382097,0.19385637193856375,0.1083437110834371
TON,2026050619,0.5,1,126370.08675517503,0.5,1,126685.91324482496,100,2,0.9987535058,0.0012464942,2026-05-06 19:00:00+00:00,0.0,-51.88578044252063,51.885780442506075,0.00040888429999996756,long,False,True,False,False,2.38,0.005882352941176672,0.031932773109243806,0.08151260504201674,0.15294117647058836,0.11008403361344543
TON,2026050620,0.5,1,163124.494596888,0.5,1,163531.50540311198,100,2,0.9987555584,0.0012444416,2026-05-06 20:00:00+00:00,0.0,36845.59215828702,36754.407841712964,2.0525999999687627e-06,long,True,False,False,False,2.394,0.010025062656641603,0.023391812865497075,0.10776942355889729,0.12113617376775276,0.08270676691729317
TON,2026050621,0.5,1,162642.894596888,0.5,1,164013.105403112,100,2,0.9958228618,0.0041771382,2026-05-06 21:00:00+00:00,0.0,481.6000000000058,-481.5999999999767,-0.002932696599999951,long,True,False,False,False,2.418,0.01571546732837037,0.008271298593879317,0.10339123242349046,0.06286186931348214,0.07940446650124056
TON,2026050622,0.6666666666,2,204318.66120935488,0.3333333333,1,204831.75679064513,100,3,0.9987475194,0.0012524806,2026-05-06 22:00:00+00:00,1.0,40818.651387533144,41675.76661246686,0.002924657599999936,long,True,False,False,False,2.456,-0.0024429967426709,0.0480456026058631,0.1469869706840392,0.04600977198697076,0.08591205211726383
TON,2026050623,0.6666666666,2,148704.37421826305,0.3333333333,1,148862.24978173696,100,3,0.9994697259,0.0005302741,2026-05-06 23:00:00+00:00,0.0,-55969.50700890817,-55614.28699109182,0.0007222065000000999,long,False,True,False,False,2.45,-0.004897959183673528,0.08244897959183661,0.1367346938775511,-0.001224489795918382,0.10775510204081629
