ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
TSLA,2026050614,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 14:00:00+00:00,,,,,long,False,False,False,False,391.64,0.007864365233377635,0.01603513430701664,0.01685221121438052,0.014911653559391391,0.051067306710244065
TSLA,2026050615,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,394.72,0.007524321037697623,0.01276854479124423,0.006054925010133827,0.00904438589379808,0.03212403729225777
TSLA,2026050616,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,397.69,0.0005783399129977163,0.0026905378561190574,-0.0010812441851694166,0.001433277175689529,0.027835751464708736
TSLA,2026050617,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,397.92,0.004624045034177682,0.0008041817450743505,-0.00218636911942105,0.0017591475673501833,0.024175713711298785
TSLA,2026050618,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,399.76,-0.0025015009005403543,-0.006628977386431756,-0.006603962377426442,-0.0031769061436861534,0.012707624574744836
TSLA,2026050619,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,398.76,-0.0013040425318486815,-0.0037616611495636665,-0.0027083960276858,0.003987360818537455,0.03305246263416595
TSLA,2026050620,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,398.24,-0.0028374849337082786,-0.0029881478505423553,-0.001908396946564861,0.008562675773402972,0.030659903575733116
TSLA,2026050621,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,397.11,0.0003777290926947341,2.5181939512952667e-05,0.0029714688625317454,0.018433179723502224,0.02714613079499384
TSLA,2026050622,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,397.26,-0.0005286210542213565,0.001057242108442935,0.002517243115340184,0.0224538085888335,0.028973468257564194
TSLA,2026050623,1.0,1,32950.2168,0.0,0,32950.2168,100,1,1.0,0.0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,397.05,0.00017630021407888385,0.001082987029341398,0.003954161944339507,0.025059816144062497,0.031129580657347944
