ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BASED,2026050805,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-08 05:00:00+00:00,,,,,long,False,False,,,,,,
BASED,2026050806,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050807,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050808,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050809,1,2,54394.56420000056,0,0,54394.56420000056,100,2,1,0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050810,1,1,48467.68920000056,0,0,48467.68920000056,100,1,1,0,2026-05-08 10:00:00+00:00,-1.0,-5926.875,-5926.875,0.0,long,False,True,,,,,,
BASED,2026050811,1,1,48467.68920000056,0,0,48467.68920000056,100,1,1,0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050812,1,1,48467.68920000056,0,0,48467.68920000056,100,1,1,0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050813,1,1,48467.68920000056,0,0,48467.68920000056,100,1,1,0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050814,1,1,48467.68920000056,0,0,48467.68920000056,100,1,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050815,1,2,54285.96820000057,0,0,54285.96820000057,100,2,1,0,2026-05-08 15:00:00+00:00,1.0,5818.27900000001,5818.27900000001,0.0,long,True,False,,,,,,
BASED,2026050816,1,1,48467.68920000056,0,0,48467.68920000056,100,1,1,0,2026-05-08 16:00:00+00:00,-1.0,-5818.27900000001,-5818.27900000001,0.0,long,False,True,,,,,,
BASED,2026050817,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 17:00:00+00:00,1.0,5764.160100000088,5764.160100000088,0.0,long,True,False,,,,,,
BASED,2026050818,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050819,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050820,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050821,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050822,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050823,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-08 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050901,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-09 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050902,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050903,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050904,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BASED,2026050905,1,2,54231.84930000065,0,0,54231.84930000065,100,2,1,0,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
