ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BSB,2026050805,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 05:00:00+00:00,,,,,long,False,False,,,,,,
BSB,2026050806,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050807,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050808,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050809,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050810,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050811,1.0,3,140770.9280000002,0.0,0,140770.9280000002,100,3,1.0,0.0,2026-05-08 11:00:00+00:00,1.0,9641.218000000052,9641.218000000052,0.0,long,True,False,,,,,,
BSB,2026050812,1.0,3,140770.9280000002,0.0,0,140770.9280000002,100,3,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050813,1.0,3,144763.4100000002,0.0,0,144763.4100000002,100,3,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,3992.482000000018,3992.482000000018,0.0,long,True,False,,,,,,
BSB,2026050814,0.75,3,144734.9827500002,0.25,1,144791.8372500002,100,4,0.9998036681,0.0001963319,2026-05-08 14:00:00+00:00,1.0,28.427249999978812,-28.427250000007916,-0.000196331900000013,long,True,False,,,,,,
BSB,2026050815,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 15:00:00+00:00,-2.0,-13662.127250000049,-13605.272750000062,0.000196331900000013,long,False,True,,,,,,
BSB,2026050816,0.75,3,143238.3710000002,0.25,1,143360.1310000002,100,4,0.9995753352,0.0004246648,2026-05-08 16:00:00+00:00,2.0,12230.42100000006,12108.661000000051,-0.0004246648000000297,long,True,False,,,,,,
BSB,2026050817,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 17:00:00+00:00,-2.0,-12230.42100000006,-12108.661000000051,0.0004246648000000297,long,False,True,,,,,,
BSB,2026050818,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050819,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050820,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050821,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050822,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050823,1.0,2,131129.71000000014,0.0,0,131129.71000000014,100,2,1.0,0.0,2026-05-08 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
BSB,2026050901,1.0,3,134282.78854663068,0.0,0,134282.78854663068,100,3,1.0,0.0,2026-05-09 01:00:00+00:00,1.0,3153.0785466305388,3153.0785466305388,0.0,long,True,False,,,,,,
BSB,2026050902,1.0,4,167082.897568024,0.0,0,167082.897568024,100,4,1.0,0.0,2026-05-09 02:00:00+00:00,1.0,32800.10902139332,32800.10902139332,0.0,long,True,False,,,,,,
BSB,2026050903,1.0,5,189954.562841635,0.0,0,189954.562841635,100,5,1.0,0.0,2026-05-09 03:00:00+00:00,1.0,22871.665273610997,22871.665273610997,0.0,long,True,False,,,,,,
BSB,2026050904,0.8,4,168721.96955798968,0.2,1,182088.0132632352,100,5,0.9632978484,0.0367021516,2026-05-09 04:00:00+00:00,0.0,-7866.549578399805,-21232.593283645314,-0.03670215160000001,long,False,True,,,,,,
BSB,2026050905,0.8,4,189522.6087409898,0.2,1,202128.64808023552,100,5,0.968816792,0.031183208,2026-05-09 05:00:00+00:00,0.0,20040.634817000333,20800.63918300011,0.005518943600000048,long,True,False,,,,,,
