ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
CHIP,2026050805,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 05:00:00+00:00,,,,,long,False,False,,,,,,
CHIP,2026050806,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050807,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050808,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050809,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050810,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050811,1.0,1,6868.506000000066,0.0,0,6868.506000000066,100,1,1.0,0.0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050812,1.0,1,3437.6166170421484,0.0,0,3437.6166170421484,100,1,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,-3430.8893829579174,-3430.8893829579174,0.0,long,False,True,,,,,,
CHIP,2026050813,1.0,1,4263.832617042154,0.0,0,4263.832617042154,100,1,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,826.2160000000058,826.2160000000058,0.0,long,True,False,,,,,,
CHIP,2026050814,1.0,1,4263.832617042154,0.0,0,4263.832617042154,100,1,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050815,1.0,1,4263.832617042154,0.0,0,4263.832617042154,100,1,1.0,0.0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050816,0.6666666666,2,15470.978175188184,0.3333333333,1,15578.30444185485,100,3,0.9965552648,0.0034447352,2026-05-08 16:00:00+00:00,2.0,11314.471824812696,11207.145558146029,-0.003444735199999993,long,True,False,,,,,,
CHIP,2026050817,1.0,1,2131.916308521077,0.0,0,2131.916308521077,100,1,1.0,0.0,2026-05-08 17:00:00+00:00,-2.0,-13446.388133333774,-13339.061866667107,0.003444735199999993,long,False,True,,,,,,
CHIP,2026050818,1.0,1,2131.916308521077,0.0,0,2131.916308521077,100,1,1.0,0.0,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050819,1.0,1,2131.916308521077,0.0,0,2131.916308521077,100,1,1.0,0.0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050820,1.0,2,113555.76930852284,0.0,0,113555.76930852284,100,2,1.0,0.0,2026-05-08 20:00:00+00:00,1.0,111423.85300000176,111423.85300000176,0.0,long,True,False,,,,,,
CHIP,2026050821,1.0,2,113555.76930852284,0.0,0,113555.76930852284,100,2,1.0,0.0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050822,1.0,2,113555.76930852284,0.0,0,113555.76930852284,100,2,1.0,0.0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,,,,,,
CHIP,2026050823,1.0,1,111423.85300000176,0.0,0,111423.85300000176,100,1,1.0,0.0,2026-05-08 23:00:00+00:00,-1.0,-2131.916308521075,-2131.916308521075,0.0,long,False,True,,,,,,
CHIP,2026050901,0.0,0,-11693.748375710033,1.0,2,11693.748375710033,100,2,0.0,1.0,2026-05-09 01:00:00+00:00,1.0,-99730.10462429174,-123117.60137571179,-1.0,short,False,False,,,,,,
CHIP,2026050902,0.5,1,-225.1362356687967,0.5,1,4312.5762356687965,100,2,0.4738977094,0.5261022906,2026-05-09 02:00:00+00:00,0.0,-7381.172140041236,11468.612140041236,0.4738977094,short,False,False,,,,,,
CHIP,2026050903,0.3333333333,1,-2282.216235668797,0.6666666667,2,10395.496235668796,100,3,0.3902305294,0.6097694706,2026-05-09 03:00:00+00:00,1.0,6082.919999999999,-2057.08,-0.08366717999999995,short,False,False,,,,,,
CHIP,2026050904,0.3333333333,1,-5269.51223566881,0.6666666667,2,13382.792235668809,100,3,0.303123588,0.696876412,2026-05-09 04:00:00+00:00,0.0,2987.296000000013,-2987.296000000013,-0.08710694140000003,short,False,False,,,,,,
CHIP,2026050905,0.25,1,-2582.0974777070146,0.75,3,10695.377477707014,100,4,0.3792890908,0.6207109092,2026-05-09 05:00:00+00:00,1.0,-2687.4147579617947,2687.414757961795,0.0761655028,short,False,False,,,,,,
