ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
DOGE,2026050805,1,2,260283.57450000424,0,0,260283.57450000424,100,2,1,0,2026-05-08 05:00:00+00:00,,,,,long,False,False,0.10591,0.0031158530828061526,0.009914077990746728,0.013596449815881373,0.020016995562269768,0.040694929657256074
DOGE,2026050806,1,2,260283.57450000424,0,0,260283.57450000424,100,2,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.10624,0.00018825301204805633,0.008094879518072196,0.003765060240963791,0.02324924698795172,0.03849774096385539
DOGE,2026050807,1,2,260283.57450000424,0,0,260283.57450000424,100,2,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.10626,0.006587615283267567,0.010257858083945193,0.0043290043290042934,0.02503293807641649,0.03613777526821016
DOGE,2026050808,1,3,267717.63450000423,0,0,267717.63450000423,100,3,1,0,2026-05-08 08:00:00+00:00,1.0,7434.059999999998,7434.059999999998,0.0,long,True,False,0.10696,0.0013089005235602524,0.003646222887060624,0.007198952879581277,0.015519820493642422,0.03281600598354517
DOGE,2026050809,1,3,270942.63450000423,0,0,270942.63450000423,100,3,1,0,2026-05-08 09:00:00+00:00,0.0,3225.0,3225.0,0.0,long,True,False,0.1071,0.002334267040149385,-0.004295051353874868,0.001680672268907557,0.017180205415499472,
DOGE,2026050810,1,4,312000.1149000062,0,0,312000.1149000062,100,4,1,0,2026-05-08 10:00:00+00:00,1.0,41057.48040000198,41057.48040000198,0.0,long,True,False,0.10735,0.0,-0.005868653935724333,0.0016767582673498094,0.020214252445272418,
DOGE,2026050811,1,4,440675.34140001127,0,0,440675.34140001127,100,4,1,0,2026-05-08 11:00:00+00:00,0.0,128675.22650000505,128675.22650000505,0.0,long,True,False,0.10735,-0.006613879832324199,0.0035398230088496963,0.0063344201210993045,0.019748486259897557,
DOGE,2026050812,1,4,472514.3414000143,0,0,472514.3414000143,100,4,1,0,2026-05-08 12:00:00+00:00,0.0,31839.000000003027,31839.000000003027,0.0,long,True,False,0.10664,0.0007501875468867159,0.006001500375093727,0.019411102775694022,0.026256564141035277,
DOGE,2026050813,1,5,502513.82140001433,0,0,502513.82140001433,100,5,1,0,2026-05-08 13:00:00+00:00,1.0,29999.48000000004,29999.48000000004,0.0,long,True,False,0.10672,0.009464017991004603,0.007589955022488715,0.020614692653673217,0.025955772113943176,
DOGE,2026050814,1,5,502513.82140001433,0,0,502513.82140001433,100,5,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.10773,-0.00417710944026739,0.002784739626844779,0.00826139422630634,0.026269377146570072,
