ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
INTC,2026050817,0.0,0,-55794.497,1.0,1,55794.497,100,1,0.0,1.0,2026-05-08 17:00:00+00:00,,,,,short,False,False,125.58,-0.009157509157509125,-0.003822264691829891,0.005175983436852993,0.007644529383659782,
INTC,2026050818,0.0,0,-55794.497,1.0,1,55794.497,100,1,0.0,1.0,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,124.43,0.0056256529775775554,0.01591256127943419,0.016073294221650825,0.017198424817166158,
INTC,2026050819,0.0,0,-55794.497,1.0,1,55794.497,100,1,0.0,1.0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,125.13,-0.0002397506593143639,0.009030608167505783,0.010069527691201285,0.011028530328458519,
INTC,2026050820,0.0,0,-55794.497,1.0,1,55794.497,100,1,0.0,1.0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,125.1,0.010471622701838657,0.009032773780975223,0.008473221422861776,0.011191047162270262,
INTC,2026050821,0.0,0,-55794.497,1.0,1,55794.497,100,1,0.0,1.0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,126.41,-0.0011866149829917738,0.00015821533106574748,-0.00031643066213105087,,
INTC,2026050822,0.0,0,-55794.497,1.0,1,55794.497,100,1,0.0,1.0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,126.26,-0.00023760494218283412,0.0010296214161253925,0.0019008395374622289,,
INTC,2026050823,0.0,0,-61654.931,1.0,1,61654.931,100,1,0.0,1.0,2026-05-08 23:00:00+00:00,0.0,5860.433999999994,-5860.433999999994,0.0,short,False,False,126.23,0.0015844094113919294,-0.0005545432939871864,0.002455834587657524,,
INTC,2026050901,0.5,1,-17613.115,0.5,1,117586.271,100,2,0.4251055635,0.5748944365,2026-05-09 01:00:00+00:00,1.0,55931.34,44041.81599999999,0.4251055635,short,False,False,126.39,-0.0018197642218530374,0.0008703220191470518,0.0009494422027058746,,
INTC,2026050902,0.3333333333,1,-17676.780000000002,0.6666666667,2,117649.936,100,3,0.4248755222,0.5751244778,2026-05-09 02:00:00+00:00,1.0,63.66500000000815,-63.66500000000087,-0.00023004129999998346,short,False,False,126.16,0.001664552948636766,0.003012048192771122,0.0026949904882689335,,
INTC,2026050903,0.5,1,-17613.115,0.5,1,117586.271,100,2,0.4251055635,0.5748944365,2026-05-09 03:00:00+00:00,-1.0,-63.66500000000815,63.66500000000087,0.00023004129999998346,short,False,False,126.37,0.0010287251721134982,0.0015826541109440484,,,
INTC,2026050904,0.5,1,-17613.115,0.5,1,117586.271,100,2,0.4251055635,0.5748944365,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,126.5,0.0003162055335967917,7.905138339925344e-05,,,
INTC,2026050905,0.5,1,-17613.115,0.5,1,117586.271,100,2,0.4251055635,0.5748944365,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,126.54,0.0002370791844474862,-0.000316105579263537,,,
