ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
LAB,2026050805,0.3333333333,4,253429.86327075915,0.6666666667,8,441038.7530900654,100,12,0.7873101983,0.2126898017,2026-05-08 05:00:00+00:00,,,,,long,False,False,4.536,0.0037698412698412564,-0.016776895943562464,-0.03902116402116396,-0.07619047619047603,-0.060934744268077545
LAB,2026050806,0.3333333333,4,253429.86327075915,0.6666666667,8,441038.7530900654,100,12,0.7873101983,0.2126898017,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,4.5531,-0.01179416221914742,-0.05249170894555355,-0.09925105971755488,-0.08569985284751047,-0.05978344424677684
LAB,2026050807,0.3636363636,4,248059.12427075917,0.6363636364,7,446409.4920900654,100,11,0.7778380933,0.2221619067,2026-05-08 07:00:00+00:00,-1.0,5370.739000000001,-5370.738999999972,-0.009472105000000064,long,True,True,4.4994,-0.008778948304218215,-0.046072809707961127,-0.06054140552073595,-0.09485709205671855,-0.06947593012401654
LAB,2026050808,0.3333333333,4,243795.35843742584,0.6666666667,8,450311.918256732,100,12,0.7706960981,0.2293039019,2026-05-08 08:00:00+00:00,1.0,3902.4261666666134,-4263.765833333338,-0.007141995200000029,long,True,False,4.4599,-0.03269131594878816,-0.022623825646314932,-0.03439539003116676,-0.10264804143590656,-0.06455301688378678
LAB,2026050809,0.4166666666,5,250839.50315892108,0.5833333333,7,449189.8709782272,100,12,0.7792132229,0.2207867771,2026-05-08 09:00:00+00:00,0.0,-1122.0472785048187,7044.1447214952495,0.008517124799999998,long,False,True,4.3141,-0.005099557265710208,-0.04934980644862186,-0.001483507568206588,-0.0393129505574743,
LAB,2026050810,0.3333333333,4,243470.81854577592,0.6666666667,8,450636.4581483819,100,12,0.7701410573,0.2298589427,2026-05-08 10:00:00+00:00,0.0,1446.5871701547294,-7368.68461314516,-0.009072165599999904,long,True,False,4.2921,0.01558677570420075,-0.015167400573145806,-0.017194380373243723,-0.03527410824538102,
LAB,2026050811,0.4166666666,5,261427.93643742584,0.5833333333,7,462656.440256732,100,12,0.7825292308,0.2174707692,2026-05-08 11:00:00+00:00,0.0,12019.982108350086,17957.11789164992,0.012388173499999988,long,True,False,4.359,-0.059142005047029045,-0.012044046799724706,-0.03867859600825874,-0.0844230328056893,
LAB,2026050812,0.3846153846,5,252357.65986389655,0.6923076923,9,471726.7168302613,100,13,0.7674828993,0.2325171007,2026-05-08 12:00:00+00:00,1.0,9070.276573529292,-9070.276573529292,-0.01504633150000001,long,True,False,4.1012,0.03067394908807186,0.05035111674631798,0.015044377255437169,0.006217692382717077,
LAB,2026050813,0.4166666666,5,253679.54828249625,0.6666666667,8,470404.8284116616,100,12,0.7696396092,0.2303603908,2026-05-08 13:00:00+00:00,-1.0,-1321.8884185996721,1321.8884185997013,0.0021567098999999423,long,False,True,4.227,0.01880766501064568,-0.0020581973030519007,-0.036527087769103295,-0.0258339247693401,
LAB,2026050814,0.3846153846,5,252720.39828249623,0.6923076923,9,471363.9784116616,100,13,0.7680735162,0.2319264838,2026-05-08 14:00:00+00:00,1.0,959.1499999999651,-959.1500000000233,-0.0015660929999999906,long,True,False,4.3065,0.00027864855451054105,-0.026959247648902673,-0.07068384999419464,-0.013073261349123233,
LAB,2026050815,0.3333333333,4,255972.41587169815,0.6666666667,8,467750.621155793,100,12,0.7736206049,0.2263793951,2026-05-08 15:00:00+00:00,-1.0,-3613.3572558685555,3252.017589201918,0.00554708869999998,long,False,True,4.3077,-0.020753534368688542,-0.033614225688882726,-0.03788564663277383,-0.00139285465561656,
LAB,2026050816,0.3076923076,4,205283.14387169812,0.6923076923,9,518439.893155793,100,13,0.6979816238,0.3020183762,2026-05-08 16:00:00+00:00,1.0,50689.272,-50689.272000000026,-0.0756389811,long,True,False,4.2183,-0.006614038830808577,-0.03453998056088936,-0.01839603631794806,0.012208709669772055,
LAB,2026050817,0.25,3,189900.8158716981,0.75,9,503845.121155793,100,12,0.6884515775,0.3115484225,2026-05-08 17:00:00+00:00,-1.0,-14594.771999999997,-15382.328000000009,-0.009530046299999984,long,False,True,4.1904,-0.006562619320351404,-0.04493604429171438,-0.04758495609011082,0.016513936617029268,
LAB,2026050818,0.2307692307,3,190300.30332521928,0.7692307692,10,503445.6337022719,100,13,0.6889978684,0.3110021316,2026-05-08 18:00:00+00:00,1.0,-399.4874535211129,399.4874535211711,0.0005462909000000238,long,True,True,4.1629,-0.0216916092147299,-0.004419995676091082,-0.008695861058396814,0.028345624444497952,
LAB,2026050819,0.3333333333,4,195204.6110609733,0.6666666667,8,504207.2694999978,100,12,0.6935757602,0.3064242398,2026-05-08 19:00:00+00:00,-1.0,761.635797725874,4904.307735754002,0.004577891800000011,long,True,True,4.0726,-0.017310808819918533,0.01672150468987854,0.011098561115749028,0.028041054854392566,
