ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
LTC,2026050805,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 05:00:00+00:00,,,,,long,False,False,56.44,-0.0019489723600283337,0.0012402551381998084,0.0019489723600283337,0.031360737065910804,0.03809355067328157
LTC,2026050806,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.33,0.0030179300550328136,0.002485354162968134,0.006035860110065849,0.04349369785194401,0.04047576779691098
LTC,2026050807,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.5,0.00017699115044234048,-0.0012389380530973826,0.000353982300884903,0.03415929203539814,0.03522123893805307
LTC,2026050808,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.51,-0.0007078393204742461,0.0007078393204742461,0.011856308617943734,0.026897894178021575,0.03751548398513549
LTC,2026050809,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.47,-0.0007083407118824159,0.0035417035594120794,0.010802195856206787,0.03134407650079685,
LTC,2026050810,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.43,0.0021265284423179764,0.0015948963317384823,0.020556441609073328,0.03367003367003374,
LTC,2026050811,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.55,0.002122015915119402,0.011140583554376748,0.029354553492484614,0.030769230769230882,
LTC,2026050812,1,2,82835.37,0,0,82835.37,100,2,1,0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,56.67,-0.0026469031233457008,0.007234868537144834,0.03723310393506263,0.03335097935415554,
LTC,2026050813,1,3,352584.134,0,0,352584.134,100,3,1,0,2026-05-08 13:00:00+00:00,1.0,269748.764,269748.764,0.0,long,True,False,56.52,0.011677282377919207,0.018931351733899593,0.033793347487614867,0.03662420382165599,
LTC,2026050814,1,3,352584.134,0,0,352584.134,100,3,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,57.18,-0.0017488632388947822,0.01801329136061569,0.01486533753060515,0.02728226652675758,
