ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
NOT,2026050805,0.6666666666,2,99569.32170462592,0.3333333333,1,99778.09189544048,100,3,0.9989538275,0.0010461725,2026-05-08 05:00:00+00:00,,,,,long,False,False,0.0007137,0.0477791789267199,-0.004203446826397617,-0.032506655457475,-0.024099761804679765,-0.07173882583718638
NOT,2026050806,0.6666666666,2,99647.59197872305,0.3333333333,1,99699.82162134333,100,3,0.9997380655,0.0002619345,2026-05-08 06:00:00+00:00,0.0,-78.27027409714356,78.270274097129,0.0007842380000000482,long,False,True,0.0007478,-0.005883926183471555,-0.08986359989301951,-0.09093340465365063,-0.052687884461085854,-0.1071142016581973
NOT,2026050807,0.6666666666,2,99647.59197872305,0.3333333333,1,99699.82162134333,100,3,0.9997380655,0.0002619345,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.0007434,-0.04398708635996773,-0.0856873822975518,-0.07304277643260693,-0.0660478880817863,-0.11272531611514658
NOT,2026050808,0.6666666666,2,99660.64938937812,0.3333333333,1,99686.76421068827,100,3,0.9998690156,0.0001309844,2026-05-08 08:00:00+00:00,0.0,-13.057410655062995,13.057410655062995,0.00013095009999997131,long,False,True,0.0007107,-0.04235261010271563,-0.028422681862951937,0.018010412269593434,-0.04784015759110727,-0.07091599831152384
NOT,2026050809,0.75,3,101081.78192937872,0.25,1,101107.89675068886,100,4,0.9998708566,0.0001291434,2026-05-08 09:00:00+00:00,1.0,1421.132540000588,1421.1325400006026,1.841000000002424e-06,long,True,False,0.0006806,-0.001322362621216544,-0.0011754334410812861,0.043491037320011916,-0.0033793711431090445,
NOT,2026050810,0.75,3,101081.78192937872,0.25,1,101107.89675068886,100,4,0.9998708566,0.0001291434,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.0006797,0.01588936295424448,0.013829630719434993,0.036339561571281376,-0.0026482271590406725,
NOT,2026050811,0.75,3,101081.78192937872,0.25,1,101107.89675068886,100,4,0.9998708566,0.0001291434,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.0006905,-0.015496017378711091,0.04779145546705266,0.008689355539464039,-0.018537291817523505,
NOT,2026050812,0.75,3,101069.58313470626,0.25,1,101120.09554536131,100,4,0.9997502355,0.0002497645,2026-05-08 12:00:00+00:00,0.0,12.198794672454824,-12.198794672454824,-0.0001206210999999957,long,True,False,0.0006798,0.013680494263018428,0.04471903501029706,0.04207119741100307,-0.00044130626654903526,
NOT,2026050813,0.75,3,101082.21123737004,0.25,1,101107.46744269755,100,4,0.9998751021,0.0001248979,2026-05-08 13:00:00+00:00,0.0,-12.62810266375891,12.628102663773461,0.0001248665999999954,long,False,True,0.0006891,0.04992018574952839,0.02220287331301707,0.007546074590045082,-0.013786097808735964,
NOT,2026050814,0.6666666666,2,83248.50443733683,0.3333333333,1,83273.76064266436,100,3,0.9998483543,0.0001516457,2026-05-08 14:00:00+00:00,-1.0,-17833.706800033193,-17833.706800033207,-2.6747800000004318e-05,long,False,True,0.0007235,-0.018382861091914227,-0.037318590186593004,-0.06468555632342776,-0.107394609536973,
NOT,2026050815,0.6666666666,2,83248.50443733683,0.3333333333,1,83273.76064266436,100,3,0.9998483543,0.0001516457,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.0007102,-0.008166713601802322,-0.002534497324697349,-0.04491692480991283,-0.0729372007885104,
NOT,2026050816,0.5,2,78687.75582733606,0.5,2,87834.50925266514,100,4,0.947931892,0.052068108,2026-05-08 16:00:00+00:00,1.0,4560.748610000781,-4560.748610000766,-0.05191646229999991,long,True,False,0.0007044,-0.011215218625780898,-0.014338444065871592,-0.03762067007382164,-0.04429301533219765,
NOT,2026050817,0.6,3,88284.80246734002,0.4,2,98726.16661267175,100,5,0.9471195707,0.0528804293,2026-05-08 17:00:00+00:00,1.0,10891.657360006604,9597.046640003959,-0.0008123213000000851,long,True,False,0.0006965,0.0170854271356784,-0.028427853553481652,-0.02699210337401281,-0.04881550610193819,
NOT,2026050818,0.6666666666,2,25006.55057002802,0.3333333333,1,35422.65851003222,100,3,0.8529739384,0.1470260616,2026-05-08 18:00:00+00:00,-2.0,-63303.50810263953,-63278.251897312,-0.09414563229999995,long,False,True,0.0007084,-0.01990400903444378,-0.04249011857707519,-0.04079616036137779,-0.05745341614906829,
