ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
OKB,2026050805,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 05:00:00+00:00,,,,,long,False,False,85.33,-0.0029298019453884994,0.0005859603890776555,0.002578225711941773,0.014063049337864841,0.03445447087776854
OKB,2026050806,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.08,0.001527973671838323,0.0021156558533146352,0.0032910202162670377,0.019511048425011612,0.041372825575928474
OKB,2026050807,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.21,0.0019950710010563366,0.003403356413566483,-0.0010562140593826097,0.015491139537612941,0.03297735007628222
OKB,2026050808,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.38,-0.0014054813773716202,0.001991098617943443,0.002693839306629142,0.01206371515577409,0.033731553056922214
OKB,2026050809,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.26,0.0028149190710766714,0.0011728829462818169,0.005043396669012434,0.01724137931034475,
OKB,2026050810,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.5,0.0005847953216373547,-0.004444444444444362,0.0036257309941520877,0.014619883040935644,
OKB,2026050811,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.55,-0.0022209234365867525,0.0007013442431327288,0.011455289304500349,0.024313267095265934,
OKB,2026050812,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.36,-0.002811621368322359,0.0038659793814432852,0.01616682286785376,0.035848172446110604,
OKB,2026050813,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.12,0.005756578947368363,0.008106203007518742,0.01656484962406002,0.03912124060150379,
OKB,2026050814,1,2,267063.2301116664,0.0,0,267063.2301116664,100,2,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,85.61,0.0009344702721645337,0.01074640812989136,0.009344702721644671,0.03235603317369451,
