ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
PIPPIN,2026050805,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 05:00:00+00:00,,,,,long,False,False,0.02449,0.0036749693752551327,0.004083299305839061,0.0032666394446712044,0.025724785626786373,0.05920783993466716
PIPPIN,2026050806,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02458,0.0008136696501219731,-0.006916192026037438,0.0008136696501219731,0.03946297803091947,0.05166802278275018
PIPPIN,2026050807,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.0246,-0.00040650406504061376,-0.010569105691056957,0.001626016260162455,0.040243902439024426,0.052032520325203224
PIPPIN,2026050808,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02459,-0.0073200488003253295,-0.0008133387555916416,0.007726718178121095,0.031720211468076354,0.06140707604717366
PIPPIN,2026050809,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02441,-0.0028676771814830637,0.0077836952068823795,0.004916018025399316,0.05120852109791052,
PIPPIN,2026050810,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02434,0.009449465899753484,0.01232539030402613,0.02095316351684473,0.05792933442892356,
PIPPIN,2026050811,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02457,0.0012210012210012167,0.008547008547008517,0.02238502238502238,0.03540903540903528,
PIPPIN,2026050812,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.0246,0.001626016260162455,-0.0028455284552846294,0.03861788617886175,0.04268292682926833,
PIPPIN,2026050813,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02464,0.005681818181818121,0.008522727272727293,0.03855519480519498,0.044642857142857206,
PIPPIN,2026050814,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02478,-0.010088781275221947,0.013720742534301777,0.023809523809523725,0.03147699757869238,
PIPPIN,2026050815,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02453,0.013045250713412226,0.04158173664900122,0.04606604158173666,0.043212392988177806,
PIPPIN,2026050816,1,2,33167.3590000019,0,0,33167.3590000019,100,2,1,0,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,0.02485,0.010865191146881337,0.02977867203219331,0.03621730382293764,0.03501006036217302,
