ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
SOL,2026050805,0.5555555555,5,-144854.71523266987,0.5555555556,5,3005638.730315053,100,9,0.4759028399,0.5240971601,2026-05-08 05:00:00+00:00,,,,,short,False,False,87.99,0.00011364927832713256,0.0037504261847935982,0.006818956699625067,0.041254688032731135,0.06148425957495185
SOL,2026050806,0.5555555555,5,-144854.71523266987,0.5555555556,5,3005638.730315053,100,9,0.4759028399,0.5240971601,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,88.0,0.0020454545454546835,0.004204545454545405,0.00454545454545463,0.04772727272727284,0.0625
SOL,2026050807,0.5555555555,5,-144854.71523266987,0.5555555556,5,3005638.730315053,100,9,0.4759028399,0.5240971601,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,88.18,0.0015876616012699962,0.0044227716035381,0.001020639600816331,0.04955772283964599,0.0625992288500794
SOL,2026050808,0.5555555555,5,-144854.71523266987,0.5555555556,5,3005638.730315053,100,9,0.4759028399,0.5240971601,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,88.32,0.000566123188405987,0.0030570652173913526,0.008831521739130377,0.04234601449275366,0.061141304347826164
SOL,2026050809,0.6,6,-51514.88033266989,0.5,5,3098978.5652150526,100,10,0.4916884097,0.5083115903,2026-05-08 09:00:00+00:00,1.0,93339.83489999967,93339.83489999999,0.01578556980000001,short,False,False,88.37,0.0022632114971141704,0.00033948172456721437,0.004979065293651663,0.04481158764286519,
SOL,2026050810,0.6,6,-7183.31273266989,0.5,5,3143310.1328150528,100,10,0.4988573649,0.5011426351,2026-05-08 10:00:00+00:00,0.0,44331.567600000184,44331.5676,0.007168955199999993,short,False,False,88.57,0.00022581009371136496,-0.00338715140566781,0.009822739076436715,0.041549057242858733,
SOL,2026050811,0.6,6,-7183.31273266989,0.5,5,3143310.1328150528,100,10,0.4988573649,0.5011426351,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,88.59,-0.0021447115927305527,0.005756857433118823,0.034202505926176796,0.03804041088158927,
SOL,2026050812,0.6,6,2818.6523673301103,0.5,5,3153312.097915053,100,10,0.5004469352,0.4995530648,2026-05-08 12:00:00+00:00,0.0,10001.965100000147,10001.9651,0.001589570300000065,long,False,False,88.4,-0.0014705882352942234,0.004638009049773739,0.042986425339366585,0.045475113122172006,
SOL,2026050813,0.6363636363,7,595507.4241673301,0.4545454545,5,3746000.8697150527,100,11,0.5794857562,0.4205142438,2026-05-08 13:00:00+00:00,1.0,592688.7717999998,592688.7718,0.07903882099999993,long,False,False,88.27,0.00940296816585473,0.013254786450662692,0.048487594879347506,0.04667497451002611,
SOL,2026050814,0.6,6,199927.20416733017,0.5,5,3350420.649715053,100,10,0.5298361347,0.4701638653,2026-05-08 14:00:00+00:00,-1.0,-395580.21999999974,-395580.22,-0.04964962149999996,long,False,False,89.1,-0.0032547699214364734,0.028282828282828465,0.03322109988776667,0.04837261503928181,
SOL,2026050815,0.6,6,199927.20416733017,0.5,5,3350420.649715053,100,10,0.5298361347,0.4701638653,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,88.81,0.007093795743722486,0.038171377097173664,0.03963517621889423,0.05337236797657918,
SOL,2026050816,0.5555555555,5,43583.53526733016,0.5555555556,5,3194076.980815053,100,9,0.5068225555,0.4931774445,2026-05-08 16:00:00+00:00,-1.0,-156343.66889999993,-156343.66890000002,-0.023013579200000023,long,False,False,89.44,0.024373881932021613,0.034771914132379234,0.03141771019678008,0.04639982110912344,
SOL,2026050817,0.6666666666,6,9934.66466733015,0.4444444444,4,3293581.473815053,100,9,0.5015081856,0.4984918144,2026-05-08 17:00:00+00:00,0.0,99504.49299999978,-33648.87060000001,-0.005314369900000004,long,False,False,91.62,0.006330495524994539,0.00480244488103021,0.003710980135341435,0.019428072473259173,
SOL,2026050818,0.6666666666,6,58109.30370850572,0.4444444444,4,3245406.834773877,100,9,0.5089525453,0.4910474547,2026-05-08 18:00:00+00:00,0.0,-48174.6390411756,48174.63904117557,0.007444359700000014,long,False,False,92.2,0.003796095444685399,0.0014099783080259165,0.0023861171366594824,0.014099783080260275,
SOL,2026050819,0.6666666666,6,58109.30370850572,0.4444444444,4,3245406.834773877,100,9,0.5089525453,0.4910474547,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,92.55,-0.005294435440302503,-0.0032414910858994395,-0.0017287952458130418,0.012425715829281536,
SOL,2026050820,0.6666666666,6,49101.89970850572,0.4444444444,4,3236399.430773877,100,9,0.5075858837,0.4924141163,2026-05-08 20:00:00+00:00,0.0,-9007.404000000097,-9007.404000000002,-0.0013666615999999854,long,False,False,92.06,0.002932869867477761,-0.0010862480990658785,0.014664349337388582,0.018031718444492695,
SOL,2026050821,0.625,5,14187.09650850572,0.5,4,3201484.627573877,100,8,0.5022157058,0.4977842942,2026-05-08 21:00:00+00:00,-1.0,-34914.803199999966,-34914.8032,-0.0053701779000000505,long,False,False,92.33,-0.0008664572728257491,0.0009747644319288984,0.013213473410592425,,
