ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
TON,2026050805,0.75,3,157765.1731789263,0.25,1,160065.83082107373,100,4,0.9928134017,0.0071865983,2026-05-08 05:00:00+00:00,,,,,long,False,False,2.692,0.019687964338781505,0.008543833580980653,-0.0442050520059436,-0.03491827637444289,-0.02563150074294207
TON,2026050806,0.75,3,157700.3439348022,0.25,1,160130.66006519785,100,4,0.992411459,0.007588541,2026-05-08 06:00:00+00:00,0.0,64.82924412412103,-64.82924412412103,-0.00040194269999993537,long,True,False,2.745,-0.00837887067395271,-0.03606557377049191,-0.06120218579234982,-0.05573770491803276,-0.051730418943533696
TON,2026050807,0.75,3,157485.0434632958,0.25,1,160345.96053670425,100,4,0.9910789237,0.0089210763,2026-05-08 07:00:00+00:00,0.0,215.30047150640166,-215.30047150640166,-0.001332535300000104,long,True,False,2.722,-0.0025716385011022025,-0.06502571638501109,-0.03490080822924324,-0.06722997795738417,-0.06722997795738417
TON,2026050808,0.75,3,157259.98259529847,0.25,1,160571.02140470155,100,4,0.9896897996,0.0103102004,2026-05-08 08:00:00+00:00,0.0,225.06086799729383,-225.06086799732293,-0.0013891240999999166,long,True,False,2.715,-0.02541436464088398,-0.05230202578268872,-0.03867403314917128,-0.0847145488029466,-0.06482504604051553
TON,2026050809,0.6666666666,2,78324.27925731835,0.3333333333,1,81373.72074268165,100,3,0.9812627377,0.0187372623,2026-05-08 09:00:00+00:00,-1.0,-79197.3006620199,-78935.70333798011,-0.008427061899999977,long,False,True,2.646,-0.03817082388510962,-0.02607709750566889,-0.01436130007558567,-0.042705971277399835,
TON,2026050810,0.75,3,141850.0974246089,0.25,1,145047.9025753911,100,4,0.9889767273,0.0110232727,2026-05-08 10:00:00+00:00,1.0,63674.181832709466,63525.818167290534,0.007713989599999915,long,True,False,2.545,0.011001964636542239,0.03222003929273076,0.0216110019646365,-0.0007858546168958425,
TON,2026050811,0.75,3,141920.40264007144,0.25,1,144977.59735992856,100,4,0.9894563202,0.0105436798,2026-05-08 11:00:00+00:00,0.0,-70.3052154625475,70.3052154625475,0.0004795928999999921,long,False,True,2.573,0.001554605518849561,0.014380101049358718,0.009716284492809812,-0.021375825884181965,
TON,2026050812,0.6666666666,2,78395.34606988617,0.3333333333,1,81302.65393011383,100,3,0.9821204615,0.0178795385,2026-05-08 12:00:00+00:00,-1.0,-63674.94342981474,-63525.05657018526,-0.007335858699999975,long,False,True,2.577,0.01940240589833131,0.01202949165696543,0.005820721769499437,-0.004268529297632995,
TON,2026050813,0.6666666666,2,78248.87592729728,0.3333333333,1,81449.12407270272,100,3,0.980354312,0.019645688,2026-05-08 13:00:00+00:00,0.0,146.4701425888925,-146.4701425888925,-0.0017661494999999805,long,True,False,2.627,-0.006471259992386735,-0.010277883517320063,-0.0334982870194136,-0.02169775409212027,
TON,2026050814,0.6666666666,2,78244.7401187697,0.3333333333,1,81453.2598812303,100,3,0.9803045343,0.0196954657,2026-05-08 14:00:00+00:00,0.0,4.13580852758605,-4.13580852758605,-4.977770000003101e-05,long,True,False,2.61,-0.0007662835249041544,-0.0045977011494252595,-0.04789272030651337,-0.003831417624520994,
TON,2026050815,0.6666666666,2,78014.88384407891,0.3333333333,1,81683.11615592109,100,3,0.9775459575,0.0224540425,2026-05-08 15:00:00+00:00,0.0,229.85627469078463,-229.85627469078463,-0.0027585768000000233,long,True,False,2.608,-0.0030674846625766694,-0.006134969325153339,-0.028757668711656525,0.0007668711656441118,
TON,2026050816,0.6666666666,2,78159.41110586103,0.3333333333,1,81538.58889413897,100,3,0.9792786591,0.0207213409,2026-05-08 16:00:00+00:00,0.0,-144.52726178211742,144.52726178211742,0.0017327016000000528,long,False,True,2.6,-0.0007692307692308553,-0.023461538461538423,-0.021923076923076934,0.007307692307692459,
TON,2026050817,0.6666666666,2,78155.2240015392,0.3333333333,1,81542.7759984608,100,3,0.9792283745,0.0207716255,2026-05-08 17:00:00+00:00,0.0,4.187104321827064,-4.187104321827064,-5.0284600000005675e-05,long,True,False,2.598,-0.002309468822170868,-0.04349499615088526,-0.030792917628945427,0.009622786759045487,
