ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
TRUMP,2026050805,0.0,0,-62.7188905360218,1.0,1,62.7188905360218,100,1,0.0,1.0,2026-05-08 05:00:00+00:00,,,,,short,False,False,2.372,0.005059021922428242,0.012225969645868418,0.010539629005059004,0.03246205733558183,0.051011804384485604
TRUMP,2026050806,0.0,0,-62.71443187529354,1.0,1,62.71443187529354,100,1,0.0,1.0,2026-05-08 06:00:00+00:00,0.0,-0.004458660728261066,0.004458660728261066,0.0,short,False,False,2.384,0.003355704697986628,0.009228187919463116,0.002936241610738355,0.0343959731543626,0.044463087248322264
TRUMP,2026050807,0.0,0,-59.84845080087456,1.0,1,59.84845080087456,100,1,0.0,1.0,2026-05-08 07:00:00+00:00,0.0,-2.8659810744189826,2.8659810744189826,0.0,short,False,False,2.392,0.003762541806020092,-0.0012541806020067714,-0.002090301003344397,0.02926421404682289,0.03428093645484953
TRUMP,2026050808,0.0,0,-65.54845080087456,1.0,1,65.54845080087456,100,1,0.0,1.0,2026-05-08 08:00:00+00:00,0.0,5.700000000000003,-5.700000000000003,0.0,short,False,False,2.401,0.0020824656393170216,-0.0016659725114536172,0.001249479383590213,0.0279050395668472,0.03498542274052485
TRUMP,2026050809,0.0,0,-65.5750707368046,1.0,1,65.5750707368046,100,1,0.0,1.0,2026-05-08 09:00:00+00:00,0.0,0.02661993593004297,-0.02661993593004297,0.0,short,False,False,2.406,-0.007065669160432386,-0.006234413965087282,-0.0024937655860349794,0.027015793848711445,
TRUMP,2026050810,0.5,1,286257.38682387833,0.5,1,286405.76357612386,100,2,0.9997409675,0.0002590325,2026-05-08 10:00:00+00:00,1.0,286340.18850538705,286322.96189461515,0.9997409675,long,True,False,2.389,0.003348681456676328,-0.000837170364168971,0.009627459187944831,0.03432398493093358,
TRUMP,2026050811,0.5,1,310044.094317738,0.5,1,310175.39148226444,100,2,0.9997883501,0.0002116499,2026-05-08 11:00:00+00:00,0.0,23769.62790614058,23786.707493859692,4.738260000003436e-05,long,True,False,2.397,-0.0025031289111387967,0.002920317062995448,0.021693783896537422,0.03337505214851899,
TRUMP,2026050812,0.5,1,333526.6362845704,0.5,1,333646.2707154328,100,2,0.9998207166,0.0001792834,2026-05-08 12:00:00+00:00,0.0,23470.87923316838,23482.54196683236,3.236650000004726e-05,long,True,False,2.391,-0.0016729401923881726,0.0037641154328731385,0.031367628607277265,0.03847762442492675,
TRUMP,2026050813,0.5,1,333526.6508420875,0.5,1,333646.25615791563,100,2,0.9998207602,0.0001792398,2026-05-08 13:00:00+00:00,0.0,-0.014557517191860825,0.014557517133653164,4.3599999943744194e-08,long,False,True,2.387,0.007121910347716698,0.010473397570171628,0.03142019271051533,0.04315039798910769,
TRUMP,2026050814,0.5,1,333523.7933713997,0.5,1,333649.11362860346,100,2,0.9998121975,0.0001878025,2026-05-08 14:00:00+00:00,0.0,2.8574706878280267,-2.8574706878280267,-8.56269999993664e-06,long,True,False,2.404,-0.0016638935108153063,0.018718801996672196,0.0266222961730449,0.04242928452579031,
