ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ZEC,2026050805,0.6666666666,2,26740.1181015625,0.3333333333,1,32454.7258984375,100,3,0.9119603133,0.0880396867,2026-05-08 05:00:00+00:00,,,,,long,False,False,570.0,0.011561403508771884,-0.0027368421052630376,0.005017543859649143,0.008631578947368324,0.0938245614035087
ZEC,2026050806,0.5,1,-2841.2963984375,0.5,1,2873.3113984375,100,2,0.0055710982,0.9944289018,2026-05-08 06:00:00+00:00,-1.0,-29581.4145,-29581.4145,-0.9063892151,short,False,False,576.59,-0.012227059088780745,-0.030333512547911057,-0.002896338819611932,-0.0034860125912693496,0.08531192008186039
ZEC,2026050807,0.5,1,-2841.2963984375,0.5,1,2873.3113984375,100,2,0.0055710982,0.9944289018,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,569.54,-0.0019313832215470672,0.0034764897987851207,3.5116058573647635e-05,0.00765530076904164,0.07005653685430357
ZEC,2026050808,0.5,1,-2841.2963984375,0.5,1,2873.3113984375,100,2,0.0055710982,0.9944289018,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,568.44,-0.01643093378368876,0.007775666737034559,0.02160298360425017,0.020740975300823195,0.06987544859615769
ZEC,2026050809,0.5,1,-2841.2963984375,0.5,1,2873.3113984375,100,2,0.0055710982,0.9944289018,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,559.1,0.022214272938651414,0.028295474870327242,0.031479162940440064,0.06710785190484714,
ZEC,2026050810,1.0,1,16.0075,0.0,0,16.0075,100,1,1.0,0.0,2026-05-08 10:00:00+00:00,-1.0,-2857.3038984375,2857.3038984375003,0.9944289018,long,False,True,571.52,0.002344624860022515,-0.0034294512877940386,0.01384028555431116,0.044547872340425565,
ZEC,2026050811,1.0,1,16.0075,0.0,0,16.0075,100,1,1.0,0.0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,572.86,0.003595992039939766,0.01372062982229516,0.003595992039939766,0.06963306916174972,
ZEC,2026050812,1.0,1,16.0075,0.0,0,16.0075,100,1,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,574.92,-0.009323036248521599,0.0030960829332777884,-0.0005913866277045265,0.052198566757114095,
ZEC,2026050813,1.0,1,16.0075,0.0,0,16.0075,100,1,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,569.56,0.01959407261745927,0.017329166374043137,0.007619917129011888,0.0627326357188005,
ZEC,2026050814,1.0,1,16.0075,0.0,0,16.0075,100,1,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,580.72,-0.006922441107590549,-0.009987601598016371,-0.0008437801350048568,0.06254305000688798,
