ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BTC,2026050605,0.3333333333,9,-6489280.570026357,0.7407407407,20,8297031.609836536,100,27,0.1089396259,0.8910603741,2026-05-06 05:00:00+00:00,,,,,short,False,False,False,False,81287.0,0.0017727311870288087,0.007676504238069981,0.014798184211497478,0.0014922435321762517,-0.0029168255686642386
BTC,2026050606,0.3333333333,9,-6486690.997481333,0.7407407407,20,8299621.18238156,100,27,0.1092176465,0.8907823535,2026-05-06 06:00:00+00:00,0.0,2589.572545023635,2589.572545023635,0.00027802059999999795,short,False,False,True,True,81431.1,-0.0011948751766831522,0.006496289501185748,0.009309710908977031,-0.001546092340641514,-0.0003119201386203585
BTC,2026050607,0.3793103448,11,-6167444.615568286,0.6896551724,20,8714432.517914606,100,29,0.1461361882,0.8538638118,2026-05-06 07:00:00+00:00,2.0,414811.33553304616,319246.3819130473,0.03691854169999999,short,False,False,True,True,81333.8,0.007096680592816318,0.011142968851818091,0.003663913403775476,0.0010868790097104952,0.001823350193892459
BTC,2026050608,0.4,12,-5998872.046841378,0.6666666667,20,8679458.30649485,100,30,0.1544212878,0.8455787122,2026-05-06 08:00:00+00:00,1.0,-34974.21141975559,168572.56872690748,0.008285099600000012,short,False,False,True,True,81911.0,0.0005994310898413957,0.007067426841327773,-0.005270354409053657,-0.006436253982981532,-0.008822990807095477
BTC,2026050609,0.3793103448,11,-6028226.9122073855,0.6896551724,20,8854331.342628844,100,29,0.1595888114,0.8404111886,2026-05-06 09:00:00+00:00,-1.0,174873.03613399342,-29354.8653660072,0.005167523600000001,short,False,False,True,True,81960.1,0.003416296466207447,0.0027952625728859815,-0.0036822795482192028,-0.005614927263388081,-0.013031950912700263
BTC,2026050610,0.3333333333,9,-6784824.000954523,0.7407407407,20,8199628.404321707,100,27,0.0862724707,0.9137275293,2026-05-06 10:00:00+00:00,-2.0,-654702.9383071372,-756597.0887471372,-0.0733163407,short,False,False,True,True,82240.1,0.0030374476684729146,-0.007396634974908833,-0.008099455131985511,-0.01150290430094325,-0.01729569881359594
BTC,2026050611,0.3076923076,8,-6782657.746948805,0.7692307692,20,8201794.658327424,100,26,0.086513804,0.913486196,2026-05-06 11:00:00+00:00,-1.0,2166.2540057171136,2166.254005718045,0.00024133329999999342,short,False,False,True,True,82489.9,-0.003645294757297579,-0.012251196813185539,-0.013111908245736603,-0.013264654218273941,-0.02004245368220825
BTC,2026050612,0.3076923076,8,-8052666.267127021,0.7692307692,20,9110495.96077185,100,26,0.0580555492,0.9419444508,2026-05-06 12:00:00+00:00,0.0,908701.3024444254,-1270008.5201782165,-0.0284582548,short,False,False,True,False,82189.2,-0.006781912952066649,-0.006459486161198735,-0.010755671061404626,-0.014758630087651436,-0.013030909170547944
BTC,2026050613,0.2666666666,8,-18500946.2613157,0.8,24,19569023.957060527,100,30,0.0272900094,0.9727099906,2026-05-06 13:00:00+00:00,4.0,10458527.996288678,-10448279.994188678,-0.030765539800000002,short,False,False,True,False,81631.8,-0.00186814452211026,-0.0007080573991998795,-0.0025676268317004203,-0.006122613981316194,-0.014224848649668331
BTC,2026050614,0.3,9,-18292778.564895224,0.7666666667,23,19367351.04930705,100,30,0.0277418548,0.9722581452,2026-05-06 14:00:00+00:00,0.0,-201672.90775347874,208167.69642047584,0.0004518454000000012,short,False,False,False,True,81479.3,0.0021968769982068093,-0.0008713869657692719,-0.001172076834238922,-0.004845402451911118,-0.016394348012317317
BTC,2026050615,0.2758620689,8,-18430719.954261724,0.7931034483,23,19493709.589440547,100,29,0.0272649397,0.9727350603,2026-05-06 15:00:00+00:00,-1.0,126358.54013349861,-137941.38936650008,-0.00047691509999999923,short,False,False,True,True,81658.3,-0.001032350661231085,-0.0043241164707078505,-0.0019397905662988935,-0.010412903526034745,-0.02199531462202875
BTC,2026050616,0.2580645161,8,-18908306.853458226,0.8064516129,25,19845072.959404048,100,31,0.0236019819,0.9763980181,2026-05-06 16:00:00+00:00,2.0,351363.36996350065,-477586.8991965018,-0.0036629578000000017,short,False,False,True,False,81574.0,-0.002031284477897355,-0.0018608870473435513,-0.003431240346188691,-0.0076507220437885826,-0.022194571799838192
BTC,2026050617,0.2121212121,7,-19361050.167648625,0.8484848485,28,20263425.819693647,100,33,0.0222661177,0.9777338823,2026-05-06 17:00:00+00:00,2.0,418352.86028959975,-452743.3141903989,-0.0013358641999999983,short,False,False,True,False,81408.3,-0.001266455631674046,-0.00030095211421932166,-0.0001547753730271051,-0.00440249949943694,-0.01660764320100039
BTC,2026050618,0.2121212121,7,-19982431.16306836,0.8484848485,28,20884991.001573913,100,33,0.0216078579,0.9783921421,2026-05-06 18:00:00+00:00,0.0,621565.1818802655,-621380.995419737,-0.0006582598000000016,short,False,False,True,False,81305.2,0.00143902235035398,0.0023946807830248495,-0.004046481651850065,0.0012360833009450456,-0.0140839700289771
BTC,2026050619,0.1714285714,6,-20560278.67450064,0.8857142857,31,21297313.573301632,100,35,0.017303471,0.982696529,2026-05-06 19:00:00+00:00,2.0,412322.57172771916,-577847.5114322789,-0.0043043868999999985,short,False,False,True,False,81422.2,-0.00047161584924004796,-0.0015732809970744333,-0.003564138527330396,0.0007356715981636786,-0.01611722601452681
BTC,2026050620,0.1428571428,5,-22542768.952206936,0.9142857143,32,23196240.147173304,100,35,0.0140857136,0.9859142864,2026-05-06 20:00:00+00:00,0.0,1898926.5738716722,-1982490.2777062953,-0.0032177574,short,False,False,True,False,81383.8,0.0014265738390195626,0.00014622074663495077,-0.0036776360897378124,-0.002402197980433507,-0.018883364994015994
BTC,2026050621,0.1764705882,6,-22475602.642600257,0.8823529412,30,23155977.54041998,100,34,0.0146911288,0.9853088712,2026-05-06 21:00:00+00:00,-1.0,-40262.60675332323,67166.30960667878,0.000605415199999999,short,False,False,False,True,81499.9,-0.0025251564725844444,-0.0064257747555518385,-0.008489580968810917,-0.007458904857551851,-0.02213622348002875
BTC,2026050622,0.1875,6,-21832275.609904893,0.875,28,22708689.725615967,100,32,0.0192968886,0.9807031114,2026-05-06 22:00:00+00:00,-2.0,-447287.8148040138,643327.0326953642,0.0046057597999999995,short,False,False,False,True,81294.1,0.0012497831945983418,-0.001993994644137853,-0.004234009602173017,-0.005860203877034231,-0.01741331781765232
BTC,2026050623,0.2,6,-21297263.256796345,0.8666666667,26,22341847.998047184,100,30,0.0233773128,0.9766226872,2026-05-06 23:00:00+00:00,-2.0,-366841.72756878287,535012.3531085476,0.004080424200000002,short,False,False,False,True,81395.7,-0.005153834907740795,-0.00382329779091517,-0.004248381671267731,-0.006868913222688566,-0.017402639205756576
BTC,2026050701,0.2424242424,8,-21084039.123117033,0.8181818182,27,22634094.928546492,100,33,0.0342416122,0.9657583878,2026-05-07 01:00:00+00:00,3.0,292246.9304993078,213224.13367931172,0.0108642994,short,False,False,True,True,81132.0,-0.0005854656608983433,-0.0022444904599911997,0.00431519006064196,-0.008152147118276276,-0.017552876793373806
