ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
CL,2026050605,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-06 05:00:00+00:00,,,,,short,False,False,False,False,100.21,0.005288893324019606,-0.04760003991617601,-0.07633968665801805,-0.04999501047799615,-0.049196686957389435
CL,2026050606,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-06 06:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,100.74,-0.02997816160412936,-0.07335715703791945,-0.053206273575540974,-0.05638276752034932,-0.0618423664879888
CL,2026050607,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-06 07:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,97.72,-0.02333196889070821,-0.0818665575112566,-0.01770364306180927,-0.025071633237822355,-0.046766270978305324
CL,2026050608,0.0,0,-641462.2577865947,1.0,3,641462.2577865947,100,3,0.0,1.0,2026-05-06 08:00:00+00:00,1.0,5884.221786594717,-5884.221786594717,0.0,short,False,False,True,False,95.44,-0.021898575020955602,-0.030176026823134916,-0.007124895222129002,0.006181894383906261,-0.029233025984911953
CL,2026050609,0.25,1,-637074.5399777069,0.75,3,647073.5399777069,100,4,0.0077263242,0.9922736758,2026-05-06 09:00:00+00:00,1.0,5611.282191112172,4387.717808887828,0.0077263242,short,False,False,True,True,93.35,-0.0388859132297803,0.021746116764863377,0.020674879485806263,0.025388323513658273,-0.0068559185859667915
CL,2026050610,0.25,1,-636837.6183464653,0.75,3,646836.6183464653,100,4,0.0077291542,0.9922708458,2026-05-06 10:00:00+00:00,0.0,-236.9216312415665,236.9216312415665,2.8300000000005404e-06,short,False,False,False,True,89.72,0.03165403477485507,0.0698840838163175,0.06754346856888094,0.0674320106999553,0.03332590280873826
CL,2026050611,0.25,1,-636959.1314513505,0.75,3,646958.1314513505,100,4,0.0077277025,0.9922722975,2026-05-06 11:00:00+00:00,0.0,121.5131048852345,-121.5131048852345,-1.4517000000002084e-06,short,False,False,True,False,92.56,0.030466724286948965,0.023768366464995694,0.028522039757994833,0.03532843560933441,-0.009075194468452952
CL,2026050612,0.25,1,-636900.055072733,0.75,3,646899.055072733,100,4,0.0077284082,0.9922715918,2026-05-06 12:00:00+00:00,0.0,-59.07637861755211,59.07637861755211,7.05699999999955e-07,short,False,False,False,True,95.38,0.006395470748584708,-0.00104843782763675,-0.003355001048437778,0.00681484587963932,-0.05053470329209475
CL,2026050613,0.25,1,-636779.7694473468,0.75,3,646778.7694473468,100,4,0.0077298455,0.9922701545,2026-05-06 13:00:00+00:00,0.0,-120.28562538616825,120.28562538616825,1.4372999999996347e-06,short,False,False,False,True,95.99,-0.012813834774455524,-0.0021877278883216666,-0.007500781331388651,-0.0071882487759141744,-0.052088759245754734
CL,2026050614,0.25,1,-636723.5467111027,0.75,3,646722.5467111027,100,4,0.0077305175,0.9922694825,2026-05-06 14:00:00+00:00,0.0,-56.2227362440899,56.2227362440899,6.720000000001725e-07,short,False,False,False,True,94.76,0.005487547488391753,0.004643309413254526,0.013402279442802811,0.008442380751371825,-0.039468130012663694
CL,2026050615,0.0,0,-642087.2123506513,1.0,3,642087.2123506513,100,3,0.0,1.0,2026-05-06 15:00:00+00:00,-1.0,-4635.3343604514375,-5363.6656395485625,-0.0077305175,short,False,False,True,True,95.28,0.0052476910159529044,-0.0023089840470192913,0.0046179680940385825,0.004093198992443314,-0.02267002518891681
CL,2026050616,0.0,0,-640203.4673530979,1.0,3,640203.4673530979,100,3,0.0,1.0,2026-05-06 16:00:00+00:00,0.0,-1883.744997553411,1883.744997553411,0.0,short,False,False,False,True,95.78,-0.006055543954896603,-0.005324702443098794,-0.00010440593025684564,-0.003758613489246221,-0.005951138024639868
CL,2026050617,0.25,1,-620281.9733884922,0.75,3,657227.4533884922,100,4,0.0281070729,0.9718929271,2026-05-06 17:00:00+00:00,1.0,17023.986035394366,19921.493964605615,0.0281070729,short,False,False,True,True,95.2,-0.0014705882352941124,0.008718487394957952,0.006617647058823506,0.0008403361344537785,-0.007037815126050395
CL,2026050618,0.25,1,-602074.7550978829,0.75,3,672943.1250978829,100,4,0.052655542,0.947344458,2026-05-06 18:00:00+00:00,0.0,15715.671709390706,18207.218290609308,0.0245484691,short,False,False,True,True,95.06,0.0022091310751104487,0.006942983378918521,0.010204081632652962,-0.005785819482432064,0.0022091310751104487
CL,2026050619,0.3333333333,1,-553734.917,0.6666666667,2,717421.155,100,3,0.1140796008,0.8859203992,2026-05-06 19:00:00+00:00,-1.0,44478.029902117094,48339.83809788292,0.0614240588,short,False,False,True,True,95.27,0.007977327595255712,0.005248241838983869,0.0003148945103390588,-0.022252545397291823,0.006612784717119791
CL,2026050620,0.3333333333,1,-551739.067,0.6666666667,2,719417.005,100,3,0.1165373745,0.8834626255,2026-05-06 20:00:00+00:00,0.0,1995.8499999999767,1995.8499999999767,0.002457773699999999,short,False,False,True,True,96.03,-0.0032281578673331035,-0.0020826824950536116,-0.0048943038633759706,-0.03519733416640625,
CL,2026050621,0.3333333333,1,-569101.5309189189,1.0,3,704049.5410810811,100,3,0.095837013,0.904162987,2026-05-06 21:00:00+00:00,0.0,-15367.46391891886,-17362.46391891886,-0.0207003615,short,False,False,True,True,95.72,0.0005223568742165341,0.003238612620142023,-0.0005223568742164231,-0.0314458838278312,
CL,2026050622,0.3333333333,1,-628211.8711711712,1.0,3,646936.0008288288,100,3,0.0144713925,0.9855286075,2026-05-06 22:00:00+00:00,0.0,-57113.540252252365,-59110.340252252296,-0.0813656205,short,False,False,True,True,95.77,0.0006265009919599329,-0.004907591103685882,-0.0036545891197660163,-0.031951550589955136,
CL,2026050623,0.3333333333,1,-631018.2255405405,0.6666666667,2,640137.8464594594,100,3,0.0071231696,0.9928768304,2026-05-06 23:00:00+00:00,0.0,-6798.154369369382,-2806.3543693693355,-0.0073482229,short,False,False,True,True,95.83,0.002087029114056227,-0.00281748930397574,-0.0057393300636543465,-0.04288844829385374,
CL,2026050701,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-07 01:00:00+00:00,-1.0,-4559.810459459433,-4559.810459459433,-0.0071231696,short,False,False,True,True,95.3,0.0027282266526758026,0.0012591815320042166,-0.02256033578174177,-0.045225603357817445,
CL,2026050702,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,95.56,0.0011511092507325849,-0.0029300962745918424,-0.03045207199665123,-0.04750941816659693,
CL,2026050703,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,95.67,-0.0026131493676178064,-0.01212501306574676,-0.03093968851259543,-0.02665412354970209,
CL,2026050704,0.0,0,-635578.036,1.0,2,635578.036,100,2,0.0,1.0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,95.42,-0.0014671976524837094,-0.023789561936700898,-0.028400754558792762,-0.0022007964787257306,
CL,2026050705,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 05:00:00+00:00,1.0,48000.0,-48000.0,0.0,short,False,False,True,False,95.28,-0.008081444164567575,-0.027602854743912664,-0.03736356003358521,-0.007871536523929468,
CL,2026050706,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,94.51,-0.014390011638980016,-0.019045603639826547,-0.041794519098508176,0.00804147709237113,
CL,2026050707,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,93.15,-0.005367686527106841,-0.004723564143854109,-0.023188405797101574,0.029522275899087402,
CL,2026050708,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,92.65,0.0006475984889366959,-0.01003777657852134,-0.017593092282784828,,
CL,2026050709,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,92.71,0.0,-0.02319059432639403,0.004422392406428832,,
CL,2026050710,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,92.71,-0.010678459713083788,-0.01855247546111527,0.026965807356272187,,
CL,2026050711,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,91.72,-0.012647187091146983,-0.007631923244657668,0.030636720453554256,,
CL,2026050712,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,90.56,0.004748233215547515,0.028268551236749095,0.05200971731448756,,
CL,2026050713,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,90.99,0.00032970656116049213,0.0463787229365864,0.0539619738432795,,
CL,2026050714,0.0,0,-683578.036,1.0,3,683578.036,100,3,0.0,1.0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,91.02,0.023071852340145194,0.03856295319709968,,,
