ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
EWY,2026050605,1,1,291061.9001,0,0,291061.9001,100,1,1,0,2026-05-06 05:00:00+00:00,,,,,long,False,False,False,False,179.87,-0.0047812308889754185,0.01156390726635892,0.01562239395118703,0.005893145049202131,0.014010118418857909
EWY,2026050606,1,1,291061.9001,0,0,291061.9001,100,1,1,0,2026-05-06 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.01,0.0036869448634153645,0.016982291492095625,0.01201050220658062,0.015920898273839468,0.02161890397184507
EWY,2026050607,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 07:00:00+00:00,0.0,93248.00699999998,93248.00699999998,0.0,long,True,False,False,False,179.67,0.012689931541158828,0.02543552067679644,0.0018367006177992806,0.013190849891467682,0.022708298547336803
EWY,2026050608,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.95,0.0005496015388843922,0.004012091233855486,-0.011816433086012545,-0.001538884308876054,0.0032426490794175145
EWY,2026050609,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.05,0.012029662180719658,-0.00488876682230166,-0.006097226036803183,-0.008788794287283852,-0.0043943971436418705
EWY,2026050610,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,184.24,-0.0084672166739036,-0.023013460703430355,-0.021493703864524538,-0.016011723838471603,-0.01427485887972213
EWY,2026050611,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.68,-0.008320560543026101,-0.015765272607838776,-0.009579592730457609,-0.0036128749726297427,-0.004433982920954649
EWY,2026050612,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.16,-0.006403179509825496,-0.001214396113932481,0.003863987635239763,-0.017608743652020253,0.004195186575402854
EWY,2026050613,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.0,-0.0011111111111110628,0.0015555555555555323,0.011333333333333195,0.0005555555555554204,0.004944444444444418
EWY,2026050614,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.8,0.006340378197997598,0.006284760845383763,0.010400444938820863,0.0018909899888763793,0.009844271412680738
EWY,2026050615,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.94,-0.0036476179949154197,0.0050845584171550495,-0.0027080800265282257,-0.005913562506908332,-0.009948049077042165
EWY,2026050616,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.28,0.003605502551586426,0.009762591524295594,0.005602396272464949,-0.0017195473707566356,-0.01242511648546707
EWY,2026050617,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.93,0.0051401094345879805,0.004089979550102152,0.006024429337312842,0.008069419112363807,-0.01597302824296698
EWY,2026050618,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.86,0.0009897723523588642,-0.007753216760145287,-0.02139008028153533,0.0056087099967006004,-0.022599802045529582
EWY,2026050619,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.04,-0.002032520325203291,-0.004119973632168761,-0.01065699846187651,0.009393539881344726,-0.028455284552845406
EWY,2026050620,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.67,-0.0067154731105850685,0.0019265701546762326,-0.008421863819012554,0.004788902955909169,-0.02190785490174485
EWY,2026050621,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.45,0.004655029093931784,-0.013743419229703457,-0.0032141867553338033,0.0044333610418398894,
EWY,2026050622,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.29,0.004026697556401393,-0.006564068619339114,-0.007281151745821557,0.0017651276959569362,
EWY,2026050623,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.02,-0.022250302164597335,-0.01032853532578848,0.002032743654543312,-0.0008240852653554898,
EWY,2026050701,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.1,0.0002220988339811658,-0.0007218212104386224,0.020266518600777328,0.004386451971127192,
EWY,2026050702,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.14,-0.001498834240035385,0.012490285333629503,0.013322971022537988,0.007938270234262301,
EWY,2026050703,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.87,0.0005559570801134672,0.016734308111413743,0.007672207705565093,-0.004058486684828,
EWY,2026050704,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.97,0.013446685558704097,0.02100350058343059,0.009112629882758405,-0.010724009557148473,
EWY,2026050705,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.39,0.0026865507977411607,0.0008224135095125096,-0.0028510334996435516,-0.023849991775864887,
EWY,2026050706,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.88,0.004757217847769057,-0.00891294838145229,-0.005249343832021025,-0.028051181102362155,
EWY,2026050707,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,183.75,-0.00658503401360544,-0.011646258503401286,-0.015564625850340241,-0.03749659863945576,
EWY,2026050708,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.54,-0.0070669442314013065,-0.0036704283992549103,-0.005313903801906439,-0.026569519009532083,
EWY,2026050709,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.25,0.001986206896551712,0.003696551724137853,-0.011641379310344924,,
EWY,2026050710,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.61,0.0014316392269146938,-0.003964539397610434,-0.019657507846484346,,
EWY,2026050711,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.87,0.0002749216473303395,-0.0016495298839831474,-0.021058998185517153,,
EWY,2026050712,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.92,-0.0056618293755497096,-0.01528144239226037,-0.022922163588390387,,
EWY,2026050713,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.89,0.0037591906683620557,-0.01575543147769365,-0.022278732931615752,,
EWY,2026050714,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.57,-0.013383268161039852,-0.019441537698959066,-0.021369168915569725,,
EWY,2026050715,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.14,-0.006140448810985744,-0.007759294406609274,,,
EWY,2026050716,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,178.04,0.0,-0.006627724106942123,,,
EWY,2026050717,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,178.04,-0.0016288474500112393,-0.0019658503707031816,,,
EWY,2026050718,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,177.75,-0.005007032348804397,,,,
EWY,2026050719,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,176.86,0.004692977496324691,,,,
EWY,2026050720,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,177.69,,,,,
EWY,2026050721,1,1,384309.9071,0,0,384309.9071,100,1,1,0,2026-05-07 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
