ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ORDI,2026050605,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 05:00:00+00:00,,,,,long,False,False,False,False,5.115,-0.010361681329423278,0.003910068426197455,0.001173020527859281,0.038709677419354716,0.02463343108504379
ORDI,2026050606,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.062,0.0011853022520742496,0.017581983405768442,0.019359936783879927,0.05531410509679957,0.03220071118135115
ORDI,2026050607,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.068,0.013220205209155456,0.014601420678768795,-0.006314127861089203,0.0670876085240728,0.031373322809786997
ORDI,2026050608,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.135,0.003115871470301901,-0.0027263875365139967,0.012658227848101333,0.061733203505355494,0.013047711781889015
ORDI,2026050609,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.151,-0.0017472335468839972,0.0017472335468842193,0.02853814793244025,0.08037274315666876,0.011259949524364155
ORDI,2026050610,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.142,-0.0040840140023337135,-0.020614546868922723,0.028588098016335994,0.06398288603656166,0.013418903150525185
ORDI,2026050611,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.121,0.007615700058582142,0.015426674477641011,0.037492677211482084,0.07810974419058758,0.017379418082405618
ORDI,2026050612,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.16,-0.024031007751938116,0.02674418604651163,0.03527131782945725,0.05058139534883721,0.03410852713178292
ORDI,2026050613,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.036,0.032565528196981886,0.05023828435266098,0.07386814932486119,0.05401111993645746,0.04348689436060371
ORDI,2026050614,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.2,0.018846153846153735,0.02173076923076911,0.048461538461538334,0.008846153846153948,-0.013653846153846239
ORDI,2026050615,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.298,-0.001698754246885703,0.008305020762551907,0.050396375990940045,-0.023782559456398733,-0.025858814647036654
ORDI,2026050616,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.289,0.004537719795802531,0.022499527320854806,0.03441104178483645,-0.006617508035545505,-0.02930610701455838
ORDI,2026050617,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.313,0.005458309806135819,0.026162243553548015,0.039149256540560895,-0.013551665725578754,-0.03538490495012225
ORDI,2026050618,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.342,0.012354923249719318,0.0417446649195059,0.01478846873830042,-0.02190190939722947,-0.03144889554473962
ORDI,2026050619,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.408,0.008136094674556116,0.011649408284023721,-0.018491124260355152,-0.03346893491124259,-0.0460428994082841
ORDI,2026050620,1,2,62009.97450000003,0,0,62009.97450000003,100,2,1,0,2026-05-06 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,5.452,0.020726338958180657,0.012655906089508395,-0.03778429933969174,-0.04585473220836389,-0.05997798972853996
