ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
TAO,2026050605,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 05:00:00+00:00,,,,,long,False,False,False,False,287.9,0.011462313303230331,0.03230288294546724,0.08614102118791256,0.0889197638068775,0.07502605071205282
TAO,2026050606,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,291.2,0.003777472527472625,0.03708791208791218,0.06799450549450547,0.07967032967032961,0.07348901098901117
TAO,2026050607,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,292.3,0.016763599042080024,0.03934314060896349,0.04447485460143685,0.07013342456380434,0.0656859391036606
TAO,2026050608,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,297.2,0.016150740242261152,0.05215343203230138,0.04508748317631239,0.0471063257065949,0.0349932705248992
TAO,2026050609,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,302.0,0.00596026490066226,0.0298013245033113,0.052980132450331174,0.04072847682119218,0.013907284768211792
TAO,2026050610,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,303.8,0.029295589203423233,0.004937458854509469,0.04509545753785371,0.010204081632652962,0.011520737327188835
TAO,2026050611,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,312.7,-0.00543652062679878,-0.00671570195075144,0.002558362647905321,-0.012791813239526717,0.0019187719859290464
TAO,2026050612,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,311.0,-0.018327974276527326,0.022508038585209,0.010932475884244397,-0.004180064308681675,0.0070739549839227145
TAO,2026050613,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,305.3,0.01735997379626597,0.03996069439895189,0.0245660006550934,-0.00032754667540135785,0.013101867016049873
TAO,2026050614,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,310.6,0.023824855119124244,0.009336767546683777,0.0019317450096585365,-0.01481004507405026,-0.013200257566001405
TAO,2026050615,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,318.0,-0.0015723270440252124,-0.01132075471698124,-0.011635220125786105,-0.036792452830188616,-0.04182389937106923
TAO,2026050616,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,317.5,-0.012598425196850394,-0.014803149606299137,-0.03338582677165358,-0.027716535433070955,-0.0258267716535433
TAO,2026050617,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,313.5,0.002870813397129135,-0.007336523125996863,-0.015311004784689053,-0.012759170653907526,-0.02009569377990439
TAO,2026050618,1,1,425666.861,0,0,425666.861,100,1,1,0,2026-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,314.4,-0.0050890585241729624,-0.00031806615776075464,-0.014949109414758244,-0.005725190839694472,-0.02449109414758266
TAO,2026050711,1,1,91880.0,0,0,91880.0,100,1,1,0,2026-05-07 11:00:00+00:00,0.0,-333786.861,-333786.861,0.0,long,False,True,False,False,313.3,-0.00031918289179710957,-0.021704436642196012,-0.019470156399617022,-0.03574848388126395,-0.01595914458985004
